target,pred
-6.599999904632568359e+00,-2.803965568542480469e+00
-1.789999961853027344e+00,-2.801097869873046875e+00
3.400000035762786865e-01,-2.803956508636474609e+00
-1.120000004768371582e+00,-2.803839921951293945e+00
-9.859999656677246094e+00,-2.802204608917236328e+00
-9.369999885559082031e+00,-2.802953720092773438e+00
-3.950000047683715820e+00,-2.803895473480224609e+00
-3.519999980926513672e+00,-2.804503440856933594e+00
-9.529999732971191406e+00,-2.805014371871948242e+00
-4.780000209808349609e+00,-2.804041147232055664e+00
-1.659999966621398926e+00,-2.800715446472167969e+00
-4.090000152587890625e+00,-2.803638219833374023e+00
-6.440000057220458984e+00,-2.802690744400024414e+00
-4.500000000000000000e+00,-2.802635192871093750e+00
-3.240000009536743164e+00,-2.803613662719726562e+00
-3.500000000000000000e+00,-2.801536083221435547e+00
-7.670000076293945312e+00,-2.805210590362548828e+00
-4.590000152587890625e+00,-2.805050611495971680e+00
-6.130000114440917969e+00,-2.804084300994873047e+00
-1.000000014901161194e-01,-2.803369045257568359e+00
-5.099999904632568359e+00,-2.798981189727783203e+00
-9.900000095367431641e-01,-2.803851604461669922e+00
-2.670000076293945312e+00,-2.803845405578613281e+00
-2.490000009536743164e+00,-2.803037166595458984e+00
-3.299999952316284180e+00,-2.803472042083740234e+00
-1.159999966621398926e+00,-2.802936315536499023e+00
-4.000000000000000000e+00,-2.800767660140991211e+00
-2.559999942779541016e+00,-2.800732851028442383e+00
-2.480000019073486328e+00,-2.801514148712158203e+00
-2.210000038146972656e+00,-2.803146362304687500e+00
2.509999990463256836e+00,-2.804723501205444336e+00
-8.829999923706054688e+00,-2.803781986236572266e+00
-2.400000095367431641e+00,-2.802852869033813477e+00
-3.029999971389770508e+00,-2.803362846374511719e+00
2.899999916553497314e-01,-2.803780794143676758e+00
-2.690000057220458984e+00,-2.805416345596313477e+00
2.480000019073486328e+00,-2.804574012756347656e+00
2.970000028610229492e+00,-2.804855346679687500e+00
2.109999895095825195e+00,-2.804769039154052734e+00
-5.989999771118164062e+00,-2.798566818237304688e+00
-3.410000085830688477e+00,-2.803559780120849609e+00
-2.809999942779541016e+00,-2.803654193878173828e+00
2.880000114440917969e+00,-2.804842233657836914e+00
-2.500000000000000000e-01,-2.803768634796142578e+00
-9.399999618530273438e+00,-2.804875850677490234e+00
-1.099999994039535522e-01,-2.796809673309326172e+00
-7.809999942779541016e+00,-2.800991296768188477e+00
-5.110000133514404297e+00,-2.803486585617065430e+00
-1.690000057220458984e+00,-2.803084373474121094e+00
-9.939999580383300781e+00,-2.802924156188964844e+00
-1.139999985694885254e+00,-2.803362607955932617e+00
1.320000052452087402e+00,-2.804386854171752930e+00
-2.819999933242797852e+00,-2.801383495330810547e+00
-6.500000000000000000e+00,-2.804520606994628906e+00
-2.740000009536743164e+00,-2.804167747497558594e+00
2.299999952316284180e+00,-2.804449558258056641e+00
-6.269999980926513672e+00,-2.804468154907226562e+00
-1.200000047683715820e+00,-2.802839517593383789e+00
-1.990000009536743164e+00,-2.801010608673095703e+00
-2.362000083923339844e+01,-2.803264856338500977e+00
-3.640000104904174805e+00,-2.803083419799804688e+00
-2.150000095367431641e+00,-2.804468154907226562e+00
-5.719999790191650391e+00,-2.806188106536865234e+00
-5.880000114440917969e+00,-2.805788516998291016e+00
-4.399999976158142090e-01,-2.800825357437133789e+00
-5.909999847412109375e+00,-2.804568290710449219e+00
-9.300000190734863281e+00,-2.798927783966064453e+00
-5.329999923706054688e+00,-2.803470373153686523e+00
-6.619999885559082031e+00,-2.803305387496948242e+00
-2.279999971389770508e+00,-2.802766323089599609e+00
-7.579999923706054688e+00,-2.802651405334472656e+00
-2.750000000000000000e+00,-2.799659252166748047e+00
-7.650000095367431641e+00,-2.803394556045532227e+00
-2.559999942779541016e+00,-2.802721500396728516e+00
-8.999999761581420898e-01,-2.805760383605957031e+00
-2.130000114440917969e+00,-2.799129247665405273e+00
-4.579999923706054688e+00,-2.803972482681274414e+00
-5.500000119209289551e-01,-2.800443649291992188e+00
-3.640000104904174805e+00,-2.803791999816894531e+00
2.339999914169311523e+00,-2.804653406143188477e+00
-5.219999790191650391e+00,-2.805318593978881836e+00
-1.022000026702880859e+01,-2.802400112152099609e+00
1.800000071525573730e-01,-2.803820133209228516e+00
-2.819999933242797852e+00,-2.806263446807861328e+00
-3.670000076293945312e+00,-2.803603649139404297e+00
2.549999952316284180e+00,-2.804959774017333984e+00
-7.070000171661376953e+00,-2.804900169372558594e+00
-1.009999990463256836e+00,-2.803299427032470703e+00
-4.739999771118164062e+00,-2.802144765853881836e+00
-9.279999732971191406e+00,-2.801662445068359375e+00
-5.899999737739562988e-01,-2.802269458770751953e+00
-4.420000076293945312e+00,-2.802984237670898438e+00
-4.440000057220458984e+00,-2.804452419281005859e+00
-9.619999885559082031e+00,-2.802506923675537109e+00
-3.519999980926513672e+00,-2.804488658905029297e+00
-3.450000047683715820e+00,-2.803023338317871094e+00
1.000000014901161194e-01,-2.796517848968505859e+00
-6.119999885559082031e+00,-2.804458141326904297e+00
-8.840000152587890625e+00,-2.803024768829345703e+00
-1.264000034332275391e+01,-2.804274559020996094e+00
7.099999785423278809e-01,-2.804679155349731445e+00
9.999999776482582092e-03,-2.804455280303955078e+00
-8.699999809265136719e+00,-2.801945686340332031e+00
-9.729999542236328125e+00,-2.802704811096191406e+00
-1.343000030517578125e+01,-2.801002740859985352e+00
-6.550000190734863281e+00,-2.801590919494628906e+00
-6.159999847412109375e+00,-2.802851438522338867e+00
-8.149999618530273438e+00,-2.802906274795532227e+00
-9.510000228881835938e+00,-2.802849769592285156e+00
3.119999885559082031e+00,-2.794333219528198242e+00
-2.259999990463256836e+00,-2.802925109863281250e+00
-1.389999985694885254e+00,-2.804152488708496094e+00
-1.610000014305114746e+00,-2.803228139877319336e+00
-3.039999961853027344e+00,-2.804023265838623047e+00
-1.429999947547912598e+00,-2.800059556961059570e+00
-6.679999828338623047e+00,-2.803639888763427734e+00
-1.599999964237213135e-01,-2.803101301193237305e+00
-8.409999847412109375e+00,-2.803141117095947266e+00
2.059999942779541016e+00,-2.804817438125610352e+00
-2.490000009536743164e+00,-2.799762487411499023e+00
2.559999942779541016e+00,-2.804778099060058594e+00
-1.100000023841857910e+00,-2.798066854476928711e+00
-7.780000209808349609e+00,-2.803462028503417969e+00
-9.449999809265136719e+00,-2.804509639739990234e+00
-4.869999885559082031e+00,-2.799098730087280273e+00
-2.052000045776367188e+01,-2.802841663360595703e+00
-8.000000119209289551e-01,-2.803389310836791992e+00
-9.499999880790710449e-01,-2.805372476577758789e+00
1.919999957084655762e+00,-2.804816484451293945e+00
-1.120000004768371582e+00,-2.802894115447998047e+00
-5.559999942779541016e+00,-2.802785396575927734e+00
-4.099999904632568359e+00,-2.802503347396850586e+00
-6.340000152587890625e+00,-2.802230834960937500e+00
-1.269999980926513672e+00,-2.802019596099853516e+00
-2.089999914169311523e+00,-2.799620628356933594e+00
2.509999990463256836e+00,-2.804651260375976562e+00
2.299999952316284180e+00,-2.804517745971679688e+00
-1.002999973297119141e+01,-2.804626703262329102e+00
-3.920000076293945312e+00,-2.803525209426879883e+00
-6.299999952316284180e-01,-2.802040100097656250e+00
5.600000023841857910e-01,-2.804402828216552734e+00
-9.520000457763671875e+00,-2.803856372833251953e+00
-5.849999904632568359e+00,-2.803261280059814453e+00
-2.700000047683715820e+00,-2.805811882019042969e+00
-3.710000038146972656e+00,-2.798979520797729492e+00
-2.359999895095825195e+00,-2.802326917648315430e+00
-1.240000009536743164e+00,-2.802875518798828125e+00
-7.289999961853027344e+00,-2.802823305130004883e+00
-4.690000057220458984e+00,-2.804448127746582031e+00
-3.130000114440917969e+00,-2.800902843475341797e+00
-6.250000000000000000e+00,-2.802091598510742188e+00
-4.610000133514404297e+00,-2.803821563720703125e+00
-9.409999847412109375e+00,-2.802610635757446289e+00
-2.500000000000000000e-01,-2.801325321197509766e+00
-7.190000057220458984e+00,-2.802708148956298828e+00
-5.659999847412109375e+00,-2.804437398910522461e+00
1.070000052452087402e+00,-2.800023555755615234e+00
-4.590000152587890625e+00,-2.805179595947265625e+00
-4.309999942779541016e+00,-2.796578884124755859e+00
-3.089999914169311523e+00,-2.800791025161743164e+00
-3.880000114440917969e+00,-2.803670644760131836e+00
1.590000033378601074e+00,-2.804590702056884766e+00
-4.420000076293945312e+00,-2.802404403686523438e+00
-5.179999828338623047e+00,-2.804377555847167969e+00
-1.692000007629394531e+01,-2.800931453704833984e+00
-2.039999961853027344e+00,-2.803488016128540039e+00
-3.930000066757202148e+00,-2.804141998291015625e+00
-5.530000209808349609e+00,-2.804650545120239258e+00
-4.590000152587890625e+00,-2.804003715515136719e+00
-5.909999847412109375e+00,-2.804509401321411133e+00
-3.430000066757202148e+00,-2.802466869354248047e+00
-2.460000038146972656e+00,-2.805206060409545898e+00
-4.820000171661376953e+00,-2.803853034973144531e+00
-4.199999809265136719e+00,-2.797752618789672852e+00
-1.460000038146972656e+00,-2.803783893585205078e+00
-5.570000171661376953e+00,-2.804310321807861328e+00
-9.289999961853027344e+00,-2.803693532943725586e+00
-3.710000038146972656e+00,-2.803496360778808594e+00
-7.799999713897705078e-01,-2.802812576293945312e+00
-1.021000003814697266e+01,-2.805282592773437500e+00
-1.899999976158142090e-01,-2.800601482391357422e+00
-6.099999904632568359e+00,-2.803451538085937500e+00
-9.630000114440917969e+00,-2.803179025650024414e+00
-4.269999980926513672e+00,-2.804042816162109375e+00
-2.450000047683715820e+00,-2.804106712341308594e+00
-6.480000019073486328e+00,-2.803647041320800781e+00
-3.220000028610229492e+00,-2.803486347198486328e+00
2.509999990463256836e+00,-2.804629802703857422e+00
-4.219999790191650391e+00,-2.802982807159423828e+00
-7.780000209808349609e+00,-2.802895545959472656e+00
-8.899999856948852539e-01,-2.800833463668823242e+00
-3.730000019073486328e+00,-2.803469657897949219e+00
-2.829999923706054688e+00,-2.802278041839599609e+00
-1.099999994039535522e-01,-2.797279596328735352e+00
2.890000104904174805e+00,-2.804972648620605469e+00
3.160000085830688477e+00,-2.804781436920166016e+00
-2.940000057220458984e+00,-2.801304101943969727e+00
-2.490000009536743164e+00,-2.803978443145751953e+00
-2.450000047683715820e+00,-2.801862001419067383e+00
-3.819999933242797852e+00,-2.803252696990966797e+00
-1.620000004768371582e+00,-2.802481651306152344e+00
-4.289999961853027344e+00,-2.801362037658691406e+00
5.199999809265136719e-01,-2.804089784622192383e+00
-2.329999923706054688e+00,-2.802000284194946289e+00
-2.779999971389770508e+00,-2.799991130828857422e+00
-2.779999971389770508e+00,-2.806266784667968750e+00
-3.220000028610229492e+00,-2.803258895874023438e+00
-3.470000028610229492e+00,-2.802503347396850586e+00
1.309999942779541016e+00,-2.804477691650390625e+00
8.399999737739562988e-01,-2.803436756134033203e+00
-5.730000019073486328e+00,-2.797955513000488281e+00
-1.871999931335449219e+01,-2.801933765411376953e+00
-1.100000023841857910e+00,-2.803669214248657227e+00
-4.860000133514404297e+00,-2.805314064025878906e+00
2.710000038146972656e+00,-2.804727077484130859e+00
-4.800000190734863281e+00,-2.797483444213867188e+00
1.769999980926513672e+00,-2.797370672225952148e+00
-7.469999790191650391e+00,-2.805585861206054688e+00
5.600000023841857910e-01,-2.804502010345458984e+00
-9.399999618530273438e+00,-2.803332328796386719e+00
-7.400000095367431641e+00,-2.802565097808837891e+00
-3.839999914169311523e+00,-2.803772926330566406e+00
2.880000114440917969e+00,-2.804698705673217773e+00
-4.400000095367431641e+00,-2.803211688995361328e+00
-5.900000095367431641e+00,-2.804199934005737305e+00
-3.509999990463256836e+00,-2.801447629928588867e+00
-2.509999990463256836e+00,-2.802667617797851562e+00
-3.240000009536743164e+00,-2.803879261016845703e+00
-4.769999980926513672e+00,-2.804812431335449219e+00
-3.650000095367431641e+00,-2.804126024246215820e+00
-6.130000114440917969e+00,-2.803839683532714844e+00
-2.369999885559082031e+00,-2.801270961761474609e+00
-7.980000019073486328e+00,-2.803139925003051758e+00
-1.960000038146972656e+00,-2.799266338348388672e+00
-4.399999976158142090e-01,-2.805090904235839844e+00
-4.239999771118164062e+00,-2.803372383117675781e+00
-1.152999973297119141e+01,-2.805133819580078125e+00
-1.500000000000000000e+00,-2.803546667098999023e+00
1.580000042915344238e+00,-2.804792404174804688e+00
-3.559999942779541016e+00,-2.803978204727172852e+00
-3.299999952316284180e+00,-2.803172588348388672e+00
-9.300000190734863281e+00,-2.800135612487792969e+00
-4.909999847412109375e+00,-2.803880691528320312e+00
-4.369999885559082031e+00,-2.803248405456542969e+00
-4.289999961853027344e+00,-2.798388957977294922e+00
-3.039999961853027344e+00,-2.804235935211181641e+00
-8.210000038146972656e+00,-2.805747985839843750e+00
-6.920000076293945312e+00,-2.803831100463867188e+00
-7.280000209808349609e+00,-2.805524349212646484e+00
-9.819999694824218750e+00,-2.802941799163818359e+00
-5.039999961853027344e+00,-2.803982019424438477e+00
1.090000033378601074e+00,-2.803473234176635742e+00
-4.469999790191650391e+00,-2.802837133407592773e+00
-3.300000131130218506e-01,-2.802704811096191406e+00
-3.440000057220458984e+00,-2.803561449050903320e+00
-5.510000228881835938e+00,-2.802915573120117188e+00
-2.640000104904174805e+00,-2.802354574203491211e+00
3.130000114440917969e+00,-2.804744720458984375e+00
2.829999923706054688e+00,-2.804789781570434570e+00
-2.210000038146972656e+00,-2.802704095840454102e+00
0.000000000000000000e+00,-2.803641796112060547e+00
