dataset,epochs,num-folds,SEED,criterion,test_losses
esol,5,2,100,L1Loss(),"[2.50531819692586, 1.361740456857989]"
esol,5,2,100,L1Loss(),"[2.4603326724125787, 2.777369013728184]"
esol,5,2,100,L1Loss(),"[1.5112988545344426, 1.7626662592125881]"
esol,5,2,100,L1Loss(),"[1.7433424436129057, 2.3279598619439064]"
esol,5,2,100,L1Loss(),"[1.9215380815359262, 2.269311788643801]"
esol,5,2,100,L1Loss(),"[1.3607716670403114, 2.044630336604362]"
esol,5,2,100,L1Loss(),"[1.606931235240056, 1.6488608559823703]"
esol,5,2,100,L1Loss(),"[2.0611060582674465, 1.8987910570776247]"
esol,5,2,100,L1Loss(),"[1.8439408522385818, 3.4745976983813516]"
esol,5,2,100,L1Loss(),"[0.9601228677309477, 1.2422396080105074]"
esol,5,2,100,L1Loss(),"[2.86532223041241, 3.1483381670428656]"
esol,5,2,100,L1Loss(),"[2.2454380989074707, 2.2336689542113652]"
esol,5,2,100,L1Loss(),"[1.88621548139132, 2.0384144099579613]"
esol,5,2,100,L1Loss(),"[2.197894895993746, 2.2586731007307326]"
esol,5,2,100,L1Loss(),"[1.5198319838597225, 1.764005400203598]"
esol,5,2,100,L1Loss(),"[1.6826704997282762, 1.797228088881667]"
