dataset,epochs,num-folds,SEED,criterion,test_losses
scgas,1,2,100,L1Loss(),"[2.0273398008963603, 2.0449250421029186]"
scgas,1,2,100,L1Loss(),"[2.0273398008963603, 2.0449250421029186]"
scgas,1,2,100,L1Loss(),"[2.0273398008963603, 2.0449250421029186]"
scgas,1,2,100,L1Loss(),"[2.0273398008963603, 2.0449250421029186]"
scgas,1,2,100,L1Loss(),"[2.0273398008963603, 2.0449250421029186]"
scgas,1,2,100,L1Loss(),"[2.0273398008963603, 2.0449250421029186]"
scgas,1,2,100,L1Loss(),"[2.0273398008963603, 2.0449250421029186]"
scgas,1,2,100,L1Loss(),"[2.0277079179606172, 2.0449869765599975]"
scgas,1,2,100,L1Loss(),"[2.1585037016395114, 2.080539021562262]"
scgas,1,2,100,L1Loss(),"[1.960485762621179, 1.9469590660549754]"
scgas,1,2,100,L1Loss(),"[2.1872393884848202, 2.233087430925876]"
scgas,1,2,100,L1Loss(),"[1.946024086443298, 1.9207083233497908]"
scgas,1,2,100,L1Loss(),"[2.1872393884848202, 2.233087430925876]"
scgas,1,2,100,L1Loss(),"[2.154028052477253, 2.173788721938686]"
scgas,1,2,100,L1Loss(),"[2.1146088281859963, 2.1668775950693915]"
scgas,1,2,100,L1Loss(),"[2.1146088281859963, 2.1668775950693915]"
scgas,1,2,100,L1Loss(),"[2.5081449822689157, 1.9323221044155514]"
scgas,1,2,100,L1Loss(),"[2.1590600365022294, 2.0979505364212145]"
scgas,1,2,100,L1Loss(),"[2.1146088281859963, 2.1668775950693915]"
scgas,1,2,100,L1Loss(),"[2.1146088281859963, 2.1668775950693915]"
scgas,1,2,100,L1Loss(),"[1.4518163608939583, 1.4844950493293874]"
scgas,1,2,100,L1Loss(),"[1.4518163608939583, 1.4844950493293874]"
scgas,1,2,100,L1Loss(),"[1.496953251879617, 1.412322108521055]"
scgas,1,2,100,L1Loss(),"[1.496953251879617, 1.412322108521055]"
scgas,1,2,100,L1Loss(),"[1.5293916779248704, 1.3849844532391722]"
scgas,1,2,100,L1Loss(),"[2.5468109541409754, 2.5593885950825292]"
scgas,1,2,100,L1Loss(),"[2.1849402232784096, 2.1612565005764908]"
scgas,1,2,100,L1Loss(),"[2.4054506950696104, 1.9489144735195787]"
