index,count,geometry
0,327,"LINESTRING (128.5259017 35.8868903, 128.5256777 35.8885042)"
1,327,"LINESTRING (128.5288227 35.8817084, 128.5282562 35.882191)"
2,327,"LINESTRING (128.5300425 35.8800895, 128.5297951 35.8804892)"
3,327,"LINESTRING (128.5303625 35.8794746, 128.5300425 35.8800895)"
4,327,"LINESTRING (128.5297222 35.8805935, 128.5288227 35.8817084)"
5,327,"LINESTRING (128.5297951 35.8804892, 128.5297222 35.8805935)"
6,327,"LINESTRING (128.5271747 35.8837158, 128.5268369 35.8842389)"
7,327,"LINESTRING (128.5260181 35.8862032, 128.5259017 35.8868903)"
8,327,"LINESTRING (128.526114 35.8858255, 128.5260181 35.8862032)"
9,327,"LINESTRING (128.5265845 35.8846783, 128.5263023 35.8853073)"
10,327,"LINESTRING (128.5268369 35.8842389, 128.5265845 35.8846783)"
11,327,"LINESTRING (128.5263023 35.8853073, 128.526114 35.8858255)"
12,327,"LINESTRING (128.5277981 35.8828342, 128.527562 35.8831662)"
13,327,"LINESTRING (128.5282562 35.882191, 128.5277981 35.8828342)"
14,327,"LINESTRING (128.527562 35.8831662, 128.5271747 35.8837158)"
15,188,"LINESTRING (128.6213194 36.4752536, 128.6210614 36.4757059)"
16,188,"LINESTRING (128.547952 35.9489616, 128.5486369 35.9496084)"
17,188,"LINESTRING (128.2209304 37.0493957, 128.2206406 37.0494335)"
18,188,"LINESTRING (128.5501131 36.1675587, 128.5503493 36.1681813)"
19,188,"LINESTRING (127.8687157 37.6813029, 127.8689984 37.6813786)"
20,188,"LINESTRING (127.9690494 37.7753575, 127.9694117 37.7757328)"
21,188,"LINESTRING (127.9876632 37.8009974, 127.9878701 37.8015346)"
22,188,"LINESTRING (128.6255874 36.5889916, 128.6249994 36.5891413)"
23,188,"LINESTRING (128.5914369 35.8982457, 128.5916825 35.8990233)"
24,188,"LINESTRING (128.1531615 37.0978913, 128.1521455 37.1001396)"
25,188,"LINESTRING (128.6418814 36.5480141, 128.6423436 36.5494385)"
