idx,mid_lat,mid_lng,end_lat,end_lng,mid_time,end_time
0,36.1458743,128.3935029,37.9418011,127.7146474,0+7老 9矫,0+7老 14矫
1,37.5569332,127.1466249,38.075658,128.17835,0+7老 10矫,0+7老 14矫
2,35.1368102,126.8790595,37.8734346,127.1573987,0+7老 7矫,0+7老 14矫
3,35.8820325,128.5872781,37.7136509,126.8899147,0+7老 9矫,0+7老 14矫
4,36.7859676,127.164274,36.6101822,127.2857059,0+7老 12矫,0+7老 14矫
5,37.2865317,127.036915,37.6458431,127.1019034,0+7老 12矫,0+7老 14矫
6,35.2109661,128.9722215,35.2036255,128.1456409,0+7老 10矫,0+7老 14矫
7,37.3259057,126.8138991,37.3285992,127.4029589,0+7老 11矫,0+7老 14矫
8,37.5198884,127.1308625,37.280875,127.9009998,0+7老 11矫,0+7老 14矫
9,36.1199787,128.3209147,36.8044261,127.560579,0+7老 10矫,0+7老 14矫
10,35.8548554,128.564821,36.5739026,128.7018796,0+7老 10矫,0+7老 14矫
11,35.8820325,128.5872781,36.5739026,128.7018796,0+7老 10矫,0+7老 14矫
12,37.4331877,127.1376777,37.1270762,127.6184886,0+7老 11矫,0+7老 14矫
13,37.4346262,126.7337582,36.0588114,129.3580497,0+7老 8矫,0+7老 14矫
14,37.5445053,126.8933505,37.6254655,126.7087209,0+7老 11矫,0+7老 14矫
15,35.9680345,127.0089392,35.9104775,127.0687044,0+7老 12矫,0+7老 14矫
16,37.4346262,126.7337582,37.2538928,126.982486,0+7老 11矫,0+7老 14矫
17,35.9680345,127.0089392,35.9950281,127.0560942,0+7老 12矫,0+7老 14矫
18,37.543255,126.716748,37.6927938,127.86156,0+7老 9矫,0+7老 14矫
19,37.543255,126.716748,37.6959291,127.8619647,0+7老 9矫,0+7老 14矫
20,35.167285,126.8052879,35.2493425,126.6150541,0+7老 12矫,0+7老 14矫
21,37.4309078,126.7018293,37.718729,127.8594681,0+7老 9矫,0+7老 14矫
22,37.543255,126.716748,37.6898753,127.87309,0+7老 9矫,0+7老 14矫
23,37.4331877,127.1376777,37.8802646,128.8280453,0+7老 9矫,0+7老 14矫
24,37.4309078,126.7018293,37.3873855,128.0083544,0+7老 9矫,0+7老 14矫
25,37.4055392,126.9465165,37.4820626,127.5059498,0+7老 11矫,0+7老 14矫
26,37.4309078,126.7018293,37.5986549,127.8038019,0+7老 9矫,0+7老 14矫
27,35.8526319,128.5604,35.9751779,129.4183025,0+7老 11矫,0+7老 14矫
28,37.4055392,126.9465165,37.5045472,127.6348649,0+7老 11矫,0+7老 14矫
29,37.554989,126.9695548,37.7523142,128.9318737,0+7老 10矫,0+7老 14矫
30,37.5778118,127.0484888,37.4290184,127.9671023,0+7老 11矫,0+7老 14矫
31,35.8462574,127.1320049,35.6010323,127.2946899,0+7老 12矫,0+7老 14矫
32,37.4309078,126.7018293,37.6977924,127.8535501,0+7老 9矫,0+7老 14矫
33,37.5064513,127.0126922,37.503393,129.1305093,0+7老 8矫,0+7老 14矫
34,35.8482251,128.5819932,36.6289103,128.3595209,0+7老 10矫,0+7老 14矫
35,37.5841971,127.051139,37.4290184,127.9671023,0+7老 11矫,0+7老 14矫
36,37.4331877,127.1376777,37.167866,127.5479045,0+7老 11矫,0+7老 14矫
37,36.3541173,127.4217991,35.9823189,129.4356762,0+7老 9矫,0+7老 14矫
38,37.8989548,127.7560679,38.0563763,127.8148365,0+7老 11矫,0+7老 14矫
39,35.8482251,128.5819932,36.9441117,128.9171343,0+7老 9矫,0+7老 14矫
