idx,mid_lat,mid_lng,end_lat,end_lng,mid_time,end_time
0,36.8373833,127.1685008,38.075658,128.17835,0+28老 10矫,0+28老 14矫
1,37.520934,127.122959,37.9418011,127.7146474,0+4老 11矫,0+4老 14矫
2,36.1458743,128.3935029,37.9418011,127.7146474,0+7老 9矫,0+7老 14矫
3,37.5569332,127.1466249,38.075658,128.17835,0+7老 10矫,0+7老 14矫
4,37.520934,127.122959,37.9418011,127.7146474,0+2老 11矫,0+2老 14矫
5,36.8373833,127.1685008,38.075658,128.17835,0+21老 10矫,0+21老 14矫
6,35.8820325,128.5872781,38.075658,128.17835,0+14老 9矫,0+14老 14矫
7,37.5198884,127.1308625,37.8428296,127.4968291,0+1老 11矫,0+1老 14矫
8,35.1368102,126.8790595,37.8734346,127.1573987,0+7老 7矫,0+7老 14矫
9,37.4585939,126.7519672,37.6036353,127.2253298,0+1老 11矫,0+1老 14矫
10,37.4585939,126.7519672,37.6052842,127.1767454,0+1老 11矫,0+1老 14矫
11,37.6176433,126.720317,37.8734346,127.1573987,0+2老 10矫,0+2老 14矫
12,35.8559056,128.484579,37.7136509,126.8899147,0+21老 9矫,0+21老 14矫
13,35.8548554,128.564821,37.7136509,126.8899147,0+14老 9矫,0+14老 14矫
14,35.8820325,128.5872781,37.7136509,126.8899147,0+7老 9矫,0+7老 14矫
15,35.8395664,129.1851961,37.7136509,126.8899147,0+28老 9矫,0+28老 14矫
16,37.4585939,126.7519672,37.6177515,127.1920968,0+1老 11矫,0+1老 14矫
17,37.5445053,126.8933505,37.6254655,126.7087209,0+2老 11矫,0+2老 14矫
18,37.5569332,127.1466249,38.075658,128.17835,0+2老 10矫,0+2老 14矫
19,37.512757,126.7639107,37.7068644,126.9720624,0+1老 9矫,0+1老 14矫
20,37.5569332,127.1466249,38.075658,128.17835,0+3老 10矫,0+3老 14矫
21,35.8820325,128.5872781,36.5739026,128.7018796,0+2老 10矫,0+2老 14矫
22,37.554989,126.9695548,37.7523142,128.9318737,0+1老 10矫,0+1老 14矫
23,37.512757,126.7639107,37.7068644,126.9720624,0+1老 11矫,0+1老 14矫
24,37.4585939,126.7519672,37.6150659,127.2004815,0+1老 11矫,0+1老 14矫
25,37.5778118,127.0484888,37.4290184,127.9671023,0+1老 11矫,0+1老 14矫
26,36.7859676,127.164274,36.6101822,127.2857059,0+7老 12矫,0+7老 14矫
27,37.5276782,127.0176284,37.8253879,127.5070499,0+1老 11矫,0+1老 14矫
28,37.5569332,127.1466249,38.075658,128.17835,0+4老 10矫,0+4老 14矫
29,36.1195986,128.3443001,36.1658869,127.7832753,0+2老 11矫,0+2老 14矫
30,35.8482251,128.5819932,36.6289103,128.3595209,0+1老 10矫,0+1老 14矫
31,37.4102033,127.1212796,37.6458431,127.1019034,0+20老 12矫,0+20老 14矫
32,36.7859676,127.164274,36.5649622,127.2776043,0+1老 12矫,0+1老 14矫
33,37.5569332,127.1466249,38.075658,128.17835,0+5老 10矫,0+5老 14矫
34,35.2339885,128.6647016,35.2634441,128.3554682,0+1老 12矫,0+1老 14矫
35,35.1700127,128.9765699,35.1596541,128.6636614,0+15老 12矫,0+15老 14矫
36,37.5569332,127.1466249,38.075658,128.17835,0+6老 10矫,0+6老 14矫
37,35.1690975,129.1363115,35.9751779,129.4183025,0+1老 10矫,0+1老 14矫
38,35.8548554,128.564821,36.5739026,128.7018796,0+4老 10矫,0+4老 14矫
39,37.5276782,127.0176284,37.7763524,127.4614554,0+1老 11矫,0+1老 14矫
