index,path,count,start_path,end_path,start_path_lat,start_path_lng,end_path_lat,end_path_lng
0,"127.4913371,35.4864463/127.4906007,35.48611",55,"127.4913371,35.4864463","127.4906007,35.48611",35.4864463,127.4913371,35.48611,127.4906007
1,"127.7883652,35.5184079/127.7872292,35.5187136",55,"127.7883652,35.5184079","127.7872292,35.5187136",35.5184079,127.7883652,35.5187136,127.7872292
2,"127.8203023,35.4843346/127.8199891,35.4845788",55,"127.8203023,35.4843346","127.8199891,35.4845788",35.4843346,127.8203023,35.4845788,127.8199891
3,"127.5551229,35.4752461/127.5545408,35.4750453",55,"127.5551229,35.4752461","127.5545408,35.4750453",35.4752461,127.5551229,35.4750453,127.5545408
4,"127.995699,35.2336247/127.9956245,35.2340326",55,"127.995699,35.2336247","127.9956245,35.2340326",35.2336247,127.995699,35.2340326,127.9956245
5,"127.1613762,35.3681677/127.1603121,35.3680745",55,"127.1613762,35.3681677","127.1603121,35.3680745",35.3681677,127.1613762,35.3680745,127.1603121
6,"127.4524237,35.463304/127.4524684,35.4623807",55,"127.4524237,35.463304","127.4524684,35.4623807",35.463304,127.4524237,35.4623807,127.4524684
7,"127.9180218,35.3625036/127.9166873,35.3654333",55,"127.9180218,35.3625036","127.9166873,35.3654333",35.3625036,127.9180218,35.3654333,127.9166873
8,"128.0227498,35.2009415/128.0213123,35.2017079",55,"128.0227498,35.2009415","128.0213123,35.2017079",35.2009415,128.0227498,35.2017079,128.0213123
9,"127.7679714,35.5357903/127.7678277,35.5357103",55,"127.7679714,35.5357903","127.7678277,35.5357103",35.5357903,127.7679714,35.5357103,127.7678277
10,"128.1123297,35.1579127/128.1121308,35.1577487",55,"128.1123297,35.1579127","128.1121308,35.1577487",35.1579127,128.1123297,35.1577487,128.1121308
11,"127.0038599,35.3240156/127.0036812,35.3239121",55,"127.0038599,35.3240156","127.0036812,35.3239121",35.3240156,127.0038599,35.3239121,127.0036812
12,"126.991933,35.3260589/126.9920247,35.3263379",55,"126.991933,35.3260589","126.9920247,35.3263379",35.3260589,126.991933,35.3263379,126.9920247
13,"127.0438341,35.3420057/127.0429036,35.3413331",55,"127.0438341,35.3420057","127.0429036,35.3413331",35.3420057,127.0438341,35.3413331,127.0429036
14,"127.8969178,35.3913718/127.8954742,35.3918165",55,"127.8969178,35.3913718","127.8954742,35.3918165",35.3913718,127.8969178,35.3918165,127.8954742
15,"127.9755416,35.2677401/127.9752624,35.2685167",55,"127.9755416,35.2677401","127.9752624,35.2685167",35.2677401,127.9755416,35.2685167,127.9752624
16,"127.589608,35.4844288/127.5892418,35.4842397",55,"127.589608,35.4844288","127.5892418,35.4842397",35.4844288,127.589608,35.4842397,127.5892418
17,"127.5054882,35.4912218/127.5051189,35.491192",55,"127.5054882,35.4912218","127.5051189,35.491192",35.4912218,127.5054882,35.491192,127.5051189
18,"127.9578893,35.2873614/127.9568004,35.2877217",55,"127.9578893,35.2873614","127.9568004,35.2877217",35.2873614,127.9578893,35.2877217,127.9568004
19,"127.4523769,35.4642227/127.4523882,35.4638477",55,"127.4523769,35.4642227","127.4523882,35.4638477",35.4642227,127.4523769,35.4638477,127.4523882
20,"127.0007471,35.3271055/127.0006391,35.3273206",55,"127.0007471,35.3271055","127.0006391,35.3273206",35.3271055,127.0007471,35.3273206,127.0006391
21,"127.6278209,35.5276483/127.6276145,35.5275502",55,"127.6278209,35.5276483","127.6276145,35.5275502",35.5276483,127.6278209,35.5275502,127.6276145
22,"127.4906007,35.48611/127.4904419,35.4860297",55,"127.4906007,35.48611","127.4904419,35.4860297",35.48611,127.4906007,35.4860297,127.4904419
23,"127.5918155,35.485758/127.5912914,35.4853797",55,"127.5918155,35.485758","127.5912914,35.4853797",35.485758,127.5918155,35.4853797,127.5912914
24,"127.7737007,35.5292422/127.7735592,35.5294499",55,"127.7737007,35.5292422","127.7735592,35.5294499",35.5292422,127.7737007,35.5294499,127.7735592
25,"127.4183834,35.43856/127.417978,35.4384686",55,"127.4183834,35.43856","127.417978,35.4384686",35.43856,127.4183834,35.4384686,127.417978
26,"127.0526163,35.347298/127.0520594,35.3471075",55,"127.0526163,35.347298","127.0520594,35.3471075",35.347298,127.0526163,35.3471075,127.0520594
27,"127.7718255,35.5331308/127.7720637,35.5337659",55,"127.7718255,35.5331308","127.7720637,35.5337659",35.5331308,127.7718255,35.5337659,127.7720637
28,"127.6965262,35.543363/127.6962328,35.5433562",55,"127.6965262,35.543363","127.6962328,35.5433562",35.543363,127.6965262,35.5433562,127.6962328
29,"128.024462,35.2000162/128.0242638,35.2001234",55,"128.024462,35.2000162","128.0242638,35.2001234",35.2000162,128.024462,35.2001234,128.0242638
30,"128.0974494,35.1405499/128.097174,35.1404078",55,"128.0974494,35.1405499","128.097174,35.1404078",35.1405499,128.0974494,35.1404078,128.097174
