idx,mid_lat,mid_lng,end_lat,end_lng,mid_time,end_time
0,35.8462574,127.1320049,35.9751779,129.4183025,0+1老 7矫,0+1老 14矫
1,35.5626194,129.3479621,38.0926599,128.6270932,0+1老 7矫,0+1老 14矫
2,37.372799,127.935788,38.2855854,128.5009152,0+1老 7矫,0+1老 14矫
3,37.372799,127.935788,38.2888612,128.4919143,0+1老 7矫,0+1老 14矫
4,37.372799,127.935788,38.2423422,128.5621792,0+1老 7矫,0+1老 14矫
5,37.372799,127.935788,38.3872636,128.4108143,0+1老 7矫,0+1老 14矫
6,37.372799,127.935788,38.3758905,128.4981204,0+1老 7矫,0+1老 14矫
7,37.372799,127.935788,38.3282049,128.4951547,0+1老 7矫,0+1老 14矫
8,37.372799,127.935788,38.2778313,128.5029536,0+1老 7矫,0+1老 14矫
9,37.372799,127.935788,38.3492347,128.4671406,0+1老 7矫,0+1老 14矫
10,37.372799,127.935788,38.3375122,128.4528194,0+1老 7矫,0+1老 14矫
11,37.372799,127.935788,38.3695266,128.3881187,0+1老 7矫,0+1老 14矫
12,37.372799,127.935788,38.2440722,128.5649846,0+1老 7矫,0+1老 14矫
