도시,중간지_cnt
서울특별시 송파구,20767
인천광역시 남동구,18162
경기도 부천시,15948
서울특별시 강동구,15500
서울특별시 영등포구,10069
대구광역시 북구,9357
경기도 수원시,9005
서울특별시 강남구,8620
전북특별자치도 전주시,7095
경상북도 구미시,6284
강원특별자치도 원주시,6060
충청남도 천안시,5931
대구광역시 달서구,5819
인천광역시 연수구,4886
광주광역시 서구,4608
서울특별시 서초구,4595
경기도 성남시,4494
울산광역시 중구,4221
서울특별시 노원구,4103
경기도 안산시,4074
서울특별시 강서구,4058
경기도 김포시,4054
서울특별시 중구,3987
서울특별시 동대문구,3863
경기도 의정부시,3803
서울특별시 관악구,3777
경기도 남양주시,3556
강원특별자치도 강릉시,3512
경기도 용인시,3119
경상남도 창원시,2979
충청북도 청주시,2894
서울특별시 광진구,2730
강원특별자치도 춘천시,2722
충청남도 아산시,2692
서울특별시 양천구,2682
인천광역시 계양구,2597
경기도 고양시,2507
대구광역시 남구,2441
서울특별시 동작구,2293
대전광역시 대덕구,2210
서울특별시 구로구,2122
대전광역시 유성구,2042
부산광역시 해운대구,1962
광주광역시 북구,1764
서울특별시 도봉구,1699
부산광역시 강서구,1677
경상북도 김천시,1559
광주광역시 광산구,1557
서울특별시 서대문구,1534
경상북도 포항시,1417
경기도 안양시,1406
서울특별시 성동구,1347
서울특별시 중랑구,1309
경기도 구리시,1292
전북특별자치도 익산시,1186
경기도 안성시,1058
경기도 파주시,1043
경기도 동두천시,1016
경기도 광명시,977
충청북도 충주시,950
경상남도 거제시,945
경기도 광주시,900
서울특별시 마포구,898
서울특별시 강북구,837
서울특별시 용산구,807
강원특별자치도 삼척시,794
경기도 시흥시,771
서울특별시 성북구,767
부산광역시 사상구,760
경상북도 경산시,692
충청북도 제천시,617
전라남도 여수시,584
전라남도 순천시,571
강원특별자치도 홍천군,567
서울특별시 은평구,548
경상남도 진주시,521
서울특별시 금천구,464
대전광역시 서구,454
경기도 양주시,427
전라남도 영광군,421
전라남도 목포시,415
경기도 군포시,367
경기도 하남시,354
전라남도 광양시,310
전라남도 화순군,262
경기도 포천시,250
경상북도 안동시,232
경상남도 양산시,202
강원특별자치도 양구,198
경상남도 김해시,190
전북특별자치도 김제시,177
