중간집결지 주소,count
서울특별시 강동구 양재대로156길 11,12481
인천광역시 남동구 무네미로 238,11498
대구광역시 북구 고성로 191,9357
경기도 부천시 소사로 482,9020
서울특별시 송파구 올림픽로 424,8067
서울특별시 영등포구 노들로 113,7603
경기도 부천시 석천로 293,6928
인천광역시 남동구 소래로 500,6664
서울특별시 송파구 양재대로 1239,6244
충청남도 천안시 동남구 천안대로 429-13,5264
경기도 수원시 팔달구 월드컵로 310,5106
인천광역시 연수구 경원대로 526,4886
광주광역시 서구 금화로 278,4608
서울특별시 서초구 사평대로45길 26,4595
서울특별시 송파구 삼학사로 11,4307
경상북도 구미시 대학로 61,4158
경기도 안산시 단원구 동산로 268,4074
경기도 김포시 돌문로15번길 20,4054
경기도 성남시 중원구 제일로 60,3850
서울특별시 강남구 압구정로11길 37-30,3809
서울특별시 관악구 관악로 1,3777
강원특별자치도 강릉시 종합운동장길 69,3512
울산광역시 중구 염포로 85,3507
서울특별시 강남구 광평로47길 28,3212
전북특별자치도 전주시 덕진구 백제대로 567,3038
서울특별시 강동구 고덕로 227,3019
경기도 수원시 장안구 경수대로 893,2925
대구광역시 달서구 공원순환로 7,2905
서울특별시 양천구 신정로7길 17,2682
서울특별시 중구 한강대로 405,2599
인천광역시 계양구 경명대로 990,2597
경기도 고양시 일산서구 중앙로 1601,2507
대구광역시 남구 현충로 170,2441
강원특별자치도 원주시 상지대길 83,2437
전북특별자치도 전주시 완산구 백제대로 442,2388
서울특별시 동대문구 답십리로11길 30-22,2308
서울특별시 동작구 흑석로 84,2215
대전광역시 대덕구 한남로 70,2210
대구광역시 달서구 두류공원로 200,2188
강원특별자치도 원주시 진광길 50,2165
서울특별시 송파구 올림픽로4길 16,2149
서울특별시 노원구 공릉로 232,2135
서울특별시 구로구 중앙로3길 20,2122
서울특별시 영등포구 여의동로3길 3,2050
경상남도 창원시 성산구 원이대로 450,2038
대전광역시 유성구 대학로 99,1981
부산광역시 해운대구 APEC로 55,1962
광주광역시 북구 동문대로 50,1764
서울특별시 도봉구 도봉로168길 30,1699
경기도 용인시 처인구 에버랜드로 199,1692
부산광역시 강서구 체육공원로 43,1677
경기도 남양주시 다산지금로 91,1573
경상북도 김천시 운동장길 1,1559
광주광역시 광산구 산정로6번길 21-2,1557
서울특별시 강서구 화곡로63길 40,1526
강원특별자치도 원주시 단구로 405,1457
경기도 의정부시 체육로 90,1418
경상북도 포항시 남구 희망대로 810,1417
경기도 안양시 동안구 평촌대로 389,1406
서울특별시 광진구 능동로 216,1392
서울특별시 중구 을지로 299,1388
충청남도 아산시 호서로79번길 20,1385
경상북도 구미시 송정대로 55,1385
서울특별시 강서구 하늘길 112,1384
서울특별시 성동구 왕십리로 222,1347
서울특별시 노원구 화랑로 621,1343
서울특별시 광진구 강변북로 139,1338
서울특별시 중랑구 신내역로 25,1309
충청남도 아산시 남부로 370-24,1307
충청북도 청주시 서원구 흥덕로 55,1260
서울특별시 동대문구 경희대로 26,1244
전북특별자치도 익산시 무왕로 1397,1186
서울특별시 강서구 방화대로34길 43,1148
경기도 남양주시 장현로광동1길 10,1106
경기도 용인시 처인구 동백죽전대로 61,1081
서울특별시 강남구 압구정로11길 37-53,1075
강원특별자치도 춘천시 스포츠타운길 113,1067
경기도 안성시 중앙로 327,1058
경기도 파주시 중앙로 160,1043
서울특별시 서대문구 이화여대길 52,1038
경기도 동두천시 어등로 어등로 45,1016
경기도 광명시 시청로 20,977
경기도 수원시 장안구 연무로 8,974
충청북도 충주시 대학로 50,950
경상남도 거제시 계룡로11길 26,945
경상남도 창원시 마산회원구 삼호로 63,941
강원특별자치도 춘천시 장학길 48,902
경기도 광주시 중앙로123번길 22,900
서울특별시 마포구 월드컵로 240,898
충청북도 청주시 흥덕구 장구봉로 113,874
경기도 의정부시 체육로 201,843
서울특별시 강북구 인수봉로 159,837
서울특별시 용산구 이촌로72길 62,807
강원특별자치도 삼척시 동해대로 4234,794
경기도 시흥시 산기대학로 237,771
서울특별시 성북구 종암로 196,767
부산광역시 사상구 낙동대로 1231,760
경기도 의정부시 체육로 187,754
경상북도 구미시 금오산로 218,741
대구광역시 달서구 달구벌대로 1095,726
울산광역시 중구 염포로 55,714
경상북도 경산시 경안로 43,692
강원특별자치도 춘천시 학당길 28,684
충청북도 청주시 청원구 대성로 298,678
충청남도 천안시 동남구 단대로 119,667
경기도 남양주시 퇴계원로 49-8,656
경기도 성남시 분당구 탄천로 215,644
서울특별시 노원구 화랑로 815,625
충청북도 제천시 세명로 65,617
전라남도 여수시 대통1길 45,584
전라남도 순천시 팔마로 333,571
강원특별자치도 홍천군 꽃뫼로 71,567
전북특별자치도 전주시 덕진구 안덕원로 195,565
서울특별시 은평구 연서로 117,548
경상남도 진주시 월아산로 973,521
경기도 구리시 체육관로 131,517
전북특별자치도 전주시 완산구 권삼득로 2,507
서울특별시 서대문구 연세로 50,496
서울특별시 금천구 시흥대로47길 45,464
대전광역시 서구 배재로 155-40,454
경기도 의정부시 호암로 95,430
경기도 양주시 부흥로 1533,427
전라남도 영광군 월현로 170,421
서울특별시 영등포구 영등포로62길 13,416
