0,1,2,3,4
"127.0381266,37.2866833","127.1374367,37.4338482","126.7980671,37.5014567","127.1374367,37.4338482","126.9463131,37.4063288"
"127.0381417,37.2866085","127.1376027,37.4338866","126.7979627,37.5013695","127.1376027,37.4338866","126.9465196,37.4063622"
"127.0388192,37.2866842","127.1380186,37.433905","126.7978715,37.5013212","127.1380186,37.433905","126.9466337,37.4063609"
"127.0388026,37.2868202","127.1381588,37.4338982","126.7978129,37.5013046","127.1381588,37.4338982","126.9467526,37.4063353"
"127.0387822,37.2868328","127.1382991,37.4338662","126.7977291,37.5013041","127.1382991,37.4338662","126.9469303,37.4062965"
"127.0383594,37.2867888","127.1382493,37.4341076","126.797625,37.5013053","127.1382493,37.4341076","126.9471307,37.4062298"
"127.0382927,37.2868228","127.1382206,37.434204","126.7972414,37.5013157","127.1382206,37.434204","126.9472351,37.4061708"
"127.0382439,37.2868703","127.1381494,37.4344408","126.7971599,37.5013197","127.1381494,37.4344408","126.9473225,37.4061199"
"127.0382116,37.2869748","127.1381093,37.4345435","126.7969777,37.5013285","127.1381093,37.4345435","126.9474293,37.4060374"
"127.0384614,37.287266","127.1380979,37.4345759","126.7969405,37.5004657","127.1380979,37.4345759","126.9475022,37.4059612"
"127.0394646,37.286675","127.1380864,37.4346083","126.7969323,37.500261","127.1380864,37.4346083","126.9475284,37.4059333"
"127.0394691,37.2866723","127.1379893,37.43459","126.7969211,37.4999996","127.1379893,37.43459","126.9476234,37.4057697"
"127.039511,37.2866472","127.1379261,37.4345781","126.7969165,37.4998923","127.1379261,37.4345781","126.9476818,37.4056582"
"127.0395914,37.2865998","127.1379238,37.4345771","126.7968994,37.4994253","127.1379238,37.4345771","126.9477258,37.4055223"
"127.0397544,37.2865048","127.1375477,37.4345075","126.7968855,37.4992116","127.1375477,37.4345075","126.9477524,37.4054377"
"127.03997,37.2866724","127.1374009,37.4344746","126.7968707,37.4989808","127.1374009,37.4344746","126.9477599,37.4051737"
"127.0400902,37.286754","127.1367121,37.4343328","126.7968646,37.4989095","127.1367121,37.4343328","126.9477442,37.4050095"
"127.0404664,37.2870322","127.136676,37.4343254","126.7968379,37.4987453","127.136676,37.4343254","126.9477375,37.4049924"
"127.0415994,37.2879056","127.1365224,37.4342961","126.7967508,37.4985014","127.1365224,37.4342961","126.9476611,37.4047883"
"127.0418083,37.2880731","127.1363869,37.434266","126.7967398,37.4984716","127.1363869,37.434266","126.9476555,37.4047739"
"127.0419688,37.2882017","127.1360109,37.4341846","126.7967122,37.4983993","127.1360109,37.4341846","126.9475086,37.4046326"
"127.0421327,37.2883358","127.1357478,37.4341288","126.7966664,37.4983351","127.1357478,37.4341288","126.9473029,37.4044829"
"127.0429096,37.2889698","127.1355276,37.4340821","126.7965838,37.4982147","127.1355276,37.4340821","126.9473386,37.4040882"
"127.043014,37.289054","127.1352396,37.4340227","126.7963116,37.4978075","127.1352396,37.4340227","126.9473035,37.4040854"
"127.0434518,37.2894081","127.1352114,37.4340163","126.7958887,37.4971785","127.1352114,37.4340163","126.9472799,37.4040799"
"127.0438201,37.289698","127.1351369,37.4339998","126.7958742,37.4971577","127.1351369,37.4339998","126.9472539,37.4040698"
"127.0439594,37.2898058","127.1350861,37.4339888","126.7958442,37.4970998","127.1350861,37.4339888","126.9472247,37.4040508"
"127.0443894,37.290141","127.1349867,37.433966","126.7957498,37.4969163","127.1349867,37.433966","126.9472035,37.4040209"
