0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"127.0381266,37.2866833","127.1233212,35.8320108","127.1374367,37.4338482","127.1233212,35.8320108","127.4214415,36.3541052","129.13722,35.1696018","126.8045332,35.1674043","128.7569862,35.8326784","128.6124293,35.8903564","127.4214415,36.3541052","127.8717722,36.9697338","126.7980671,37.5014567","129.13722,35.1696018","128.5646434,35.855231","129.13722,35.1696018"
"127.0381417,37.2866085","127.1233249,35.8321658","127.1376027,37.4338866","127.1233249,35.8321658","127.4214085,36.3547795","129.1375598,35.1691888","126.8044283,35.1669646","128.7569252,35.8325321","128.6119341,35.8898075","127.4214085,36.3547795","127.8717035,36.9692301","126.7979627,37.5013695","129.1375598,35.1691888","128.5651939,35.8554019","129.1375598,35.1691888"
"127.0388192,37.2866842","127.1233241,35.8323326","127.1380186,37.433905","127.1233241,35.8323326","127.4214049,36.3550283","129.1377523,35.1688805","126.8043698,35.1667443","128.7567814,35.8321865","128.6118346,35.8898201","127.4214049,36.3550283","127.8716813,36.9690661","126.7978715,37.5013212","129.1377523,35.1688805","128.5654608,35.8554843","129.1377523,35.1688805"
"127.0388026,37.2868202","127.1233293,35.8323994","127.1381588,37.4338982","127.1233293,35.8323994","127.4214027,36.3550382","129.1377753,35.1688207","126.8043496,35.1666666","128.7566076,35.8317682","128.6116593,35.8898028","127.4214027,36.3550382","127.8716669,36.9688787","126.7978129,37.5013046","129.1377753,35.1688207","128.5650176,35.8562924","129.1377753,35.1688207"
"127.0387822,37.2868328","127.1233366,35.8324914","127.1382991,37.4338662","127.1233366,35.8324914","127.4213915,36.3550752","129.1377736,35.1687369","126.8043369,35.1666043","128.7565041,35.8315204","128.6116283,35.8898022","127.4213915,36.3550752","127.8716541,36.9687895","126.7977291,37.5013041","129.1377736,35.1687369","128.5649711,35.8563776","129.1377736,35.1687369"
"127.0383594,37.2867888","127.1233374,35.8325662","127.1382493,37.4341076","127.1233374,35.8325662","127.4213524,36.3551689","129.1377591,35.1686722","126.8043316,35.1665772","128.7557899,35.8317226","128.6109224,35.8897952","127.4213524,36.3551689","127.8716227,36.9685615","126.797625,37.5013053","129.1377591,35.1686722","128.564864,35.8565705","129.1377591,35.1686722"
"127.0382927,37.2868228","127.1233369,35.8326744","127.1382206,37.434204","127.1233369,35.8326744","127.4213524,36.3552329","129.1379036,35.1685386","126.8043233,35.1665312","128.7554868,35.8318078","128.6103117,35.8898531","127.4213524,36.3552329","127.871597,36.9683588","126.7972414,37.5013157","129.1379036,35.1685386","128.5648262,35.8566403","129.1379036,35.1685386"
"127.0382439,37.2868703","127.1229117,35.8326658","127.1381494,37.4344408","127.1229117,35.8326658","127.4214549,36.3552321","129.1380748,35.1684245","126.8042738,35.1665372","128.755264,35.8314387","128.6103094,35.8898531","127.4212063,36.3552734","127.8715917,36.9681875","126.7971599,37.5013197","129.1380748,35.1684245","128.5649453,35.8566843","129.1380748,35.1684245"
"127.0382116,37.2869748","127.1227866,35.8326664","127.1381093,37.4345435","127.1227866,35.8326664","127.4215028,36.3552357","129.1379587,35.1683296","126.8034924,35.1666121","128.7550389,35.831561","128.6101473,35.8899033","127.4211305,36.3552842","127.8716126,36.9680991","126.7969777,37.5013285","129.1379587,35.1683296","128.5650109,35.8567063","129.1379587,35.1683296"
"127.0384614,37.287266","127.1227973,35.8329747","127.1380979,37.4345759","127.1227973,35.8329747","127.421553,36.3552403","129.1378051,35.1682289","126.8033913,35.1666232","128.7549436,35.8316251","128.610022,35.8899784","127.4210436,36.3552841","127.8716181,36.9680802","126.7969405,37.5004657","129.1378051,35.1682289","128.5651923,35.8567687","129.1378051,35.1682289"
"127.0394646,37.286675","127.1227992,35.8330388","127.1380864,37.4346083","127.1227992,35.8330388","127.4224299,36.3554185","129.1374633,35.168046","126.8031594,35.1666462","128.7546993,35.8317908","128.6098972,35.8900869","127.4207683,36.3552425","127.871659,36.9679475","126.7969323,37.500261","129.1374633,35.168046","128.5653347,35.8568188","129.1374633,35.168046"
