0,1,2,3,4,5
"128.9768431,35.1700074","127.2640589,37.0117461","128.9768431,35.1700074","127.6437964,34.7792854","128.8752536,35.2554189","127.0133776,37.5059758"
"128.9768418,35.1699398","127.2643735,37.0117765","128.9768418,35.1699398","127.6445649,34.7787443","128.8749998,35.2554245","127.0136273,37.5053189"
"128.9768361,35.1697424","127.2643997,37.0116647","128.9768361,35.1697424","127.6445921,34.7787028","128.8747248,35.2554159","127.0136526,37.5052586"
"128.9768364,35.1696396","127.2644454,37.0114386","128.9768364,35.1696396","127.6445965,34.7786758","128.8747016,35.2554045","127.0135156,37.5052797"
"128.9768361,35.1696252","127.2644716,37.0113133","128.9768361,35.1696252","127.6447329,34.7785764","128.8746869,35.255383","127.0130774,37.5053373"
"128.9768371,35.1696198","127.2645128,37.0110754","128.9768371,35.1696198","127.6453114,34.7781537","128.8746874,35.2553496","127.0127841,37.5053767"
"128.9768368,35.1696","127.2645324,37.0109231","128.9768368,35.1696","127.645426,34.7780769","128.874728,35.255149","127.0126131,37.5053985"
"128.976822,35.169391","127.2645314,37.0108672","128.976822,35.169391","127.6458474,34.777796","128.8747636,35.2547843","127.0122518,37.5054457"
"128.9768102,35.1692225","127.2645305,37.0108131","128.9768102,35.1692225","127.6463179,34.7774816","128.8746998,35.2547815","127.0121839,37.5054526"
"128.9768026,35.1691072","127.2644994,37.0106923","128.9768026,35.1691072","127.6466432,34.7772512","128.8743839,35.2547535","127.0120458,37.5054674"
"128.9767837,35.1688505","127.2644683,37.0105714","128.9767837,35.1688505","127.6467622,34.777169","128.8743447,35.2547774","127.0118081,37.5054745"
"128.9767734,35.1685864","127.264396,37.0103342","128.9767734,35.1685864","127.6471443,34.7775626","128.8743019,35.2547815","127.0116814,37.5054803"
"128.9767587,35.168317","127.264271,37.0100176","128.9767587,35.168317","127.6472374,34.7776581","128.8741115,35.2547656","127.0116769,37.5054803"
"128.9767559,35.1682855","127.2641929,37.0098344","128.9767559,35.1682855","127.6473863,34.7778067","128.8733036,35.2546981","127.0115456,37.5054806"
