0,1,2
"127.120365,37.4108159","126.7640258,37.5132275","126.9159523,37.5156159"
"127.1203093,37.410887","126.7641324,37.513211","126.9160047,37.5155747"
"127.120189,37.4111985","126.7642468,37.5131928","126.9160366,37.5155497"
"127.1200107,37.4111528","126.7642626,37.5131956","126.9161653,37.5154358"
"127.1195333,37.4110341","126.7642716,37.5132038","126.9161927,37.5154044"
"127.1194531,37.4110302","126.7642794,37.5132218","126.9162349,37.5153614"
"127.1193784,37.4110679","126.7642811,37.5132786","126.9162828,37.515321"
"127.1193261,37.4111191","126.7642729,37.5133029","126.9164339,37.5152416"
"127.1193089,37.411174","126.7642592,37.5133164","126.9166247,37.5151415"
"127.1193064,37.4112218","126.7642354,37.5133243","126.9164539,37.5149947"
"127.1193209,37.4112606","126.7640813,37.5133441","126.9163482,37.514904"
"127.1193636,37.4113022","126.7639611,37.5133632","126.9160594,37.5146556"
"127.1194199,37.411342","126.7639549,37.5135389","126.9159739,37.5145831"
"127.1194773,37.4113837","126.7639177,37.5136405","126.915962,37.5145163"
"127.1193526,37.411696","126.7638841,37.5137178","126.9159741,37.5144163"
"127.1193103,37.411786","126.7638759,37.5137475","126.9159864,37.5142911"
"127.1193753,37.4118863","126.7638595,37.5138015","126.9159398,37.5141647"
"127.1198183,37.4125656","126.7638437,37.5139132","126.9159365,37.5141575"
"127.119852,37.4126062","126.7643318,37.5138702","126.9158373,37.5139659"
"127.1198722,37.4126225","126.7643612,37.5136469","126.9166556,37.5134994"
"127.1198947,37.4126424","126.7644293,37.5133985","126.916692,37.5134789"
"127.1199398,37.4126687","126.7644659,37.513241","126.9167369,37.5135224"
"127.120648,37.4129585","126.7646128,37.5127931","126.9167969,37.5136723"
"127.1207044,37.4129803","126.7646988,37.5125656","126.9168247,37.5137283"
"127.1207438,37.4130021","126.7647303,37.5124711","126.9169283,37.5139433"
"127.1207956,37.4130356","126.7647435,37.5123892","126.9170339,37.5141782"
"127.1208373,37.4130628","126.7647429,37.5123333","126.9170873,37.5142957"
"127.1209262,37.4131307","126.7647261,37.5122052","126.9171007,37.5143228"
"127.1209657,37.4131542","126.7646806,37.5120039","126.9171431,37.5144068"
"127.1210401,37.4131905","126.7645959,37.5116383","126.917212,37.5145658"
"127.122259,37.4137181","126.7645289,37.5113197","126.9172927,37.5146626"
"127.122303,37.4137354","126.7645039,37.5112105","126.9173353,37.5147142"
"127.1223289,37.4137436","126.764468,37.5110598","126.9175442,37.5149162"
"127.1225761,37.4138129","126.7644388,37.5109316","126.9176083,37.514967"
"127.1227883,37.4138442","126.7644355,37.5109172","126.917714,37.5150505"
"127.1239613,37.4138425","126.7644064,37.5107728","126.9176523,37.515125"
"127.1242009,37.4138406","126.7643697,37.5105851","126.9173644,37.5156247"
"127.1242314,37.4138407","126.7643503,37.5104885","126.917315,37.515729"
"127.1249999,37.4138422","126.7641746,37.509596","126.9170733,37.5162479"
"127.1250123,37.4138423","126.7641714,37.5095806","126.9167888,37.5168883"
"127.1257954,37.4138348","126.7641616,37.5095418","126.9165483,37.5174045"
"127.1258395,37.413835","126.7638973,37.5083387","126.9167132,37.5174431"
"127.1260497,37.4138284","126.7638822,37.5082629","126.9168353,37.5174591"
"127.1262758,37.4138219","126.7638747,37.5082232","126.9169145,37.5174567"
"127.1263086,37.4138202","126.7638499,37.5081022","126.9169995,37.5174482"
"127.1266193,37.4138221","126.7636443,37.5070265","126.9170504,37.5174403"
"127.1267741,37.4138244","126.7636389,37.5069995","126.9171162,37.5174244"
"127.1269719,37.4138241","126.763528,37.5065436","126.9171843,37.5174004"
"127.1273685,37.4138245","126.7634429,37.5061104","126.9172127,37.5173897"
"127.1275493,37.4138241","126.7633814,37.5058045","126.9172886,37.5173694"
"127.1280771,37.4138195","126.7633663,37.505726","126.9179405,37.5172112"
"127.1283777,37.4138177","126.7633394,37.5055861","126.9182115,37.517145"
"127.1284342,37.4138188","126.763321,37.5055012","126.9186504,37.5170236"
"127.1284783,37.413819","126.7632128,37.5050048","126.9187071,37.5170077"
"127.1285992,37.4138157","126.7631621,37.5047503","126.9188249,37.5169875"
"127.1287551,37.4138162","126.7629627,37.5047797","126.9189732,37.5169739"
"127.1287868,37.4138163","126.7621844,37.5048866","126.9193311,37.5169378"
"127.1287872,37.4139488","126.7616405,37.5049662","126.9195754,37.5169498"
"127.1287859,37.4139975","126.7602516,37.505154","126.9196969,37.5168972"
"127.1287856,37.414057","126.7591004,37.5053216","126.919832,37.5168438"
"127.1287864,37.4143553","126.7586936,37.5053804","126.9203188,37.5166704"
"127.1288362,37.4166243","126.7582745,37.50543","126.9206773,37.5165496"
"127.1288371,37.4166666","126.7579426,37.5054694","126.9227025,37.5158645"
"127.128837,37.4166991","126.7556344,37.5057144","126.9235809,37.515529"
"127.1288367,37.4167432","126.7554328,37.5057348","126.9241824,37.5152985"
"127.1288376,37.4167955","126.7551723,37.5057647","126.9242584,37.5152763"
"127.1288386,37.4168226","126.7551428,37.5057681","126.924973,37.5150509"
"127.1288395,37.4168604","126.7546924,37.5057815","126.9256284,37.5148747"
"127.1288404,37.4169262","126.7543823,37.5057949","126.9263628,37.5147169"
"127.1288418,37.417084","126.7538448,37.5058032","126.9265033,37.5146915"
"127.1288426,37.4173769","126.7535981,37.505808","126.9265249,37.5146871"
"127.1288539,37.4178358","126.7532789,37.505815","126.9267674,37.5146432"
"127.128855,37.4178556","126.7531862,37.5058153","126.9269283,37.5146142"
"127.1288569,37.4179286","126.7531477,37.5058159","126.9270585,37.5145968"
"127.1288742,37.4187687","126.7524881,37.5058136","126.9274367,37.5145608"
"127.128873,37.4187922","126.7520706,37.5058118","126.9275579,37.5145488"
"127.1288748,37.4188859","126.7517505,37.5059179","126.9277096,37.5145342"
"127.1288772,37.4190761","126.7510455,37.5059333","126.9285304,37.514485"
"127.128879,37.4191717","126.7499994,37.5059961","126.9285395,37.5144841"
"127.128896,37.4196278","126.7492256,37.5061002","126.9290136,37.5144846"
"127.1289131,37.4200389","126.7490319,37.5061224","126.9294729,37.5144967"
"127.1289454,37.4208223","126.748973,37.5061302","126.9298518,37.5145175"
"127.1289596,37.4211577","126.7486919,37.5061788","126.9299706,37.5145235"
"127.1289639,37.4214281","126.7484608,37.5062098","126.9337795,37.5148041"
"127.1289646,37.4215173","126.7479421,37.5062669","126.9338768,37.5148109"
"127.1289644,37.421557","126.7477393,37.5058402","126.9347134,37.5149122"
