0,1,2,3,4,5,6,7,8,9
"128.5800484,35.2208757","128.5606804,35.8522764","127.0100787,35.9679017","128.5646434,35.855231","128.5646434,35.855231","128.8489226,35.9006715","127.3651416,36.3205265","128.4842003,35.8559052","128.5800484,35.2208757","128.5606804,35.8522764"
"128.5800623,35.2209333","128.561509,35.8527118","127.0101033,35.9680389","128.5651939,35.8554019","128.5651939,35.8554019","128.8488873,35.9006827","127.3651715,36.3205761","128.4841995,35.8553976","128.5800623,35.2209333","128.561509,35.8527118"
"128.5800658,35.2209422","128.5616272,35.8527756","127.0100854,35.9682417","128.5654608,35.8554843","128.5654608,35.8554843","128.8483618,35.9007995","127.3652127,36.3206195","128.4842222,35.8552576","128.5800658,35.2209422","128.5616272,35.8527756"
"128.5802119,35.2213575","128.5615727,35.852841","127.0100255,35.9684307","128.5650176,35.8562924","128.5650176,35.8562924","128.8480943,35.9008368","127.3652717,36.3206637","128.4842579,35.8551906","128.5802119,35.2213575","128.5615727,35.852841"
"128.580334,35.2216954","128.5613632,35.8530728","127.0098173,35.9687301","128.5649711,35.8563776","128.5649711,35.8563776","128.8479992,35.9008496","127.3653629,36.3207161","128.4843244,35.8551081","128.580334,35.2216954","128.5613632,35.8530728"
"128.5804617,35.2220496","128.5612902,35.8531609","127.0096566,35.9688927","128.564864,35.8565705","128.564864,35.8565705","128.8473946,35.9008708","127.3654797,36.3208136","128.4845744,35.8549077","128.5804617,35.2220496","128.5612902,35.8531609"
"128.5805173,35.2221852","128.5611648,35.8533107","127.009474,35.9690163","128.5648262,35.8566403","128.5648262,35.8566403","128.8472872,35.9008747","127.3655208,36.3208894","128.4847817,35.854741","128.5805173,35.2221852","128.5611648,35.8533107"
"128.5805367,35.2222328","128.5600181,35.8546002","127.0092239,35.9690992","128.5649453,35.8566843","128.5649453,35.8566843","128.8464818,35.9008855","127.3655419,36.3209489","128.4848563,35.8546809","128.5805367,35.2222328","128.5600181,35.8546002"
"128.5806666,35.2226654","128.5597267,35.8549273","127.0089742,35.9691333","128.5650109,35.8567063","128.5650109,35.8567063","128.8460132,35.9008908","127.3655684,36.3211076","128.4849591,35.8545835","128.5806666,35.2226654","128.5597267,35.8549273"
"128.5808316,35.2226846","128.5596405,35.8550255","127.0082557,35.9690997","128.5651923,35.8567687","128.5651923,35.8567687","128.8455965,35.9008882","127.3655683,36.3211292","128.4849624,35.8544889","128.5808316,35.2226846","128.5596405,35.8550255"
"128.5808702,35.2226942","128.5596122,35.8550573","127.0082337,35.9692511","128.5653347,35.8568188","128.5653347,35.8568188","128.8452774,35.9008864","127.3655693,36.3211878","128.4849663,35.854359","128.5808702,35.2226942","128.5596122,35.8550573"
"128.5809036,35.2227255","128.5594769,35.8552135","127.0082141,35.9693709","128.5656696,35.8569339","128.5656696,35.8569339","128.8451278,35.9008854","127.3655533,36.3214159","128.4849761,35.8540731","128.5809036,35.2227255","128.5594769,35.8552135"
