0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
"127.1257988,37.5209181","126.7204612,37.6176335","126.8931815,37.544566","127.1467643,37.5573181","128.5879815,35.8822599","128.3442375,36.1198162","127.0133776,37.5059758","127.3454797,36.3666625","127.1374367,37.4338482","128.0853045,36.1399784","129.350536,35.5610402","129.13722,35.1696018","127.0205474,36.7681965","128.4842003,35.8559052","127.164326,36.7859793","127.0748146,36.7364429","127.1683094,36.8371271","127.0469142,37.557618","127.0748146,36.7364429","128.5879815,35.8822599","128.5606804,35.8522764","128.5800484,35.2208757","126.8136189,37.3260753","127.1320036,35.8464247","127.1233212,35.8320108","127.1765348,37.7167562","127.1233212,35.8320108","127.4214415,36.3541052","126.8362526,37.5068025","126.8136189,37.3260753","127.1765348,37.7167562","127.8717722,36.9697338","128.8985464,37.7737494","129.350536,35.5610402","128.8985464,37.7737494","126.8625196,37.5004529","128.5879815,35.8822599","126.7640258,37.5132275","127.0985926,37.4886069","127.1233212,35.8320108","126.957535,37.5048556","129.1740081,37.4564132","127.1487315,35.8379437","128.5606804,35.8522764","126.7331755,37.4341334","127.079709,37.5521239","127.0718812,37.5086","127.0381266,37.2866833","127.1374367,37.4338482","127.0718812,37.5086","126.7331755,37.4341334","127.0474402,37.6779158","127.0957578,37.4993217","127.0381266,37.2866833","127.3651416,36.3205265","127.0718812,37.5086","126.7331755,37.4341334","127.0474402,37.6779158","127.9349995,37.3719471","126.7171026,37.5432378","127.164326,36.7859793","126.7331755,37.4341334","127.0227673,37.7457957","126.9270407,37.3570896","127.0729812,37.5294262","127.0957578,37.4993217","126.8969363,37.5671883","126.9388522,37.5666171","126.8625196,37.5004529","127.0521747,37.596351","127.1374367,37.4338482","128.5606804,35.8522764","127.1374367,37.4338482","126.9388522,37.5666171","126.9388522,37.5666171","126.8362526,37.5068025","126.8625196,37.5004529","127.1374367,37.4338482","127.0469142,37.557618","127.0331137,37.6069436","126.8362526,37.5068025","126.7331755,37.4341334","127.1467643,37.5573181","127.0957578,37.4993217","126.957535,37.5048556","127.255847,37.4106875","126.7331755,37.4341334","126.7980671,37.5014567","126.7331755,37.4341334","128.6635186,35.2337774","127.078355,37.631635","126.7980671,37.5014567","127.078355,37.631635","127.1320036,35.8464247","127.0729812,37.5294262","127.1374367,37.4338482","127.0474402,37.6779158","127.1374367,37.4338482","127.0985926,37.4886069","127.0729812,37.5294262","127.2025978,37.2948042","127.0474402,37.6779158","126.957535,37.5048556","127.255847,37.4106875"
"127.1258004,37.5210614","126.7204582,37.617593","126.893104,37.544489","127.1466963,37.5573332","128.5880467,35.8822467","128.3440997,36.1198163","127.0136273,37.5053189","127.3454709,36.3666075","127.1376027,37.4338866","128.0853114,36.1400109","129.3505364,35.5611547","129.1375598,35.1691888","127.0205338,36.7682208","128.4841995,35.8553976","127.1641921,36.7863512","127.0750388,36.7367988","127.1682824,36.8371396","127.0470494,37.5571769","127.0750388,36.7367988","128.5880467,35.8822467","128.561509,35.8527118","128.5800623,35.2209333","126.8124931,37.3261336","127.1322871,35.8464247","127.1233249,35.8321658","127.1768636,37.7168166","127.1233249,35.8321658","127.4214085,36.3547795","126.8358745,37.5068247","126.8124931,37.3261336","127.1768636,37.7168166","127.8717035,36.9692301","128.8985438,37.7737963","129.3505364,35.5611547","128.8985438,37.7737963","126.862731,37.5000773","128.5880467,35.8822467","126.7641324,37.513211","127.0985465,37.4885428","127.1233249,35.8321658","126.9577243,37.5051305","129.1738826,37.4564637","127.1482685,35.8379982","128.561509,35.8527118","126.7331185,37.4341763","127.0798964,37.5522147","127.0740801,37.508927","127.0381417,37.2866085","127.1376027,37.4338866","127.0740801,37.508927","126.7331185,37.4341763","127.0475072,37.6779007","127.0951444,37.4993655","127.0381417,37.2866085","127.3651715,36.3205761","127.0740801,37.508927","126.7331185,37.4341763","127.0475072,37.6779007","127.9351684,37.3716671","126.7171224,37.5435075","127.1641921,36.7863512","126.7331185,37.4341763","127.0225621,37.745574","126.9273399,37.3572497","127.0730292,37.5295336","127.0951444,37.4993655","126.8968615,37.5672024","126.9386242,37.5666683","126.862731,37.5000773","127.052356,37.5959668","127.1376027,37.4338866","128.561509,35.8527118","127.1376027,37.4338866","126.9386242,37.5666683","126.9390428,37.5665739","126.8358745,37.5068247","126.862731,37.5000773","127.1376027,37.4338866","127.0470494,37.5571769","127.033225,37.606543","126.8358745,37.5068247","126.7331185,37.4341763","127.1466963,37.5573332","127.0951444,37.4993655","126.9577243,37.5051305","127.2559991,37.410458","126.7331185,37.4341763","126.7979627,37.5013695","126.7331185,37.4341763","128.6634978,35.2338579","127.0782872,37.6315824","126.7979627,37.5013695","127.0782872,37.6315824","127.1322871,35.8464247","127.0730292,37.5295336","127.1376027,37.4338866","127.0475072,37.6779007","127.1376027,37.4338866","127.0985465,37.4885428","127.0730292,37.5295336","127.2026521,37.2953388","127.0475072,37.6779007","126.9577243,37.5051305","127.2559991,37.410458"
"127.1258364,37.5213247","126.7205128,37.6175726","126.8929743,37.544565","127.1467398,37.5577156","128.5891631,35.8819859","128.3439118,36.1198077","127.0136526,37.5052586","127.3454346,36.3663479","127.1380186,37.433905","128.0852732,36.1401048","129.3507174,35.5611537","129.1377523,35.1688805","127.0205158,36.7682378","128.4842222,35.8552576","127.1642605,36.7863478","127.0753497,36.7372912","127.1682397,36.8371602","127.0471021,37.5570743","127.0753497,36.7372912","128.5891631,35.8819859","128.5616272,35.8527756","128.5800658,35.2209422","126.8121498,37.3261515","127.1323747,35.8463997","127.1233241,35.8323326","127.1774331,37.7168263","127.1233241,35.8323326","127.4214049,36.3550283","126.835649,37.5068658","126.8121498,37.3261515","127.1774331,37.7168263","127.8716813,36.9690661","128.8985409,37.7738828","129.3507174,35.5611537","128.8985409,37.7738828","126.8627655,37.5000162","128.5891631,35.8819859","126.7642468,37.5131928","127.0984182,37.4884162","127.1233241,35.8323326","126.9578484,37.5051743","129.1736332,37.4565348","127.1481555,35.8379961","128.5616272,35.8527756","126.7331151,37.4341781","127.0799877,37.5522926","127.0740869,37.5089279","127.0388192,37.2866842","127.1380186,37.433905","127.0740869,37.5089279","126.7331151,37.4341781","127.0475674,37.677873","127.0950221,37.4993741","127.0388192,37.2866842","127.3652127,36.3206195","127.0740869,37.5089279","126.7331151,37.4341781","127.0475674,37.677873","127.9353096,37.3714746","126.7170725,37.5435116","127.1642605,36.7863478","126.7331151,37.4341781","127.0223119,37.7453044","126.9274984,37.3573316","127.0732866,37.5294499","127.0950221,37.4993741","126.8966766,37.5672384","126.9384249,37.5666746","126.8627655,37.5000162","127.0525395,37.5955781","127.1380186,37.433905","128.5616272,35.8527756","127.1380186,37.433905","126.9384249,37.5666746","126.9393989,37.5664935","126.835649,37.5068658","126.8627655,37.5000162","127.1380186,37.433905","127.0471021,37.5570743","127.0333167,37.6065596","126.835649,37.5068658","126.7331151,37.4341781","127.1467398,37.5577156","127.0950221,37.4993741","126.9578484,37.5051743","127.256066,37.4103869","126.7331151,37.4341781","126.7978715,37.5013212","126.7331151,37.4341781","128.6634766,35.2339888","127.0781123,37.6314583","126.7978715,37.5013212","127.0781123,37.6314583","127.1323747,35.8463997","127.0732866,37.5294499","127.1380186,37.433905","127.0475674,37.677873","127.1380186,37.433905","127.0984182,37.4884162","127.0732866,37.5294499","127.2027488,37.2954139","127.0475674,37.677873","126.9578484,37.5051743","127.256066,37.4103869"
"127.1258563,37.5214266","126.7206392,37.6175202","126.8928322,37.5446472","127.1467247,37.5577813","128.5894172,35.881934","128.3438493,36.1197829","127.0135156,37.5052797","127.345374,36.3660097","127.1381588,37.4338982","128.0853874,36.1403666","129.3507362,35.5607279","129.1377753,35.1688207","127.0204764,36.7682539","128.4842579,35.8551906","127.1644735,36.7863367","127.0753991,36.7372743","127.1680845,36.8372571","127.0471428,37.5570772","127.0753991,36.7372743","128.5894172,35.881934","128.5615727,35.852841","128.5802119,35.2213575","126.8121216,37.3260233","127.1324991,35.8463162","127.1233293,35.8323994","127.1774739,37.7168498","127.1233293,35.8323994","127.4214027,36.3550382","126.835399,37.5068662","126.8121216,37.3260233","127.1774739,37.7168498","127.8716669,36.9688787","128.898509,37.7739941","129.3507362,35.5607279","128.898509,37.7739941","126.8627747,37.4999991","128.5894172,35.881934","126.7642626,37.5131956","127.0983924,37.4883899","127.1233293,35.8323994","126.9580217,37.5051417","129.1734687,37.4565624","127.1481989,35.8374408","128.5615727,35.852841","126.7330245,37.4341973","127.0800663,37.5524028","127.0741796,37.50894","127.0388026,37.2868202","127.1381588,37.4338982","127.0741796,37.50894","126.7330245,37.4341973","127.0476516,37.6778355","127.0947528,37.4993967","127.0388026,37.2868202","127.3652717,36.3206637","127.0741796,37.50894","126.7330245,37.4341973","127.0476516,37.6778355","127.9353623,37.3714131","126.7168448,37.5435282","127.1644735,36.7863367","126.7330245,37.4341973","127.0222927,37.7452782","126.9275049,37.3573713","127.0732878,37.529449","127.0947528,37.4993967","126.8963228,37.5672987","126.9384,37.5666745","126.8627747,37.4999991","127.0525499,37.5955574","127.1381588,37.4338982","128.5615727,35.852841","127.1381588,37.4338982","126.9384,37.5666745","126.9395921,37.5664124","126.835399,37.5068662","126.8627747,37.4999991","127.1381588,37.4338982","127.0471428,37.5570772","127.0334151,37.606578","126.835399,37.5068662","126.7330245,37.4341973","127.1467247,37.5577813","127.0947528,37.4993967","126.9580217,37.5051417","127.256142,37.4103041","126.7330245,37.4341973","126.7978129,37.5013046","126.7330245,37.4341973","128.6633667,35.2339926","127.077699,37.6311937","126.7978129,37.5013046","127.077699,37.6311937","127.1324991,35.8463162","127.0732878,37.529449","127.1381588,37.4338982","127.0476516,37.6778355","127.1381588,37.4338982","127.0983924,37.4883899","127.0732878,37.529449","127.2027533,37.2954373","127.0476516,37.6778355","126.9580217,37.5051417","127.256142,37.4103041"
"127.1258739,37.5215249","126.7210017,37.6182888","126.8926581,37.5447571","127.1462286,37.5578375","128.5896702,35.8818831","128.3438244,36.1197416","127.0130774,37.5053373","127.3453345,36.3656941","127.1382991,37.4338662","128.0854244,36.1404079","129.3517305,35.5607361","129.1377736,35.1687369","127.0204249,36.7682591","128.4843244,35.8551081","127.1646529,36.7863299","127.0756908,36.7371906","127.1679013,36.8373675","127.0472437,37.557065","127.0756908,36.7371906","128.5896702,35.8818831","128.5613632,35.8530728","128.580334,35.2216954","126.8121073,37.3258628","127.1323622,35.8462247","127.1233366,35.8324914","127.1775,37.7168544","127.1233366,35.8324914","127.4213915,36.3550752","126.8351365,37.5068575","126.8121073,37.3258628","127.1775,37.7168544","127.8716541,36.9687895","128.8985066,37.7740509","129.3517305,35.5607361","128.8985066,37.7740509","126.8627885,37.4999721","128.5896702,35.8818831","126.7642716,37.5132038","127.0983429,37.488342","127.1233366,35.8324914","126.9582804,37.5050402","129.173302,37.45659","127.1485084,35.8355637","128.5613632,35.8530728","126.7329512,37.434186","127.0800774,37.5524398","127.0741157,37.5092273","127.0387822,37.2868328","127.1382991,37.4338662","127.0741157,37.5092273","126.7329512,37.434186","127.048385,37.677503","127.0947451,37.4993543","127.0387822,37.2868328","127.3653629,36.3207161","127.0741157,37.5092273","126.7329512,37.434186","127.048385,37.677503","127.9355248,37.3713746","126.7167835,37.5435476","127.1646529,36.7863299","126.7329512,37.434186","127.022293,37.7452358","126.9273818,37.3575185","127.0733909,37.5294232","127.0947451,37.4993543","126.8962389,37.5673091","126.9383616,37.5666662","126.8627885,37.4999721","127.0525115,37.595533","127.1382991,37.4338662","128.5613632,35.8530728","127.1382991,37.4338662","126.9383616,37.5666662","126.9396805,37.5664002","126.8351365,37.5068575","126.8627885,37.4999721","127.1382991,37.4338662","127.0472437,37.557065","127.0334762,37.606589","126.8351365,37.5068575","126.7329512,37.434186","127.1462286,37.5578375","127.0948001,37.4996411","126.9582804,37.5050402","127.2561919,37.4102619","126.7329512,37.434186","126.7977291,37.5013041","126.7329512,37.434186","128.6633129,35.233994","127.0776512,37.6312178","126.7977291,37.5013041","127.0776512,37.6312178","127.1323622,35.8462247","127.0733909,37.5294232","127.1382991,37.4338662","127.048385,37.677503","127.1382991,37.4338662","127.0983429,37.488342","127.0733909,37.5294232","127.2027931,37.2956249","127.048385,37.677503","126.9582804,37.5050402","127.2561919,37.4102619"
"127.1258997,37.5215746","126.7210249,37.6183385","126.8924738,37.5448725","127.1460847,37.5578533","128.5896169,35.8817086","128.3438189,36.1193287","127.0127841,37.5053767","127.345308,36.3655345","127.1382493,37.4341076","128.08555,36.1405578","129.3519523,35.5607408","129.1377591,35.1686722","127.0201974,36.7682546","128.4845744,35.8549077","127.1647404,36.7862986","127.0757718,36.7373225","127.16778,36.837405","127.0477199,37.5569478","127.0757718,36.7373225","128.5896169,35.8817086","128.5612902,35.8531609","128.5804617,35.2220496","126.8098558,37.3259506","127.1320372,35.8458658","127.1233374,35.8325662","127.1775192,37.7168662","127.1233374,35.8325662","127.4213524,36.3551689","126.83489,37.506848","126.8098558,37.3259506","127.1775192,37.7168662","127.8716227,36.9685615","128.8985241,37.7742571","129.3519523,35.5607408","128.8985241,37.7742571","126.8628493,37.4999995","128.5896169,35.8817086","126.7642794,37.5132218","127.0982382,37.4882398","127.1233374,35.8325662","126.9583774,37.5049324","129.1729746,37.4565604","127.1486123,35.8353575","128.5612902,35.8531609","126.7329099,37.4341317","127.0800461,37.5525821","127.074089,37.5093498","127.0383594,37.2867888","127.1382493,37.4341076","127.074089,37.5093498","126.7329099,37.4341317","127.048567,37.6774208","127.0947352,37.4992938","127.0383594,37.2867888","127.3654797,36.3208136","127.074089,37.5093498","126.7329099,37.4341317","127.048567,37.6774208","127.935636,37.3712751","126.7167641,37.5435655","127.1647404,36.7862986","126.7329099,37.4341317","127.0223002,37.7451836","126.9270995,37.3578245","127.0734068,37.5294196","127.0947352,37.4992938","126.896144,37.5672933","126.9383244,37.5666417","126.8628493,37.4999995","127.0524991,37.5955167","127.1382493,37.4341076","128.5612902,35.8531609","127.1382493,37.4341076","126.9383244,37.5666417","126.9396465,37.5662459","126.83489,37.506848","126.8628493,37.4999995","127.1382493,37.4341076","127.0477199,37.5569478","127.0336573,37.6066222","126.83489,37.506848","126.7329099,37.4341317","127.1460847,37.5578533","127.0948221,37.499752","126.9583774,37.5049324","127.2562372,37.4102223","126.7329099,37.4341317","126.797625,37.5013053","126.7329099,37.4341317","128.6632121,35.2340166","127.0776081,37.6312276","126.797625,37.5013053","127.0776081,37.6312276","127.1320372,35.8458658","127.0734068,37.5294196","127.1382493,37.4341076","127.048567,37.6774208","127.1382493,37.4341076","127.0982382,37.4882398","127.0734068,37.5294196","127.2027931,37.2956258","127.048567,37.6774208","126.9583774,37.5049324","127.2562372,37.4102223"
"127.1260371,37.5217075","126.7212613,37.6182761","126.8923042,37.5449789","127.1459669,37.5578665","128.5894143,35.8810722","128.3438878,36.1193273","127.0126131,37.5053985","127.3453003,36.365484","127.1382206,37.434204","128.0857702,36.1407227","129.3520075,35.5607408","129.1379036,35.1685386","127.0201808,36.7693047","128.4847817,35.854741","127.1647888,36.7862654","127.0761615,36.7379567","127.1676297,36.8373983","127.0477947,37.5569292","127.0761615,36.7379567","128.5894143,35.8810722","128.5611648,35.8533107","128.5805173,35.2221852","126.8097993,37.3259548","127.131912,35.8456328","127.1233369,35.8326744","127.1775592,37.717061","127.1233369,35.8326744","127.4213524,36.3552329","126.834771,37.5068708","126.8097993,37.3259548","127.1775592,37.717061","127.871597,36.9683588","128.8985768,37.7743384","129.3520075,35.5607408","128.8985768,37.7743384","126.8629474,37.5000361","128.5894143,35.8810722","126.7642811,37.5132786","127.0978702,37.4878798","127.1233369,35.8326744","126.9584173,37.5048849","129.1726914,37.4564851","127.1488057,35.8354392","128.5611648,35.8533107","126.7329037,37.4340703","127.0800107,37.5526324","127.0740715,37.509439","127.0382927,37.2868228","127.1382206,37.434204","127.0740715,37.509439","126.7329037,37.4340703","127.0488103,37.6773099","127.0946027,37.4993222","127.0382927,37.2868228","127.3655208,36.3208894","127.0740715,37.509439","126.7329037,37.4340703","127.0488103,37.6773099","127.9356371,37.3712742","126.7167536,37.5435916","127.1647888,36.7862654","126.7329037,37.4340703","127.0223298,37.7451639","126.926834,37.3576943","127.0734419,37.5294108","127.0946027,37.4993222","126.8960706,37.5671181","126.9382493,37.5665331","126.8629474,37.5000361","127.0524868,37.5954995","127.1382206,37.434204","128.5611648,35.8533107","127.1382206,37.434204","126.9382493,37.5665331","126.9396367,37.5662026","126.834771,37.5068708","126.8629474,37.5000361","127.1382206,37.434204","127.0477947,37.5569292","127.0337558,37.6066397","126.834771,37.5068708","126.7329037,37.4340703","127.1459669,37.5578665","127.0948592,37.4999991","126.9584173,37.5048849","127.2563934,37.4101316","126.7329037,37.4340703","126.7972414,37.5013157","126.7329037,37.4340703","128.6630965,35.2340736","127.077565,37.6312346","126.7972414,37.5013157","127.077565,37.6312346","127.131912,35.8456328","127.0734419,37.5294108","127.1382206,37.434204","127.0488103,37.6773099","127.1382206,37.434204","127.0978702,37.4878798","127.0734419,37.5294108","127.2027613,37.2956861","127.0488103,37.6773099","126.9584173,37.5048849","127.2563934,37.4101316"
"127.1260867,37.5217329","126.721292,37.6182681","126.8921404,37.5450745","127.1457947,37.5578858","128.5893853,35.8809814","128.3438884,36.1188676","127.0122518,37.5054457","127.3452112,36.3649096","127.1381494,37.4344408","128.0859231,36.1408076","129.3522767,35.5607403","129.1380748,35.1684245","127.0203612,36.7693126","128.4848563,35.8546809","127.1648758,36.7860989","127.0766211,36.7387048","127.1674637,36.837396","127.0479329,37.556927","127.0766211,36.7387048","128.5893853,35.8809814","128.5600181,35.8546002","128.5805367,35.2222328","126.8096469,37.3259647","127.1318874,35.8454497","127.1229117,35.8326658","127.1775759,37.7171394","127.1229117,35.8326658","127.4214549,36.3552321","126.8347289,37.5068976","126.8096469,37.3259647","127.1775759,37.7171394","127.8715917,36.9681875","128.89867,37.7744671","129.3522767,35.5607403","128.89867,37.7744671","126.8630083,37.500059","128.5893853,35.8809814","126.7642729,37.5133029","127.0977723,37.4877839","127.1229117,35.8326658","126.9584742,37.504841","129.1725133,37.4563542","127.1490853,35.8355509","128.5600181,35.8546002","126.7329178,37.4340253","127.079957,37.5527116","127.0740425,37.5095668","127.0382439,37.2868703","127.1381494,37.4344408","127.0740425,37.5095668","126.7329178,37.4340253","127.0488228,37.6773046","127.0931439,37.4996246","127.0382439,37.2868703","127.3655419,36.3209489","127.0740425,37.5095668","126.7329178,37.4340253","127.0488228,37.6773046","127.9357357,37.3711314","126.7167504,37.5437907","127.1648758,36.7860989","126.7329178,37.4340253","127.022486,37.7450536","126.9264741,37.3574997","127.073571,37.5293995","127.0931439,37.4996246","126.8960152,37.5669754","126.9381618,37.5664246","126.8630083,37.500059","127.0524746,37.595458","127.1381494,37.4344408","128.5600181,35.8546002","127.1381494,37.4344408","126.9381618,37.5664246","126.9394619,37.5659494","126.8347289,37.5068976","126.8630083,37.500059","127.1381494,37.4344408","127.0479329,37.556927","127.0338995,37.6066664","126.8347289,37.5068976","126.7329178,37.4340253","127.1457947,37.5578858","127.0948669,37.5000451","126.9584742,37.504841","127.2564885,37.4100975","126.7329178,37.4340253","126.7971599,37.5013197","126.7329178,37.4340253","128.6627135,35.2342657","127.0775197,37.6312291","126.7971599,37.5013197","127.0775197,37.6312291","127.1318874,35.8454497","127.073571,37.5293995","127.1381494,37.4344408","127.0488228,37.6773046","127.1381494,37.4344408","127.0977723,37.4877839","127.073571,37.5293995","127.202742,37.2957248","127.0488228,37.6773046","126.9584742,37.504841","127.2564885,37.4100975"
"127.1261523,37.5217404","126.7214647,37.6182224","126.8918619,37.5447981","127.145354,37.5579358","128.5892567,35.8805651","128.343919,36.1188196","127.0121839,37.5054526","127.345166,36.364649","127.1381093,37.4345435","128.0859945,36.1408478","129.352394,35.5610459","129.1379587,35.1683296","127.0206968,36.7693933","128.4849591,35.8545835","127.1649379,36.7859945","127.0766744,36.7387915","127.1672934,36.8373649","127.0480754,37.5569492","127.0766744,36.7387915","128.5892567,35.8805651","128.5597267,35.8549273","128.5806666,35.2226654","126.8093984,37.3259813","127.131885,35.8452585","127.1227866,35.8326664","127.1777312,37.7174373","127.1227866,35.8326664","127.4215028,36.3552357","126.8347068,37.5069614","126.8093984,37.3259813","127.1777312,37.7174373","127.8716126,36.9680991","128.898605,37.7745129","129.352394,35.5610459","128.898605,37.7745129","126.8636512,37.5002986","128.5892567,35.8805651","126.7642592,37.5133164","127.0976171,37.4876238","127.1227866,35.8326664","126.9586282,37.5051319","129.1724598,37.4562873","127.1491251,35.8355691","128.5597267,35.8549273","126.7329521,37.4339859","127.0797833,37.5527975","127.0740262,37.5096443","127.0382116,37.2869748","127.1381093,37.4345435","127.0740262,37.5096443","126.7329521,37.4339859","127.0488991,37.6772661","127.0930941,37.499637","127.0382116,37.2869748","127.3655684,36.3211076","127.0740262,37.5096443","126.7329521,37.4339859","127.0488991,37.6772661","127.9358219,37.3709968","126.7171354,37.5437771","127.1649379,36.7859945","126.7329521,37.4339859","127.0227643,37.745016","126.9261928,37.3578129","127.0740153,37.5292893","127.0930941,37.499637","126.8959808,37.5668851","126.9380955,37.5663639","126.8636512,37.5002986","127.0524874,37.5953995","127.1381093,37.4345435","128.5597267,35.8549273","127.1381093,37.4345435","126.9380955,37.5663639","126.9392599,37.5657078","126.8347068,37.5069614","126.8636512,37.5002986","127.1381093,37.4345435","127.0480754,37.5569492","127.0340783,37.6067005","126.8347068,37.5069614","126.7329521,37.4339859","127.145354,37.5579358","127.094879,37.5001146","126.9586282,37.5051319","127.256562,37.4100814","126.7329521,37.4339859","126.7971792,37.5016776","126.7329521,37.4339859","128.662895,35.2345092","127.0774677,37.6312118","126.7971792,37.5016776","127.0774677,37.6312118","127.131885,35.8452585","127.0740153,37.5292893","127.1381093,37.4345435","127.0488991,37.6772661","127.1381093,37.4345435","127.0976171,37.4876238","127.0740153,37.5292893","127.2027356,37.2959033","127.0488991,37.6772661","126.9586282,37.5051319","127.256562,37.4100814"
"127.1263118,37.521758","126.7214874,37.6182163","126.8917822,37.5447202","127.1451523,37.5579713","128.5892232,35.8804654","128.3439788,36.1187993","127.0120458,37.5054674","127.3450371,36.3638933","127.1380979,37.4345759","128.0861571,36.1408893","129.352405,35.5610899","129.1378051,35.1682289","127.0213076,36.7695553","128.4849624,35.8544889","127.1649831,36.7859045","127.076749,36.7388666","127.1670808,36.8372561","127.0481365,37.5569584","127.076749,36.7388666","128.5892232,35.8804654","128.5596405,35.8550255","128.5808316,35.2226846","126.8094832,37.3272005","127.1317868,35.844701","127.1227973,35.8329747","127.1778045,37.7175285","127.1227973,35.8329747","127.421553,36.3552403","126.8346966,37.5070876","126.8094832,37.3272005","127.1778045,37.7175285","127.8716181,36.9680802","128.8984324,37.7746304","129.352405,35.5610899","128.8984324,37.7746304","126.8636557,37.5003004","128.5892232,35.8804654","126.7642354,37.5133243","127.0975205,37.4874991","127.1227973,35.8329747","126.9586349,37.5051445","129.1724017,37.4562152","127.1492975,35.8356399","128.5596405,35.8550255","126.7330269,37.4339666","127.0799978,37.5529046","127.0740262,37.5096515","127.0384614,37.287266","127.1380979,37.4345759","127.0740262,37.5096515","126.7330269,37.4339666","127.0490498,37.6776497","127.092863,37.4996876","127.0384614,37.287266","127.3655683,36.3211292","127.0740262,37.5096515","126.7330269,37.4339666","127.0490498,37.6776497","127.935935,37.3710279","126.7172124,37.5437749","127.1649831,36.7859045","126.7330269,37.4339666","127.0228542,37.7449884","126.9259173,37.3581126","127.0740323,37.5292849","127.092863,37.4996876","126.8959542,37.5668173","126.9380098,37.5663094","126.8636557,37.5003004","127.0525249,37.5953663","127.1380979,37.4345759","128.5596405,35.8550255","127.1380979,37.4345759","126.9380098,37.5663094","126.9390012,37.5654758","126.8346966,37.5070876","126.8636557,37.5003004","127.1380979,37.4345759","127.0481365,37.5569584","127.0343362,37.6067664","126.8346966,37.5070876","126.7330269,37.4339666","127.1451523,37.5579713","127.0949392,37.5004843","126.9586349,37.5051445","127.2568324,37.4103227","126.7330269,37.4339666","126.7971873,37.5019021","126.7330269,37.4339666","128.6635239,35.2353769","127.0774339,37.631172","126.7971873,37.5019021","127.0774339,37.631172","127.1317868,35.844701","127.0740323,37.5292849","127.1380979,37.4345759","127.0490498,37.6776497","127.1380979,37.4345759","127.0975205,37.4874991","127.0740323,37.5292849","127.2028028,37.2960252","127.0490498,37.6776497","126.9586349,37.5051445","127.2568324,37.4103227"
