0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"127.120365,37.4108159","128.5800484,35.2208757","128.5800484,35.2208757","128.5646434,35.855231","128.8489226,35.9006715","127.6437964,34.7792854","128.4842003,35.8559052","127.3651416,36.3205265","128.5800484,35.2208757","126.7640258,37.5132275","128.5606804,35.8522764","128.5606804,35.8522764","128.5646434,35.855231","126.4069643,34.8244445","126.7331723,37.3397337","126.7331755,37.4341334","128.5606804,35.8522764"
"127.1203093,37.410887","128.5800623,35.2209333","128.5800623,35.2209333","128.5651939,35.8554019","128.8488873,35.9006827","127.6445649,34.7787443","128.4841995,35.8553976","127.3651715,36.3205761","128.5800623,35.2209333","126.7641324,37.513211","128.561509,35.8527118","128.561509,35.8527118","128.5651939,35.8554019","126.407087,34.8245123","126.7328337,37.3393943","126.7331185,37.4341763","128.561509,35.8527118"
"127.120189,37.4111985","128.5800658,35.2209422","128.5800658,35.2209422","128.5654608,35.8554843","128.8483618,35.9007995","127.6445921,34.7787028","128.4842222,35.8552576","127.3652127,36.3206195","128.5800658,35.2209422","126.7642468,37.5131928","128.5616272,35.8527756","128.5616272,35.8527756","128.5654608,35.8554843","126.4072638,34.8246176","126.7327801,37.3393327","126.7331151,37.4341781","128.5616272,35.8527756"
"127.1200107,37.4111528","128.5802119,35.2213575","128.5802119,35.2213575","128.5650176,35.8562924","128.8480943,35.9008368","127.6445965,34.7786758","128.4842579,35.8551906","127.3652717,36.3206637","128.5802119,35.2213575","126.7642626,37.5131956","128.5615727,35.852841","128.5615727,35.852841","128.5650176,35.8562924","126.4074267,34.8247047","126.7328868,37.3392703","126.7330245,37.4341973","128.5615727,35.852841"
"127.1195333,37.4110341","128.580334,35.2216954","128.580334,35.2216954","128.5649711,35.8563776","128.8479992,35.9008496","127.6447329,34.7785764","128.4843244,35.8551081","127.3653629,36.3207161","128.580334,35.2216954","126.7642716,37.5132038","128.5613632,35.8530728","128.5613632,35.8530728","128.5649711,35.8563776","126.4074943,34.8246341","126.7332867,37.3390241","126.7329512,37.434186","128.5613632,35.8530728"
"127.1194531,37.4110302","128.5804617,35.2220496","128.5804617,35.2220496","128.564864,35.8565705","128.8473946,35.9008708","127.6453114,34.7781537","128.4845744,35.8549077","127.3654797,36.3208136","128.5804617,35.2220496","126.7642794,37.5132218","128.5612902,35.8531609","128.5612902,35.8531609","128.564864,35.8565705","126.4078743,34.8241749","126.7334162,37.3389429","126.7329099,37.4341317","128.5612902,35.8531609"
"127.1193784,37.4110679","128.5805173,35.2221852","128.5805173,35.2221852","128.5648262,35.8566403","128.8472872,35.9008747","127.645426,34.7780769","128.4847817,35.854741","127.3655208,36.3208894","128.5805173,35.2221852","126.7642811,37.5132786","128.5611648,35.8533107","128.5611648,35.8533107","128.5648262,35.8566403","126.4080117,34.8240409","126.7337843,37.3387173","126.7329037,37.4340703","128.5611648,35.8533107"
"127.1193261,37.4111191","128.5805367,35.2222328","128.5805367,35.2222328","128.5649453,35.8566843","128.8464818,35.9008855","127.6458474,34.777796","128.4848563,35.8546809","127.3655419,36.3209489","128.5805367,35.2222328","126.7642729,37.5133029","128.5600181,35.8546002","128.5600181,35.8546002","128.5649453,35.8566843","126.4081615,34.8239575","126.7343353,37.3383756","126.7329178,37.4340253","128.5600181,35.8546002"
"127.1193089,37.411174","128.5806666,35.2226654","128.5806666,35.2226654","128.5650109,35.8567063","128.8460132,35.9008908","127.6463179,34.7774816","128.4849591,35.8545835","127.3655684,36.3211076","128.5806666,35.2226654","126.7642592,37.5133164","128.5597267,35.8549273","128.5597267,35.8549273","128.5650109,35.8567063","126.4086,34.8238749","126.7347658,37.3381089","126.7329521,37.4339859","128.5597267,35.8549273"
"127.1193064,37.4112218","128.5808316,35.2226846","128.5808316,35.2226846","128.5651923,35.8567687","128.8455965,35.9008882","127.6466432,34.7772512","128.4849624,35.8544889","127.3655683,36.3211292","128.5808316,35.2226846","126.7642354,37.5133243","128.5596405,35.8550255","128.5596405,35.8550255","128.5651923,35.8567687","126.4086368,34.8240664","126.7360143,37.3373364","126.7330269,37.4339666","128.5596405,35.8550255"
