0,1
"127.1374367,37.4338482","126.7331755,37.4341334"
"127.1376027,37.4338866","126.7331185,37.4341763"
"127.1380186,37.433905","126.7331151,37.4341781"
"127.1381588,37.4338982","126.7330245,37.4341973"
"127.1382991,37.4338662","126.7329512,37.434186"
"127.1382493,37.4341076","126.7329099,37.4341317"
"127.1382206,37.434204","126.7329037,37.4340703"
"127.1381494,37.4344408","126.7329178,37.4340253"
"127.1381093,37.4345435","126.7329521,37.4339859"
"127.1380979,37.4345759","126.7330269,37.4339666"
"127.1380864,37.4346083","126.7331287,37.4339546"
"127.1379893,37.43459","126.7331933,37.4339442"
"127.1379261,37.4345781","126.7333329,37.433882"
"127.1379238,37.4345771","126.7333828,37.4338697"
"127.1375477,37.4345075","126.7335255,37.4338418"
"127.1374009,37.4344746","126.7335708,37.4338358"
"127.1367121,37.4343328","126.7336126,37.4338334"
"127.136676,37.4343254","126.733798,37.4338337"
"127.1365224,37.4342961","126.7338579,37.4338367"
"127.1363869,37.434266","126.7339425,37.4338463"
"127.1360109,37.4341846","126.7340959,37.4338825"
"127.1357478,37.4341288","126.7341916,37.4339218"
"127.1355276,37.4340821","126.7343232,37.4339858"
"127.1352396,37.4340227","126.7343949,37.4340448"
"127.1352114,37.4340163","126.734405,37.4340557"
"127.1351369,37.4339998","126.7344924,37.4341275"
"127.1350861,37.4339888","126.7345436,37.4342098"
"127.1349867,37.433966","126.7345754,37.4343002"
"127.1349122,37.4339495","126.7346413,37.4344899"
"127.134876,37.4339449","126.7346588,37.4345495"
"127.1348478,37.4339412","126.7346683,37.4347244"
"127.1337489,37.4337494","126.7346434,37.4348405"
"127.1336416,37.4337284","126.7346002,37.4349746"
"127.133173,37.4336368","126.7345667,37.4350419"
"127.1329437,37.4335919","126.7344321,37.4352772"
"127.1328094,37.4335654","126.7343447,37.4354173"
"127.1327247,37.4335498","126.7342822,37.4356765"
"127.1325993,37.4335241","126.7342759,37.4360748"
"127.1323926,37.4334856","126.7340656,37.4360762"
"127.1313402,37.4332759","126.7339017,37.4360769"
"127.1311087,37.4332284","126.7335196,37.4360771"
"127.1310522,37.4332192","126.7327295,37.4360774"
"127.1309845,37.4332072","126.7324209,37.4360772"
"127.130849,37.4331816","126.7323339,37.4360766"
"127.1306322,37.433134","126.73217,37.4360729"
"127.1304109,37.4330829","126.732172,37.4359909"
"127.1294307,37.4328914","126.732174,37.4357917"
"127.1293697,37.4328786","126.7321795,37.4357016"
"127.1293629,37.4328768","126.7321872,37.4348327"
"127.1290581,37.4328109","126.7321914,37.4335384"
"127.1290129,37.4328009","126.7321922,37.4333482"
"127.1290375,37.4326351","126.7321958,37.4332175"
"127.129041,37.4326117","126.7322039,37.4329787"
"127.1290527,37.4325297","126.7322061,37.4328778"
"127.1290866,37.432308","126.7322064,37.4328409"
"127.1291866,37.4315079","126.7322147,37.4326976"
"127.1292242,37.4312079","126.7322184,37.4325579"
"127.1292871,37.4306078","126.7322358,37.4322885"
"127.1292942,37.4305375","126.7322359,37.4322831"
"127.1293038,37.4304366","126.7322383,37.4322723"
"127.1293205,37.4302545","126.7322599,37.4321472"
"127.1293252,37.4302077","126.7323098,37.4320141"
"127.1293299,37.4301798","126.7324261,37.4316958"
"127.1293543,37.4300392","126.7324652,37.4316329"
"127.1293543,37.4300383","126.7326813,37.4312819"
"127.1293708,37.4298996","126.7327617,37.431158"
"127.129372,37.4298951","126.7328981,37.4309696"
"127.1293732,37.4298815","126.7332248,37.4305166"
"127.1293791,37.4298311","126.7335413,37.4300733"
"127.1294133,37.4295409","126.7335998,37.4299908"
"127.1294452,37.4292688","126.7336767,37.4298777"
"127.1294476,37.42924","126.7337352,37.4297907"
"127.1294488,37.4292121","126.7338373,37.4296408"
"127.1292725,37.4289907","126.7339448,37.4294089"
"127.1291613,37.4288362","126.7340487,37.4290851"
"127.129077,37.428744","126.7341422,37.4286756"
"127.1289689,37.4286616","126.7342327,37.4282156"
"127.1288518,37.4285792","126.7344127,37.4273046"
"127.1286974,37.4284742","126.7344363,37.427202"
"127.1285217,37.4283582","126.7344562,37.4271426"
"127.1283517,37.4282297","126.7344496,37.4268938"
"127.1283438,37.4282225","126.7344472,37.4268028"
"127.1278947,37.4278371","126.7344507,37.4266802"
"127.127708,37.427649","126.734457,37.4265"
"127.1276269,37.427592","126.7344336,37.4262466"
"127.1275435,37.4275538","126.7343992,37.4261859"
"127.1273946,37.4274966","126.7340652,37.4255781"
"127.126972,37.4274637","126.7336973,37.4248618"
"127.1266638,37.4273978","126.7335278,37.4245281"
"127.125701,37.4273632","126.7334602,37.4243934"
"127.1249996,37.4274827","126.7333893,37.4242568"
"127.1247133,37.4275638","126.7330449,37.4235605"
"127.1243181,37.427714","126.7327921,37.4230776"
"127.1240809,37.4279097","126.7327467,37.4229907"
"127.1239263,37.4280769","126.7326912,37.4228876"
"127.1237871,37.4283415","126.7323337,37.422148"
"127.1237133,37.4286297","126.7321562,37.4218296"
"127.1236845,37.4296535","126.7320818,37.4216957"
"127.123703,37.431606","126.7320041,37.4215573"
"127.1235501,37.4321157","126.7318906,37.4213844"
"127.1235552,37.4324411","126.7318561,37.421331"
"127.1235546,37.4325646","126.7318025,37.4212729"
"127.1235522,37.4330378","126.7316796,37.4211279"
"127.1235456,37.4334614","126.7319454,37.4211107"
"127.1234353,37.4340334","126.7320166,37.4211058"
"127.1231352,37.4355035","126.7322089,37.4210926"
"127.1231235,37.4355837","126.7339617,37.4209841"
"127.1231082,37.4357008","126.7343914,37.420958"
"127.1228217,37.4378407","126.7350631,37.4209182"
"127.1227059,37.4388426","126.7356093,37.4208857"
"127.1226846,37.4390309","126.7362233,37.4208482"
"127.1226826,37.4394284","126.7364122,37.4208368"
"127.1226868,37.4394879","126.7384771,37.4207131"
"127.1226962,37.4396331","126.7414326,37.4205789"
"127.1227069,37.4397719","126.7420137,37.420552"
"127.1227132,37.4398504","126.7423371,37.4205369"
"127.1228203,37.4403663","126.7432417,37.4204895"
"127.1228559,37.440489","126.7436081,37.4204603"
"127.1229992,37.4409825","126.7439826,37.420423"
"127.1249997,37.4458148","126.7443118,37.4203864"
"127.1250456,37.4459096","126.7446763,37.4203301"
"127.1254582,37.4468294","126.7452991,37.4202043"
