0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"127.1683094,36.8371271","129.185386,35.8395991","127.1374367,37.4338482","127.3454797,36.3666625","126.9238418,35.1698817","127.5188741,34.9375692","129.3648165,36.0089169","128.8011363,35.9070913","127.3454797,36.3666625","126.7331755,37.4341334","127.1308346,37.5200254","129.350536,35.5610402","128.5606804,35.8522764","128.5606804,35.8522764","126.7331755,37.4341334","128.5646434,35.855231","129.350536,35.5610402","126.9159523,37.5156159"
"127.1682824,36.8371396","129.1853819,35.8396145","127.1376027,37.4338866","127.3454709,36.3666075","126.9238836,35.1698612","127.5188861,34.9374384","129.3648366,36.0088742","128.8006792,35.907053","127.3454709,36.3666075","126.7331185,37.4341763","127.1308244,37.5200244","129.3505364,35.5611547","128.561509,35.8527118","128.561509,35.8527118","126.7331185,37.4341763","128.5651939,35.8554019","129.3505364,35.5611547","126.9160047,37.5155747"
"127.1682397,36.8371602","129.1854236,35.8398086","127.1380186,37.433905","127.3454346,36.3663479","126.9241227,35.1697478","127.5188916,34.9373807","129.3651248,36.0089581","128.8005183,35.9070394","127.3454346,36.3663479","126.7331151,37.4341781","127.1306366,37.5200076","129.3507174,35.5611537","128.5616272,35.8527756","128.5616272,35.8527756","126.7331151,37.4341781","128.5654608,35.8554843","129.3507174,35.5611537","126.9160366,37.5155497"
"127.1680845,36.8372571","129.1854235,35.8398564","127.1381588,37.4338982","127.345374,36.3660097","126.9244028,35.1695841","127.5189102,34.9372941","129.3650633,36.0091231","128.8005492,35.9067605","127.345374,36.3660097","126.7330245,37.4341973","127.1305869,37.5199994","129.3507362,35.5607279","128.5615727,35.852841","128.5615727,35.852841","126.7330245,37.4341973","128.5650176,35.8562924","129.3507362,35.5607279","126.9161653,37.5154358"
"127.1679013,36.8373675","129.1853998,35.8398865","127.1382991,37.4338662","127.3453345,36.3656941","126.9245427,35.1695172","127.5189868,34.9370506","129.3650393,36.0091875","128.8005676,35.906598","127.3453345,36.3656941","126.7329512,37.434186","127.1305621,37.5199831","129.3517305,35.5607361","128.5613632,35.8530728","128.5613632,35.8530728","126.7329512,37.434186","128.5649711,35.8563776","129.3517305,35.5607361","126.9161927,37.5154044"
"127.16778,36.837405","129.1852074,35.8400009","127.1382493,37.4341076","127.345308,36.3655345","126.9248677,35.169379","127.5189867,34.9369163","129.3649402,36.009455","128.8006011,35.9064822","127.345308,36.3655345","126.7329099,37.4341317","127.1305498,37.5199578","129.3519523,35.5607408","128.5612902,35.8531609","128.5612902,35.8531609","126.7329099,37.4341317","128.564864,35.8565705","129.3519523,35.5607408","126.9162349,37.5153614"
"127.1676297,36.8373983","129.185189,35.8400228","127.1382206,37.434204","127.3453003,36.365484","126.9249781,35.169292","127.5189878,34.9368162","129.3645794,36.0103909","128.8006242,35.9064027","127.3453003,36.365484","126.7329037,37.4340703","127.13055,37.5199163","129.3520075,35.5607408","128.5611648,35.8533107","128.5611648,35.8533107","126.7329037,37.4340703","128.5648262,35.8566403","129.3520075,35.5607408","126.9162828,37.515321"
"127.1674637,36.837396","129.1851831,35.8400581","127.1381494,37.4344408","127.3452112,36.3649096","126.9252806,35.1690536","127.5189878,34.9367107","129.3645345,36.0105087","128.8006617,35.9063265","127.3452112,36.3649096","126.7329178,37.4340253","127.1305582,37.5198451","129.3522767,35.5607403","128.5600181,35.8546002","128.5600181,35.8546002","126.7329178,37.4340253","128.5649453,35.8566843","129.3522767,35.5607403","126.9164339,37.5152416"
"127.1672934,36.8373649","129.1851948,35.8400859","127.1381093,37.4345435","127.345166,36.364649","126.925401,35.1689595","127.5189866,34.9365249","129.3643125,36.0104554","128.8007029,35.906272","127.345166,36.364649","126.7329521,37.4339859","127.1305865,37.5196244","129.3523407,35.5607402","128.5597267,35.8549273","128.5597267,35.8549273","126.7329521,37.4339859","128.5650109,35.8567063","129.3523407,35.5607402","126.9166247,37.5151415"
"127.1670808,36.8372561","129.1852222,35.8401251","127.1380979,37.4345759","127.3450371,36.3638933","126.9255181,35.1688672","127.5189866,34.9363139","129.3636999,36.0103081","128.800799,35.9061799","127.3450371,36.3638933","126.7330269,37.4339666","127.1304485,37.5196059","129.3528283,35.5607408","128.5596405,35.8550255","128.5596405,35.8550255","126.7330269,37.4339666","128.5651923,35.8567687","129.3528283,35.5607408","126.9164539,37.5149947"
