0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"127.1257988,37.5209181","127.1467643,37.5573181","128.5646434,35.855231","126.7640258,37.5132275","126.8931815,37.544566","127.0113611,37.296867","127.3454797,36.3666625","127.164326,36.7859793","128.5879815,35.8822599","128.7373098,35.8121631","127.0133776,37.5059758","129.347956,35.5637041","127.0381266,37.2866833","126.9463131,37.4063288","126.7018062,37.43162","126.7171026,37.5432378","126.9463131,37.4063288","127.1308346,37.5200254","127.0107348,37.5660545","127.2079065,37.5429608","127.0107348,37.5660545","127.3651416,36.3205265","127.1320036,35.8464247","126.7171026,37.5432378","127.4214415,36.3541052","128.5606804,35.8522764"
"127.1258004,37.5210614","127.1466963,37.5573332","128.5651939,35.8554019","126.7641324,37.513211","126.893104,37.544489","127.0113058,37.2968668","127.3454709,36.3666075","127.1641921,36.7863512","128.5880467,35.8822467","128.7374803,35.8103113","127.0136273,37.5053189","129.349162,35.5637081","127.0381417,37.2866085","126.9465196,37.4063622","126.7023543,37.4316309","126.7171224,37.5435075","126.9465196,37.4063622","127.1308244,37.5200244","127.0110774,37.5661307","127.2081068,37.5429712","127.0110774,37.5661307","127.3651715,36.3205761","127.1322871,35.8464247","126.7171224,37.5435075","127.4214085,36.3547795","128.561509,35.8527118"
"127.1258364,37.5213247","127.1467398,37.5577156","128.5654608,35.8554843","126.7642468,37.5131928","126.8929743,37.544565","127.0109763,37.2968654","127.3454346,36.3663479","127.1642605,36.7863478","128.5891631,35.8819859","128.7374972,35.8100488","127.0136526,37.5052586","129.3492745,35.5637082","127.0388192,37.2866842","126.9466337,37.4063609","126.7027042,37.4316685","126.7170725,37.5435116","126.9466337,37.4063609","127.1306366,37.5200076","127.0116766,37.5662738","127.2086489,37.5429996","127.0116766,37.5662738","127.3652127,36.3206195","127.1323747,35.8463997","126.7170725,37.5435116","127.4214049,36.3550283","128.5616272,35.8527756"
"127.1258563,37.5214266","127.1467247,37.5577813","128.5650176,35.8562924","126.7642626,37.5131956","126.8928322,37.5446472","127.0113316,37.2963603","127.345374,36.3660097","127.1644735,36.7863367","128.5894172,35.881934","128.7374909,35.8098532","127.0135156,37.5052797","129.3492747,35.5637163","127.0388026,37.2868202","126.9467526,37.4063353","126.7028883,37.4316877","126.7168448,37.5435282","126.9467526,37.4063353","127.1305869,37.5199994","127.0118121,37.5663285","127.2086407,37.5430807","127.0118121,37.5663285","127.3652717,36.3206637","127.1324991,35.8463162","126.7168448,37.5435282","127.4214027,36.3550382","128.5615727,35.852841"
"127.1258739,37.5215249","127.1462286,37.5578375","128.5649711,35.8563776","126.7642716,37.5132038","126.8926581,37.5447571","127.0114756,37.2964303","127.3453345,36.3656941","127.1646529,36.7863299","128.5896702,35.8818831","128.7374707,35.8096217","127.0130774,37.5053373","129.3492746,35.5638578","127.0387822,37.2868328","126.9469303,37.4062965","126.7029515,37.4316963","126.7167835,37.5435476","126.9469303,37.4062965","127.1305621,37.5199831","127.0119566,37.5663976","127.2086172,37.5432951","127.0119566,37.5663976","127.3653629,36.3207161","127.1323622,35.8462247","126.7167835,37.5435476","127.4213915,36.3550752","128.5613632,35.8530728"
"127.1258997,37.5215746","127.1460847,37.5578533","128.564864,35.8565705","126.7642794,37.5132218","126.8924738,37.5448725","127.0115813,37.2964803","127.345308,36.3655345","127.1647404,36.7862986","128.5896169,35.8817086","128.7374545,35.8094344","127.0127841,37.5053767","129.3494115,35.5638584","127.0383594,37.2867888","126.9471307,37.4062298","126.7034052,37.4317597","126.7167641,37.5435655","126.9471307,37.4062298","127.1305498,37.5199578","127.0120728,37.5664692","127.2085527,37.5438691","127.0120728,37.5664692","127.3654797,36.3208136","127.1320372,35.8458658","126.7167641,37.5435655","127.4213524,36.3551689","128.5612902,35.8531609"
"127.1260371,37.5217075","127.1459669,37.5578665","128.5648262,35.8566403","126.7642811,37.5132786","126.8923042,37.5449789","127.0119739,37.2966658","127.3453003,36.365484","127.1647888,36.7862654","128.5894143,35.8810722","128.7374528,35.8093974","127.0126131,37.5053985","129.3494556,35.5638587","127.0382927,37.2868228","126.9472351,37.4061708","126.7037849,37.4317668","126.7167536,37.5435916","126.9472351,37.4061708","127.13055,37.5199163","127.0122057,37.5665707","127.2085401,37.5439034","127.0122057,37.5665707","127.3655208,36.3208894","127.131912,35.8456328","126.7167536,37.5435916","127.4213524,36.3552329","128.5611648,35.8533107"
"127.1260867,37.5217329","127.1457947,37.5578858","128.5646158,35.8565628","126.7642729,37.5133029","126.8921404,37.5450745","127.0126848,37.2970041","127.3452112,36.3649096","127.1648758,36.7860989","128.5893853,35.8809814","128.73744,35.8092118","127.0122518,37.5054457","129.3496024,35.56386","127.0382439,37.2868703","126.9473225,37.4061199","126.7041216,37.4317736","126.7167504,37.5437907","126.9473225,37.4061199","127.1305582,37.5198451","127.0122958,37.566654","127.2085173,37.5439421","127.0122958,37.566654","127.3655419,36.3209489","127.1318874,35.8454497","126.7167504,37.5437907","127.4214549,36.3552321","128.5600181,35.8546002"
"127.1261523,37.5217404","127.145354,37.5579358","128.5643164,35.8564501","126.7642592,37.5133164","126.8918619,37.5447981","127.0129525,37.2971304","127.345166,36.364649","127.1649379,36.7859945","128.5892567,35.8805651","128.7374089,35.8089191","127.0121839,37.5054526","129.3502567,35.5638635","127.0382116,37.2869748","126.9474293,37.4060374","126.704159,37.431772","126.7171354,37.5437771","126.9474293,37.4060374","127.1305865,37.5196244","127.0123913,37.5667608","127.2083493,37.5440624","127.0123913,37.5667608","127.3655684,36.3211076","127.131885,35.8452585","126.7171354,37.5437771","127.4215028,36.3552357","128.5597267,35.8549273"
"127.1263118,37.521758","127.1451523,37.5579713","128.5642496,35.8564245","126.7642354,37.5133243","126.8917822,37.5447202","127.0130616,37.2971832","127.3450371,36.3638933","127.1649831,36.7859045","128.5892232,35.8804654","128.7373621,35.8088331","127.0120458,37.5054674","129.3503351,35.5638641","127.0384614,37.287266","126.9475022,37.4059612","126.7042065,37.431766","126.7172124,37.5437749","126.9475022,37.4059612","127.1304485,37.5196059","127.012481,37.5668937","127.2082539,37.5441307","127.012481,37.5668937","127.3655683,36.3211292","127.1317868,35.844701","126.7172124,37.5437749","127.421553,36.3552403","128.5596405,35.8550255"
"127.1263865,37.5217663","127.1449484,37.5580076","128.5641005,35.8563717","126.7640813,37.5133441","126.8917091,37.544663","127.0134047,37.2973477","127.3450249,36.3638284","127.1649945,36.7856034","128.5891443,35.8802082","128.7373294,35.8087919","127.0118081,37.5054745","129.3503957,35.5638641","127.0394646,37.286675","126.9475284,37.4059333","126.7042744,37.4317539","126.7185464,37.5437287","126.9475284,37.4059333","127.1302122,37.5195745","127.0125132,37.5670065","127.2083791,37.5442581","127.0125132,37.5670065","127.3655693,36.3211878","127.1317573,35.8445964","126.7185464,37.5437287","127.4224299,36.3554185","128.5596122,35.8550573"
"127.1264623,37.5217576","127.1447738,37.5580486","128.5638535,35.8562847","126.7639611,37.5133632","126.8914122,37.5449833","127.0136792,37.2974796","127.3448155,36.3626562","127.1650071,36.7852879","128.5890529,35.8799251","128.7372981,35.8087724","127.0116814,37.5054803","129.3504365,35.5638634","127.0394691,37.2866723","126.9476234,37.4057697","126.7043084,37.4317478","126.7187027,37.5437216","126.9476234,37.4057697","127.1304948,37.5182468","127.0125813,37.567324","127.2084298,37.5443123","127.0125813,37.567324","127.3655533,36.3214159","127.1320066,35.8445683","126.7187027,37.5437216","127.42282,36.3554908","128.5594769,35.8552135"
"127.1270246,37.5215664","127.1445477,37.5579821","128.5634496,35.8561413","126.7639549,37.5135389","126.8910004,37.5455003","127.013822,37.2975514","127.3448122,36.3626408","127.165031,36.7846858","128.5890285,35.8798414","128.7372525,35.8087576","127.0116769,37.5054803","129.3504432,35.5641536","127.039511,37.2866472","126.9476818,37.4056582","126.7043582,37.4317391","126.7187276,37.5437218","126.9476818,37.4056582","127.1305365,37.5180496","127.0126029,37.5674846","127.2088854,37.5447641","127.0126029,37.5674846","127.3655498,36.3215331","127.1322171,35.8445446","126.7187276,37.5437218","127.4235276,36.3556193","128.5592489,35.8554707"
"127.1270864,37.5216577","127.1444311,37.5582125","128.5633483,35.8561043","126.7639177,37.5136405","126.8908506,37.5456933","127.0136788,37.297704","127.3446463,36.3625108","127.1650614,36.7843884","128.5889995,35.8797416","128.7371638,35.8087459","127.0115456,37.5054806","129.3504445,35.5642573","127.0395914,37.2865998","126.9477258,37.4055223","126.704441,37.4317189","126.718774,37.5437203","126.9477258,37.4055223","127.1306117,37.5179497","127.0125998,37.5676062","127.2092451,37.5451291","127.0125998,37.5676062","127.3655517,36.3217116","127.1324476,35.8445182","126.718774,37.5437203","127.4235476,36.3556608","128.5590077,35.8557388"
"127.1272741,37.5219242","127.1443159,37.5583924","128.563247,35.8560674","126.7638841,37.5137178","126.8907602,37.5458091","127.0135619,37.2978207","127.3445906,36.36249","127.1650913,36.784228","128.5890285,35.8798414","128.737062,35.8087478","127.0111892,37.5054828","129.3504639,35.5651008","127.0397544,37.2865048","126.9477524,37.4054377","126.7045883,37.431683","126.7188838,37.5437165","126.9477524,37.4054377","127.1306992,37.5178743","127.0125938,37.5676666","127.2092846,37.5451671","127.0125938,37.5676666","127.3655547,36.3219054","127.133263,35.844427","126.7188838,37.5437165","127.4235554,36.3557032","128.5588866,35.8558742"
