0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
"127.1467643,37.5573181","126.8625196,37.5004529","128.6184496,34.882837","129.350536,35.5610402","127.5188741,34.9375692","126.9244703,37.5189116","126.8787265,35.1366564","126.8994661,37.4491051","127.0133776,37.5059758","126.7980671,37.5014567","127.6829884,34.9408856","126.7980671,37.5014567","127.0381266,37.2866833","127.1308346,37.5200254","126.8136189,37.3260753","126.8787265,35.1366564","127.0133776,37.5059758","127.0469142,37.557618","128.6635186,35.2337774","126.7331755,37.4341334","127.1659575,37.250629","126.7980671,37.5014567","127.2079065,37.5429608","127.0718812,37.5086","126.9698042,37.5550391","127.0484906,37.5778179","127.1506275,37.556559","126.7980671,37.5014567","127.1506275,37.556559","127.0718812,37.5086","127.0985926,37.4886069","127.1506275,37.556559","127.136612,37.5957155","127.0469142,37.557618","126.7331755,37.4341334","128.5820368,35.848358","126.9244703,37.5189116","127.078355,37.631635","127.078355,37.631635","126.9463131,37.4063288","127.0718812,37.5086","127.1050578,37.6142089","127.0474402,37.6779158","127.0107348,37.5660545","127.1506275,37.556559","128.5820368,35.848358","127.0718812,37.5086","127.0512068,37.5841665","127.0718812,37.5086","127.0474402,37.6779158","127.1050578,37.6142089","128.5820368,35.848358"
"127.1466963,37.5573332","126.862731,37.5000773","128.6186116,34.8828409","129.3505364,35.5611547","127.5188861,34.9374384","126.9246585,37.5187233","126.8786911,35.1366914","126.8995471,37.4495823","127.0136273,37.5053189","126.7979627,37.5013695","127.6831464,34.9410576","126.7979627,37.5013695","127.0381417,37.2866085","127.1308244,37.5200244","126.8124931,37.3261336","126.8786911,35.1366914","127.0136273,37.5053189","127.0470494,37.5571769","128.6634978,35.2338579","126.7331185,37.4341763","127.1660675,37.2507456","126.7979627,37.5013695","127.2081068,37.5429712","127.0740801,37.508927","126.9697868,37.5550922","127.0485497,37.5777965","127.1500962,37.5563933","126.7979627,37.5013695","127.1500962,37.5563933","127.0740801,37.508927","127.0985465,37.4885428","127.1500962,37.5563933","127.136612,37.5957164","127.0470494,37.5571769","126.7331185,37.4341763","128.5829881,35.8482827","126.9246585,37.5187233","127.0782872,37.6315824","127.0782872,37.6315824","126.9465196,37.4063622","127.0740801,37.508927","127.104722,37.6142871","127.0475072,37.6779007","127.0110774,37.5661307","127.1500962,37.5563933","128.5829881,35.8482827","127.0740801,37.508927","127.0512674,37.5842533","127.0740801,37.508927","127.0475072,37.6779007","127.104722,37.6142871","128.5829881,35.8482827"
"127.1467398,37.5577156","126.8627655,37.5000162","128.6189867,34.8829078","129.3502253,35.5611549","127.5188916,34.9373807","126.9248387,37.5185439","126.8786296,35.1366866","126.8995622,37.4496743","127.0136526,37.5052586","126.7978715,37.5013212","127.6836779,34.9407439","126.7978715,37.5013212","127.0388192,37.2866842","127.1306366,37.5200076","126.8121498,37.3261515","126.8786296,35.1366866","127.0136526,37.5052586","127.0471021,37.5570743","128.6634766,35.2339888","126.7331151,37.4341781","127.1666183,37.2506074","126.7978715,37.5013212","127.2086489,37.5429996","127.0740869,37.5089279","126.9696865,37.5551936","127.0486473,37.5777518","127.1500849,37.5563897","126.7978715,37.5013212","127.1500849,37.5563897","127.0740869,37.5089279","127.0984182,37.4884162","127.1500849,37.5563897","127.136337,37.596141","127.0471021,37.5570743","126.7331151,37.4341781","128.5832307,35.8482932","126.9248387,37.5185439","127.0781123,37.6314583","127.0781123,37.6314583","126.9466337,37.4063609","127.0740869,37.5089279","127.1047229,37.6143366","127.0475674,37.677873","127.0116766,37.5662738","127.1500849,37.5563897","128.5832307,35.8482932","127.0740869,37.5089279","127.0512989,37.5842976","127.0740869,37.5089279","127.0475674,37.677873","127.1047229,37.6143366","128.5832307,35.8482932"
"127.1467247,37.5577813","126.8627747,37.4999991","128.6191906,34.8829321","129.35005,35.5611576","127.5189102,34.9372941","126.92489,37.5184918","126.8781876,35.1365004","126.8995877,37.4497322","127.0135156,37.5052797","126.7978129,37.5013046","127.6842654,34.940486","126.7978129,37.5013046","127.0388026,37.2868202","127.1305869,37.5199994","126.8121216,37.3260233","126.8781876,35.1365004","127.0135156,37.5052797","127.0471428,37.5570772","128.6633667,35.2339926","126.7330245,37.4341973","127.1666332,37.2505561","126.7978129,37.5013046","127.2086407,37.5430807","127.0741796,37.50894","126.9695389,37.5552515","127.0487756,37.5776937","127.1500736,37.556387","126.7978129,37.5013046","127.1500736,37.556387","127.0741796,37.50894","127.0983924,37.4883899","127.1500736,37.556387","127.1361622,37.5962162","127.0471428,37.5570772","126.7330245,37.4341973","128.5834343,35.8477125","126.92489,37.5184918","127.077699,37.6311937","127.077699,37.6311937","126.9467526,37.4063353","127.0741796,37.50894","127.1047172,37.6143429","127.0476516,37.6778355","127.0118121,37.5663285","127.1500736,37.556387","128.5834343,35.8477125","127.0741796,37.50894","127.0513585,37.58436","127.0741796,37.50894","127.0476516,37.6778355","127.1047172,37.6143429","128.5834343,35.8477125"
"127.1462286,37.5578375","126.8627885,37.4999721","128.61922,34.8829273","129.3500581,35.5608862","127.5189868,34.9370506","126.9249617,37.5184327","126.8779007,35.1369822","126.8996046,37.4497431","127.0130774,37.5053373","126.7977291,37.5013041","127.6846615,34.9403411","126.7977291,37.5013041","127.0387822,37.2868328","127.1305621,37.5199831","126.8121073,37.3258628","126.8779007,35.1369822","127.0130774,37.5053373","127.0472437,37.557065","128.6633129,35.233994","126.7329512,37.434186","127.1667079,37.2505022","126.7977291,37.5013041","127.2086172,37.5432951","127.0741157,37.5092273","126.9690305,37.5552627","127.0488495,37.5776579","127.1500329,37.5563742","126.7977291,37.5013041","127.1500329,37.5563742","127.0741157,37.5092273","127.0983429,37.488342","127.1500329,37.5563742","127.1361371,37.5962494","127.0472437,37.557065","126.7329512,37.434186","128.583499,35.847583","126.9249617,37.5184327","127.0776512,37.6312178","127.0776512,37.6312178","126.9469303,37.4062965","127.0741157,37.5092273","127.1046534,37.6144013","127.048385,37.677503","127.0119566,37.5663976","127.1500329,37.5563742","128.583499,35.847583","127.0741157,37.5092273","127.0515461,37.5844418","127.0741157,37.5092273","127.048385,37.677503","127.1046534,37.6144013","128.583499,35.847583"
"127.1460847,37.5578533","126.8628493,37.4999995","128.6193007,34.882904","129.3500621,35.5607247","127.5189867,34.9369163","126.9251589,37.5185517","126.8777427,35.1372618","126.8997867,37.4497242","127.0127841,37.5053767","126.797625,37.5013053","127.684887,34.940275","126.797625,37.5013053","127.0383594,37.2867888","127.1305498,37.5199578","126.8098558,37.3259506","126.8777427,35.1372618","127.0127841,37.5053767","127.0477199,37.5569478","128.6632121,35.2340166","126.7329099,37.4341317","127.1668207,37.2504908","126.797625,37.5013053","127.2085527,37.5438691","127.074089,37.5093498","126.9690433,37.5553737","127.0487327,37.5774871","127.1499978,37.5563633","126.797625,37.5013053","127.1499978,37.5563633","127.074089,37.5093498","127.0982382,37.4882398","127.1499978,37.5563633","127.1361494,37.5962747","127.0477199,37.5569478","126.7329099,37.4341317","128.5831891,35.8475966","126.9251589,37.5185517","127.0776081,37.6312276","127.0776081,37.6312276","126.9471307,37.4062298","127.074089,37.5093498","127.1045456,37.6144388","127.048567,37.6774208","127.0120728,37.5664692","127.1499978,37.5563633","128.5835495,35.8474662","127.074089,37.5093498","127.051727,37.5846751","127.074089,37.5093498","127.048567,37.6774208","127.1045456,37.6144388","128.5835495,35.8474662"
"127.1459669,37.5578665","126.8629474,37.5000361","128.6189814,34.8826797","129.3496118,35.5607163","127.5189878,34.9368162","126.9253345,37.5186698","126.8777305,35.1372861","126.8999361,37.4497069","127.0126131,37.5053985","126.7972414,37.5013157","127.6855415,34.9401252","126.7972414,37.5013157","127.0382927,37.2868228","127.13055,37.5199163","126.8097993,37.3259548","126.8777305,35.1372861","127.0126131,37.5053985","127.0477947,37.5569292","128.6630965,35.2340736","126.7329037,37.4340703","127.1669107,37.2505424","126.7972414,37.5013157","127.2085401,37.5439034","127.0740715,37.509439","126.9690732,37.5554693","127.0487001,37.5774464","127.1497886,37.5563095","126.7972414,37.5013157","127.1497886,37.5563095","127.0740715,37.509439","127.0978702,37.4878798","127.1497886,37.5563095","127.1361992,37.5962911","127.0477947,37.5569292","126.7329037,37.4340703","128.5830254,35.8476044","126.9253345,37.5186698","127.077565,37.6312346","127.077565,37.6312346","126.9472351,37.4061708","127.0740715,37.509439","127.1037175,37.6146208","127.0488103,37.6773099","127.0122057,37.5665707","127.1497886,37.5563095","128.5836686,35.8473507","127.0740715,37.509439","127.0517798,37.5847492","127.0740715,37.509439","127.0488103,37.6773099","127.1037175,37.6146208","128.5836686,35.8473507"
"127.1457947,37.5578858","126.8630083,37.500059","128.6189627,34.8826745","129.3494981,35.5607154","127.5189878,34.9367107","126.9256116,37.5188343","126.8776749,35.1373742","126.9000425,37.449693","127.0122518,37.5054457","126.7971599,37.5013197","127.6856662,34.9400961","126.7971599,37.5013197","127.0382439,37.2868703","127.1305582,37.5198451","126.8096469,37.3259647","126.8776749,35.1373742","127.0122518,37.5054457","127.0479329,37.556927","128.6627135,35.2342657","126.7329178,37.4340253","127.1673409,37.2504066","126.7971599,37.5013197","127.2085173,37.5439421","127.0740425,37.5095668","126.9691298,37.5557779","127.0484866,37.5771662","127.1495374,37.5562772","126.7971599,37.5013197","127.1495374,37.5562772","127.0740425,37.5095668","127.0977723,37.4877839","127.1495374,37.5562772","127.136422,37.5963603","127.0479329,37.556927","126.7329178,37.4340253","128.5829888,35.8476056","126.9256116,37.5188343","127.0775197,37.6312291","127.0775197,37.6312291","126.9473225,37.4061199","127.0740425,37.5095668","127.1035507,37.6146572","127.0488228,37.6773046","127.0122958,37.566654","127.1495374,37.5562772","128.5838992,35.8471241","127.0740425,37.5095668","127.0519921,37.5850456","127.0740425,37.5095668","127.0488228,37.6773046","127.1035507,37.6146572","128.5838992,35.8471241"
"127.145354,37.5579358","126.8636512,37.5002986","128.6188573,34.8826466","129.3492343,35.5607113","127.5189866,34.9365249","126.925784,37.518937","126.8775929,35.1373368","126.9001373,37.449716","127.0121839,37.5054526","126.7971792,37.5016776","127.6858961,34.9400435","126.7971792,37.5016776","127.0382116,37.2869748","127.1305865,37.5196244","126.8093984,37.3259813","126.8775929,35.1373368","127.0121839,37.5054526","127.0480754,37.5569492","128.662895,35.2345092","126.7329521,37.4339859","127.1675159,37.250344","126.7969777,37.5013285","127.2083493,37.5440624","127.0740262,37.5096443","126.9691649,37.556427","127.0483474,37.5769728","127.1492951,37.5562765","126.7971792,37.5016776","127.1492951,37.5562765","127.0740262,37.5096443","127.0976171,37.4876238","127.1492951,37.5562765","127.1366201,37.5963789","127.0480754,37.5569492","126.7329521,37.4339859","128.5827609,35.8476158","126.925784,37.518937","127.0774677,37.6312118","127.0774677,37.6312118","126.9474293,37.4060374","127.0740262,37.5096443","127.1033794,37.6146954","127.0488991,37.6772661","127.0123913,37.5667608","127.1492951,37.5562765","128.5845043,35.8465155","127.0740262,37.5096443","127.052037,37.585108","127.0740262,37.5096443","127.0488991,37.6772661","127.1033794,37.6146954","128.5845043,35.8465155"
"127.1451523,37.5579713","126.8636557,37.5003004","128.6186731,34.882614","129.3483617,35.5607148","127.5189866,34.9363139","126.9259112,37.5190124","126.8761412,35.1366837","126.9002772,37.4497474","127.0120458,37.5054674","126.7971873,37.5019021","127.6860274,34.9400153","126.7971873,37.5019021","127.0384614,37.287266","127.1304485,37.5196059","126.8094832,37.3272005","126.8761412,35.1366837","127.0120458,37.5054674","127.0481365,37.5569584","128.6635239,35.2353769","126.7330269,37.4339666","127.1675886,37.2502343","126.7969405,37.5004657","127.2082539,37.5441307","127.0740262,37.5096515","126.9691764,37.5567146","127.0482294,37.576811","127.1492725,37.5562773","126.7971873,37.5019021","127.1492725,37.5562773","127.0740262,37.5096515","127.0975205,37.4874991","127.1492725,37.5562773","127.1369065,37.5964212","127.0481365,37.5569584","126.7330269,37.4339666","128.5823315,35.847635","126.9259112,37.5190124","127.0774339,37.631172","127.0774339,37.631172","126.9475022,37.4059612","127.0740262,37.5096515","127.1032218,37.61473","127.0490498,37.6776497","127.012481,37.5668937","127.1492725,37.5562773","128.5845863,35.8464336","127.0740262,37.5096515","127.0521146,37.5851993","127.0740262,37.5096515","127.0490498,37.6776497","127.1032218,37.61473","128.5845863,35.8464336"
