0,1,2,3,4,5,6,7,8,9,10,11,12,13
"127.1467643,37.5573181","127.164326,36.7859793","127.0100787,35.9679017","127.1308346,37.5200254","127.2640589,37.0117461","127.0133776,37.5059758","128.3211967,36.120099","128.5646434,35.855231","128.5879815,35.8822599","126.7331755,37.4341334","126.7331755,37.4341334","127.377226,36.3764829","126.7331755,37.4341334","127.0512068,37.5841665"
"127.1466963,37.5573332","127.1641921,36.7863512","127.0101033,35.9680389","127.1308244,37.5200244","127.2643735,37.0117765","127.0136273,37.5053189","128.3211792,36.1201289","128.5651939,35.8554019","128.5880467,35.8822467","126.7331185,37.4341763","126.7331185,37.4341763","127.3772863,36.3764027","126.7331185,37.4341763","127.0512674,37.5842533"
"127.1467398,37.5577156","127.1642605,36.7863478","127.0100854,35.9682417","127.1306366,37.5200076","127.2643997,37.0116647","127.0136526,37.5052586","128.3210941,36.1202827","128.5654608,35.8554843","128.5891631,35.8819859","126.7331151,37.4341781","126.7331151,37.4341781","127.3773444,36.3763397","126.7331151,37.4341781","127.0512989,37.5842976"
"127.1467247,37.5577813","127.1644735,36.7863367","127.0100255,35.9684307","127.1305869,37.5199994","127.2644454,37.0114386","127.0135156,37.5052797","128.3210069,36.1204393","128.5650176,35.8562924","128.5894172,35.881934","126.7330245,37.4341973","126.7330245,37.4341973","127.3773846,36.3763036","126.7330245,37.4341973","127.0513585,37.58436"
"127.1462286,37.5578375","127.1646529,36.7863299","127.0098173,35.9687301","127.1305621,37.5199831","127.2644716,37.0113133","127.0130774,37.5053373","128.3209033,36.1206266","128.5649711,35.8563776","128.5896702,35.8818831","126.7329512,37.434186","126.7329512,37.434186","127.3774548,36.3762875","126.7329512,37.434186","127.0515461,37.5844418"
"127.1460847,37.5578533","127.1647404,36.7862986","127.0096566,35.9688927","127.1305498,37.5199578","127.2645128,37.0110754","127.0127841,37.5053767","128.32119,36.1207337","128.564864,35.8565705","128.5896169,35.8817086","126.7329099,37.4341317","126.7329099,37.4341317","127.3778094,36.3762301","126.7329099,37.4341317","127.051727,37.5846751"
"127.1459669,37.5578665","127.1647888,36.7862654","127.009474,35.9690163","127.13055,37.5199163","127.2645324,37.0109231","127.0126131,37.5053985","128.3217276,36.1209311","128.5648262,35.8566403","128.5894143,35.8810722","126.7329037,37.4340703","126.7329037,37.4340703","127.3778685,36.3762257","126.7329037,37.4340703","127.0517798,37.5847492"
"127.1457947,37.5578858","127.1648758,36.7860989","127.0092239,35.9690992","127.1305582,37.5198451","127.2645314,37.0108672","127.0122518,37.5054457","128.3220299,36.1210426","128.5649453,35.8566843","128.5893853,35.8809814","126.7329178,37.4340253","126.7329178,37.4340253","127.3779254,36.3762348","126.7329178,37.4340253","127.0519921,37.5850456"
"127.145354,37.5579358","127.1649379,36.7859945","127.0089742,35.9691333","127.1305865,37.5196244","127.2645305,37.0108131","127.0121839,37.5054526","128.3226601,36.1212709","128.5650109,35.8567063","128.5892567,35.8805651","126.7329521,37.4339859","126.7329521,37.4339859","127.3779621,36.3762528","126.7329521,37.4339859","127.052037,37.585108"
"127.1451523,37.5579713","127.1649831,36.7859045","127.0082557,35.9690997","127.1304485,37.5196059","127.2644994,37.0106923","127.0120458,37.5054674","128.3231453,36.1214452","128.5651923,35.8567687","128.5892232,35.8804654","126.7330269,37.4339666","126.7330269,37.4339666","127.3780029,36.376545","126.7330269,37.4339666","127.0521146,37.5851993"
