0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
"128.3930369,36.1450887","127.1467643,37.5573181","126.8787265,35.1366564","128.5879815,35.8822599","127.164326,36.7859793","127.0381266,37.2866833","128.9722221,35.2112503","126.8136189,37.3260753","127.1308346,37.5200254","128.3211967,36.120099","128.5646434,35.855231","128.5879815,35.8822599","127.1374367,37.4338482","126.7331755,37.4341334","126.8931815,37.544566","127.0100787,35.9679017","126.7331755,37.4341334","127.0100787,35.9679017","126.7171026,37.5432378","126.7171026,37.5432378","126.8045332,35.1674043","126.7018062,37.43162","126.7171026,37.5432378","127.1374367,37.4338482","126.7018062,37.43162","126.9463131,37.4063288","126.7018062,37.43162","128.5606804,35.8522764","126.9463131,37.4063288","126.9698042,37.5550391","127.0484906,37.5778179","127.1320036,35.8464247","126.7018062,37.43162","127.0133776,37.5059758","128.5820368,35.848358","127.0512068,37.5841665","127.1374367,37.4338482","127.4214415,36.3541052","127.7561613,37.8987056","128.5820368,35.848358"
"128.3930678,36.1449703","127.1466963,37.5573332","126.8786911,35.1366914","128.5880467,35.8822467","127.1641921,36.7863512","127.0381417,37.2866085","128.9727735,35.211249","126.8124931,37.3261336","127.1308244,37.5200244","128.3211792,36.1201289","128.5651939,35.8554019","128.5880467,35.8822467","127.1376027,37.4338866","126.7331185,37.4341763","126.893104,37.544489","127.0101033,35.9680389","126.7331185,37.4341763","127.0101033,35.9680389","126.7171224,37.5435075","126.7171224,37.5435075","126.8044283,35.1669646","126.7023543,37.4316309","126.7171224,37.5435075","127.1376027,37.4338866","126.7023543,37.4316309","126.9465196,37.4063622","126.7023543,37.4316309","128.561509,35.8527118","126.9465196,37.4063622","126.9697868,37.5550922","127.0485497,37.5777965","127.1322871,35.8464247","126.7023543,37.4316309","127.0136273,37.5053189","128.5829881,35.8482827","127.0512674,37.5842533","127.1376027,37.4338866","127.4214085,36.3547795","127.7558085,37.8986217","128.5829881,35.8482827"
"128.3930599,36.1448631","127.1467398,37.5577156","126.8786296,35.1366866","128.5891631,35.8819859","127.1642605,36.7863478","127.0388192,37.2866842","128.973269,35.2112484","126.8121498,37.3261515","127.1306366,37.5200076","128.3210941,36.1202827","128.5654608,35.8554843","128.5891631,35.8819859","127.1380186,37.433905","126.7331151,37.4341781","126.8929743,37.544565","127.0100854,35.9682417","126.7331151,37.4341781","127.0100854,35.9682417","126.7170725,37.5435116","126.7170725,37.5435116","126.8043698,35.1667443","126.7027042,37.4316685","126.7170725,37.5435116","127.1380186,37.433905","126.7027042,37.4316685","126.9466337,37.4063609","126.7027042,37.4316685","128.5616272,35.8527756","126.9466337,37.4063609","126.9696865,37.5551936","127.0486473,37.5777518","127.1323747,35.8463997","126.7027042,37.4316685","127.0136526,37.5052586","128.5832307,35.8482932","127.0512989,37.5842976","127.1380186,37.433905","127.4214049,36.3550283","127.7557276,37.898602","128.5832307,35.8482932"
"128.3930249,36.1448129","127.1467247,37.5577813","126.8781876,35.1365004","128.5894172,35.881934","127.1644735,36.7863367","127.0388026,37.2868202","128.973272,35.2111113","126.8121216,37.3260233","127.1305869,37.5199994","128.3210069,36.1204393","128.5650176,35.8562924","128.5894172,35.881934","127.1381588,37.4338982","126.7330245,37.4341973","126.8928322,37.5446472","127.0100255,35.9684307","126.7330245,37.4341973","127.0100255,35.9684307","126.7168448,37.5435282","126.7168448,37.5435282","126.8043496,35.1666666","126.7028883,37.4316877","126.7168448,37.5435282","127.1381588,37.4338982","126.7028883,37.4316877","126.9467526,37.4063353","126.7028883,37.4316877","128.5615727,35.852841","126.9467526,37.4063353","126.9695389,37.5552515","127.0487756,37.5776937","127.1324991,35.8463162","126.7028883,37.4316877","127.0135156,37.5052797","128.5834343,35.8477125","127.0513585,37.58436","127.1381588,37.4338982","127.4214027,36.3550382","127.7557014,37.8985967","128.5834343,35.8477125"
"128.3926949,36.1447333","127.1462286,37.5578375","126.8779007,35.1369822","128.5896702,35.8818831","127.1646529,36.7863299","127.0387822,37.2868328","128.9732751,35.2106776","126.8121073,37.3258628","127.1305621,37.5199831","128.3209033,36.1206266","128.5649711,35.8563776","128.5896702,35.8818831","127.1382991,37.4338662","126.7329512,37.434186","126.8926581,37.5447571","127.0098173,35.9687301","126.7329512,37.434186","127.0098173,35.9687301","126.7167835,37.5435476","126.7167835,37.5435476","126.8043369,35.1666043","126.7029515,37.4316963","126.7167835,37.5435476","127.1382991,37.4338662","126.7029515,37.4316963","126.9469303,37.4062965","126.7029515,37.4316963","128.5613632,35.8530728","126.9469303,37.4062965","126.9690305,37.5552627","127.0488495,37.5776579","127.1323622,35.8462247","126.7029515,37.4316963","127.0130774,37.5053373","128.583499,35.847583","127.0515461,37.5844418","127.1382991,37.4338662","127.4213915,36.3550752","127.7553555,37.898556","128.583499,35.847583"
"128.3924288,36.1446929","127.1460847,37.5578533","126.8777427,35.1372618","128.5896169,35.8817086","127.1647404,36.7862986","127.0383594,37.2867888","128.9732759,35.2105974","126.8098558,37.3259506","127.1305498,37.5199578","128.32119,36.1207337","128.564864,35.8565705","128.5896169,35.8817086","127.1382493,37.4341076","126.7329099,37.4341317","126.8924738,37.5448725","127.0096566,35.9688927","126.7329099,37.4341317","127.0096566,35.9688927","126.7167641,37.5435655","126.7167641,37.5435655","126.8043316,35.1665772","126.7034052,37.4317597","126.7167641,37.5435655","127.1382493,37.4341076","126.7034052,37.4317597","126.9471307,37.4062298","126.7034052,37.4317597","128.5612902,35.8531609","126.9471307,37.4062298","126.9690433,37.5553737","127.0487327,37.5774871","127.1320372,35.8458658","126.7034052,37.4317597","127.0127841,37.5053767","128.5831891,35.8475966","127.051727,37.5846751","127.1382493,37.4341076","127.4213524,36.3551689","127.7552759,37.8985462","128.5831891,35.8475966"
"128.3923313,36.1447162","127.1459669,37.5578665","126.8777305,35.1372861","128.5894143,35.8810722","127.1647888,36.7862654","127.0382927,37.2868228","128.9732763,35.209529","126.8097993,37.3259548","127.13055,37.5199163","128.3217276,36.1209311","128.5648262,35.8566403","128.5894143,35.8810722","127.1382206,37.434204","126.7329037,37.4340703","126.8923042,37.5449789","127.009474,35.9690163","126.7329037,37.4340703","127.009474,35.9690163","126.7167536,37.5435916","126.7167536,37.5435916","126.8043233,35.1665312","126.7037849,37.4317668","126.7167536,37.5435916","127.1382206,37.434204","126.7037849,37.4317668","126.9472351,37.4061708","126.7037849,37.4317668","128.5611648,35.8533107","126.9472351,37.4061708","126.9690732,37.5554693","127.0487001,37.5774464","127.131912,35.8456328","126.7037849,37.4317668","127.0126131,37.5053985","128.5830254,35.8476044","127.0517798,37.5847492","127.1382206,37.434204","127.4213524,36.3552329","127.755277,37.8985453","128.5830254,35.8476044"
"128.3922792,36.1448311","127.1457947,37.5578858","126.8776749,35.1373742","128.5893853,35.8809814","127.1648758,36.7860989","127.0382439,37.2868703","128.9732771,35.2094496","126.8096469,37.3259647","127.1305582,37.5198451","128.3220299,36.1210426","128.5649453,35.8566843","128.5893853,35.8809814","127.1381494,37.4344408","126.7329178,37.4340253","126.8921404,37.5450745","127.0092239,35.9690992","126.7329178,37.4340253","127.0092239,35.9690992","126.7167504,37.5437907","126.7167504,37.5437907","126.8042738,35.1665372","126.7041216,37.4317736","126.7167504,37.5437907","127.1381494,37.4344408","126.7041216,37.4317736","126.9473225,37.4061199","126.7041216,37.4317736","128.5600181,35.8546002","126.9473225,37.4061199","126.9691298,37.5557779","127.0484866,37.5771662","127.1318874,35.8454497","126.7041216,37.4317736","127.0122518,37.5054457","128.5829888,35.8476056","127.0519921,37.5850456","127.1381494,37.4344408","127.4214549,36.3552321","127.7552745,37.8984831","128.5829888,35.8476056"
"128.3921377,36.1447997","127.145354,37.5579358","126.8777427,35.1374052","128.5892567,35.8805651","127.1649379,36.7859945","127.0382116,37.2869748","128.9732782,35.2090826","126.8093984,37.3259813","127.1305865,37.5196244","128.3226601,36.1212709","128.5650109,35.8567063","128.5892567,35.8805651","127.1381093,37.4345435","126.7329521,37.4339859","126.8918619,37.5447981","127.0089742,35.9691333","126.7329521,37.4339859","127.0089742,35.9691333","126.7171354,37.5437771","126.7171354,37.5437771","126.8034924,35.1666121","126.704159,37.431772","126.7171354,37.5437771","127.1381093,37.4345435","126.704159,37.431772","126.9474293,37.4060374","126.704159,37.431772","128.5597267,35.8549273","126.9474293,37.4060374","126.9691649,37.556427","127.0483474,37.5769728","127.131885,35.8452585","126.704159,37.431772","127.0121839,37.5054526","128.5827609,35.8476158","127.052037,37.585108","127.1381093,37.4345435","127.4215028,36.3552357","127.7552709,37.898082","128.5827609,35.8476158"
"128.3922758,36.1443298","127.1451523,37.5579713","126.878165,35.137594","128.5892232,35.8804654","127.1649831,36.7859045","127.0384614,37.287266","128.9732869,35.2087165","126.8094832,37.3272005","127.1304485,37.5196059","128.3231453,36.1214452","128.5651923,35.8567687","128.5892232,35.8804654","127.1380979,37.4345759","126.7330269,37.4339666","126.8917822,37.5447202","127.0082557,35.9690997","126.7330269,37.4339666","127.0082557,35.9690997","126.7172124,37.5437749","126.7172124,37.5437749","126.8033913,35.1666232","126.7042065,37.431766","126.7172124,37.5437749","127.1380979,37.4345759","126.7042065,37.431766","126.9475022,37.4059612","126.7042065,37.431766","128.5596405,35.8550255","126.9475022,37.4059612","126.9691764,37.5567146","127.0482294,37.576811","127.1317868,35.844701","126.7042065,37.431766","127.0120458,37.5054674","128.5823315,35.847635","127.0521146,37.5851993","127.1380979,37.4345759","127.421553,36.3552403","127.7552684,37.8980379","128.5823315,35.847635"
"128.3923239,36.1441663","127.1449484,37.5580076","126.878316,35.1376615","128.5891443,35.8802082","127.1649945,36.7856034","127.0394646,37.286675","128.9732877,35.2085776","126.8094867,37.327305","127.1302122,37.5195745","128.3231754,36.1214558","128.5653347,35.8568188","128.5891443,35.8802082","127.1380864,37.4346083","126.7331287,37.4339546","126.8917091,37.544663","127.0081607,35.9688487","126.7331287,37.4339546","127.0081607,35.9688487","126.7185464,37.5437287","126.7185464,37.5437287","126.8031594,35.1666462","126.7042744,37.4317539","126.7185464,37.5437287","127.1380864,37.4346083","126.7042744,37.4317539","126.9475284,37.4059333","126.7042744,37.4317539","128.5596122,35.8550573","126.9475284,37.4059333","126.9691836,37.5568228","127.0480889,37.5766347","127.1317573,35.8445964","126.7042744,37.4317539","127.0118081,37.5054745","128.582015,35.8476496","127.0522024,37.5853024","127.1380864,37.4346083","127.4224299,36.3554185","127.7552292,37.8972079","128.582015,35.8476496"
"128.3923602,36.144029","127.1447738,37.5580486","126.8783783,35.1376898","128.5890529,35.8799251","127.1650071,36.7852879","127.0394691,37.2866723","128.9732897,35.2082629","126.8094907,37.3273709","127.1304948,37.5182468","128.3234119,36.1215416","128.5656696,35.8569339","128.5890529,35.8799251","127.1379893,37.43459","126.7331933,37.4339442","126.8914122,37.5449833","127.0079766,35.9686721","126.7331933,37.4339442","127.0079766,35.9686721","126.7187027,37.5437216","126.7187027,37.5437216","126.8029605,35.1666658","126.7043084,37.4317478","126.7187027,37.5437216","127.1379893,37.43459","126.7043084,37.4317478","126.9476234,37.4057697","126.7043084,37.4317478","128.5594769,35.8552135","126.9476234,37.4057697","126.9691846,37.5568354","127.0480563,37.5765976","127.1320066,35.8445683","126.7043084,37.4317478","127.0116814,37.5054803","128.5815402,35.8476728","127.0523787,37.5851778","127.1379893,37.43459","127.42282,36.3554908","127.7552256,37.8971538","128.5815402,35.8476728"
