0,1,2,3
"126.9159523,37.5156159","126.7331755,37.4341334","127.4954564,36.6532258","126.8045332,35.1674043"
"126.9160047,37.5155747","126.7331185,37.4341763","127.4953121,36.652666","126.8044283,35.1669646"
"126.9160366,37.5155497","126.7331151,37.4341781","127.494266,36.6528706","126.8043698,35.1667443"
"126.9161653,37.5154358","126.7330245,37.4341973","127.4941653,36.6528859","126.8043496,35.1666666"
"126.9161927,37.5154044","126.7329512,37.434186","127.4940859,36.6528634","126.8043369,35.1666043"
"126.9162349,37.5153614","126.7329099,37.4341317","127.494031,36.6527895","126.8043316,35.1665772"
"126.9162828,37.515321","126.7329037,37.4340703","127.4938364,36.6520664","126.8043233,35.1665312"
"126.9164339,37.5152416","126.7329178,37.4340253","127.4937962,36.6517825","126.8042738,35.1665372"
"126.9166247,37.5151415","126.7329521,37.4339859","127.4935265,36.6518645","126.8034924,35.1666121"
"126.9164539,37.5149947","126.7330269,37.4339666","127.49322,36.6519321","126.8033913,35.1666232"
"126.9163482,37.514904","126.7331287,37.4339546","127.4930331,36.6519663","126.8031594,35.1666462"
"126.9160594,37.5146556","126.7331933,37.4339442","127.4927031,36.6520096","126.8029605,35.1666658"
"126.9159739,37.5145831","126.7333329,37.433882","127.4923775,36.6520249","126.8023439,35.1667371"
"126.915962,37.5145163","126.7333828,37.4338697","127.4920911,36.652033","126.8022339,35.1667599"
"126.9159741,37.5144163","126.7335255,37.4338418","127.4917297,36.6520059","126.8021909,35.1667705"
"126.9159864,37.5142911","126.7335708,37.4338358","127.4913001,36.651932","126.8020401,35.1668156"
"126.9159398,37.5141647","126.7336126,37.4338334","127.4897796,36.6516695","126.8019997,35.1666666"
"126.9159365,37.5141575","126.733798,37.4338337","127.4897349,36.6516614","126.8019954,35.1666476"
"126.9158373,37.5139659","126.7338579,37.4338367","127.4890714,36.6516487","126.8019158,35.1663352"
"126.9166556,37.5134994","126.7339425,37.4338463","127.4889718,36.6516451","126.8018369,35.1660516"
"126.916692,37.5134789","126.7340959,37.4338825","127.4889181,36.6516433","126.8018148,35.1659451"
"126.9167369,37.5135224","126.7341916,37.4339218","127.4887291,36.6516234","126.8018095,35.1659162"
"126.9167969,37.5136723","126.7343232,37.4339858","127.4885926,36.6515991","126.8017955,35.1657646"
"126.9168247,37.5137283","126.7343949,37.4340448","127.4883901,36.6515278","126.8017845,35.165375"
"126.9169283,37.5139433","126.734405,37.4340557","127.4881898,36.6514133","126.8017828,35.1653155"
"126.9170339,37.5141782","126.7344924,37.4341275","127.4879616,36.6512952","126.8017779,35.1651234"
"126.9170873,37.5142957","126.7345436,37.4342098","127.4877491,36.6511825","126.8018151,35.1643644"
"126.9171007,37.5143228","126.7345754,37.4343002","127.487645,36.6511266","126.8018075,35.1642228"
"126.9171431,37.5144068","126.7346413,37.4344899","127.4875801,36.6510923","126.8018057,35.1641831"
"126.917212,37.5145658","126.7346588,37.4345495","127.4871494,36.6508498","126.8017996,35.1641281"
