index,count,geometry
0,37,"LINESTRING (127.6670504 37.2540219, 127.6689485 37.254158)"
1,37,"LINESTRING (128.205408 37.4925198, 128.2058861 37.4927089)"
2,37,"LINESTRING (127.657869 37.2535062, 127.6585526 37.2535991)"
3,37,"LINESTRING (127.2993558 37.2416024, 127.3009553 37.2425796)"
4,37,"LINESTRING (128.4683991 37.6186412, 128.4687797 37.6191572)"
5,37,"LINESTRING (128.4738132 37.6242154, 128.4738155 37.6242163)"
6,37,"LINESTRING (128.7956778 37.7541658, 128.7966505 37.7548797)"
7,37,"LINESTRING (128.7750564 37.7119253, 128.775015 37.712088)"
8,37,"LINESTRING (128.0916992 37.4384162, 128.0921868 37.4383246)"
9,37,"LINESTRING (128.7974866 37.7554329, 128.7982248 37.7558411)"
10,37,"LINESTRING (128.6847243 37.6782745, 128.6856996 37.678208)"
11,37,"LINESTRING (127.187512 37.287116, 127.1873491 37.2872166)"
12,37,"LINESTRING (127.1937497 37.2884529, 127.1935589 37.2884858)"
13,37,"LINESTRING (127.8378952 37.3209341, 127.838721 37.321368)"
14,37,"LINESTRING (128.1036615 37.4535248, 128.104583 37.4546495)"
15,37,"LINESTRING (128.1549991 37.4744161, 128.155597 37.4751483)"
16,37,"LINESTRING (127.656318 37.2532496, 127.657869 37.2535062)"
17,37,"LINESTRING (127.8679801 37.3444436, 127.8684464 37.3446765)"
18,37,"LINESTRING (128.5480583 37.6472936, 128.5507372 37.6476411)"
19,37,"LINESTRING (128.8087124 37.7602161, 128.8091496 37.7606078)"
20,37,"LINESTRING (128.7463034 37.6634473, 128.7465872 37.6633992)"
21,37,"LINESTRING (128.6425372 37.675886, 128.6440872 37.6762495)"
22,37,"LINESTRING (128.8731374 37.7464012, 128.8743219 37.7465622)"
23,37,"LINESTRING (128.713329 37.6782, 128.7135999 37.6781242)"
24,37,"LINESTRING (128.0774618 37.4443113, 128.0779523 37.4441439)"
25,37,"LINESTRING (128.260096 37.5203657, 128.2611799 37.5206841)"
26,37,"LINESTRING (128.1060977 37.4704344, 128.1062017 37.4705718)"
27,37,"LINESTRING (128.5399404 37.6462713, 128.5411499 37.6464309)"
28,37,"LINESTRING (127.202775 37.2990916, 127.2025747 37.2989496)"
29,37,"LINESTRING (127.1986124 37.2991325, 127.1985709 37.2990846)"
30,37,"LINESTRING (127.1971732 37.2927992, 127.1970731 37.2927323)"
31,37,"LINESTRING (128.8579876 37.742941, 128.8583682 37.7435828)"
32,37,"LINESTRING (128.4302901 37.6074191, 128.4306758 37.6076468)"
33,37,"LINESTRING (127.5326923 37.2389772, 127.5332413 37.2389428)"
34,37,"LINESTRING (127.63485 37.2495415, 127.637433 37.2499991)"
35,37,"LINESTRING (128.9001622 37.7503912, 128.9002367 37.7504327)"
36,37,"LINESTRING (127.3058901 37.2439894, 127.3067165 37.2440323)"
37,37,"LINESTRING (127.3363048 37.2517568, 127.336917 37.251791)"
38,37,"LINESTRING (127.3324866 37.25129, 127.3336048 37.2514736)"
39,37,"LINESTRING (127.1858728 37.288471, 127.1856272 37.2886488)"
40,37,"LINESTRING (128.7778118 37.7234661, 128.7788122 37.7244998)"
41,37,"LINESTRING (127.8971496 37.3591247, 127.8974999 37.3595914)"
42,37,"LINESTRING (128.7382344 37.6652871, 128.7386247 37.6651658)"
43,37,"LINESTRING (127.8914745 37.355283, 127.8921623 37.3557414)"
44,37,"LINESTRING (128.1776248 37.4880666, 128.1782498 37.4885164)"
45,37,"LINESTRING (128.8014183 37.757092, 128.8019384 37.7572332)"
46,37,"LINESTRING (128.107826 37.4615273, 128.1078183 37.461832)"
47,37,"LINESTRING (128.2144338 37.4949912, 128.2166252 37.4948941)"
48,37,"LINESTRING (128.3199998 37.5531323, 128.3207302 37.5536645)"
49,37,"LINESTRING (127.1972867 37.2886909, 127.1974496 37.2885742)"
50,37,"LINESTRING (127.2039277 37.2974828, 127.2039139 37.2975396)"
51,37,"LINESTRING (128.773712 37.689316, 128.773562 37.6896997)"
52,37,"LINESTRING (128.8615453 37.7456452, 128.8621076 37.7457324)"
53,37,"LINESTRING (128.8370128 37.7638982, 128.8374592 37.7621429)"
54,37,"LINESTRING (127.1898092 37.28758, 127.1894974 37.2874106)"
55,37,"LINESTRING (128.1898499 37.4901249, 128.1911052 37.4902104)"
56,37,"LINESTRING (128.7271998 37.6705497, 128.7285086 37.6697483)"
57,37,"LINESTRING (127.3469945 37.2518396, 127.3471287 37.251838)"
58,37,"LINESTRING (128.811787 37.7639664, 128.8126371 37.7651745)"
59,37,"LINESTRING (127.9493501 37.4009458, 127.9498614 37.4008681)"
60,37,"LINESTRING (128.7750292 37.7087495, 128.7750773 37.7089067)"
61,37,"LINESTRING (127.3067165 37.2440323, 127.3075891 37.2440553)"
62,37,"LINESTRING (128.677438 37.6810442, 128.6777125 37.6808332)"
63,37,"LINESTRING (128.0101741 37.4337333, 128.0109239 37.4351244)"
64,37,"LINESTRING (128.7815446 37.7287828, 128.781625 37.7292325)"
65,37,"LINESTRING (127.4884473 37.2456668, 127.4922505 37.2454202)"
66,37,"LINESTRING (127.1831117 37.2700067, 127.1832241 37.2698438)"
67,37,"LINESTRING (127.3670119 37.2410487, 127.3675036 37.2410268)"
68,37,"LINESTRING (128.8007314 37.7568869, 128.8012073 37.7570349)"
69,37,"LINESTRING (127.7201351 37.2463489, 127.7205758 37.2462768)"
70,37,"LINESTRING (127.7643883 37.2519633, 127.76468 37.2525152)"
71,37,"LINESTRING (127.2654031 37.2463274, 127.2662272 37.2463534)"
72,37,"LINESTRING (128.2087248 37.4939574, 128.2093494 37.494216)"
73,37,"LINESTRING (127.2506693 37.2453463, 127.2510166 37.2453317)"
74,37,"LINESTRING (128.4992409 37.6396244, 128.4998037 37.6400099)"
75,37,"LINESTRING (128.8298873 37.771663, 128.8304829 37.7715743)"
76,37,"LINESTRING (128.5129746 37.6428078, 128.5222432 37.6439807)"
77,37,"LINESTRING (128.774879 37.6707667, 128.7748804 37.670782)"
78,37,"LINESTRING (127.1986858 37.2979798, 127.1987304 37.2978492)"
79,37,"LINESTRING (127.7766724 37.2614766, 127.7770577 37.2616686)"
80,37,"LINESTRING (127.2039621 37.2984817, 127.2039931 37.2986431)"
81,37,"LINESTRING (128.8884832 37.7468531, 128.8887375 37.7469159)"
82,37,"LINESTRING (128.7907881 37.7466794, 128.7910075 37.7470249)"
83,37,"LINESTRING (127.7651174 37.2531371, 127.7652783 37.2533495)"
84,37,"LINESTRING (128.4430869 37.6071742, 128.4440747 37.6070743)"
85,37,"LINESTRING (127.231494 37.2483611, 127.2323888 37.2482008)"
86,37,"LINESTRING (128.1512835 37.4696703, 128.1521836 37.4705748)"
87,37,"LINESTRING (128.4376853 37.608187, 128.4377948 37.6081501)"
88,37,"LINESTRING (128.789136 37.7447489, 128.7894243 37.745008)"
89,37,"LINESTRING (127.6900931 37.2545388, 127.6907178 37.2545197)"
90,37,"LINESTRING (127.59152 37.2318549, 127.5919968 37.2318275)"
91,37,"LINESTRING (128.9051369 37.7540416, 128.9062288 37.7549325)"
92,37,"LINESTRING (127.7543998 37.2419165, 127.7549489 37.2419325)"
93,37,"LINESTRING (128.4198371 37.5937577, 128.4206576 37.5943479)"
94,37,"LINESTRING (127.660223 37.2537672, 127.6603155 37.2537734)"
95,37,"LINESTRING (127.3075891 37.2440553, 127.3083941 37.2440936)"
96,37,"LINESTRING (127.4283504 37.2353183, 127.4286977 37.2352149)"
97,37,"LINESTRING (127.1987202 37.2970127, 127.1987411 37.2968496)"
98,37,"LINESTRING (128.784262 37.741572, 128.7847882 37.7418772)"
99,37,"LINESTRING (127.3118277 37.2448599, 127.3122264 37.2450155)"
100,37,"LINESTRING (128.2432624 37.5087914, 128.2434804 37.5090874)"
101,37,"LINESTRING (128.8832273 37.7478478, 128.8835471 37.7478963)"
102,37,"LINESTRING (128.472913 37.6236587, 128.4735813 37.6240723)"
103,37,"LINESTRING (128.8604385 37.7453254, 128.8609345 37.7455081)"
104,37,"LINESTRING (128.2611799 37.5206841, 128.2626498 37.5211162)"
105,37,"LINESTRING (127.6462075 37.251503, 127.64838 37.2518716)"
106,37,"LINESTRING (128.6172114 37.6706659, 128.6182464 37.6708066)"
107,37,"LINESTRING (127.1817175 37.2888006, 127.1812677 37.2887111)"
108,37,"LINESTRING (127.6689485 37.254158, 127.6696772 37.2542273)"
109,37,"LINESTRING (128.4171243 37.5924746, 128.418148 37.5929146)"
110,37,"LINESTRING (128.4656727 37.6120632, 128.4657856 37.6123805)"
111,37,"LINESTRING (127.6965436 37.2542091, 127.6977679 37.2540593)"
112,37,"LINESTRING (127.3137455 37.2457995, 127.3151339 37.2465615)"
113,37,"LINESTRING (128.3802946 37.5621135, 128.3809233 37.5625261)"
114,37,"LINESTRING (128.7894243 37.745008, 128.7898537 37.7454855)"
115,37,"LINESTRING (127.9866448 37.4069951, 127.9876617 37.4075083)"
116,37,"LINESTRING (127.7536219 37.2419254, 127.7543998 37.2419165)"
117,37,"LINESTRING (127.1963624 37.2879332, 127.1961278 37.2879227)"
118,37,"LINESTRING (128.8962833 37.7489231, 128.89654 37.7489958)"
119,37,"LINESTRING (127.1951994 37.291808, 127.195237 37.2911663)"
120,37,"LINESTRING (127.4772103 37.2456003, 127.4780897 37.2457267)"
121,37,"LINESTRING (128.8091496 37.7606078, 128.8094246 37.7608833)"
122,37,"LINESTRING (128.0988376 37.4399739, 128.0992043 37.4403073)"
123,37,"LINESTRING (128.2356297 37.5025676, 128.2358119 37.502808)"
124,37,"LINESTRING (127.1935978 37.2644312, 127.1947136 37.2637643)"
125,37,"LINESTRING (128.1230461 37.4690447, 128.1233813 37.4686986)"
126,37,"LINESTRING (128.4240747 37.6018247, 128.4243045 37.6023592)"
127,37,"LINESTRING (127.8964117 37.3583827, 127.8968122 37.358741)"
128,37,"LINESTRING (127.9017977 37.3646652, 127.901954 37.3647611)"
129,37,"LINESTRING (127.2308993 37.2484994, 127.231494 37.2483611)"
130,37,"LINESTRING (128.0474121 37.4492748, 128.0485868 37.4491242)"
131,37,"LINESTRING (127.8233485 37.3089547, 127.8233531 37.3089601)"
132,37,"LINESTRING (128.5811989 37.658058, 128.5820836 37.658396)"
133,37,"LINESTRING (127.2709835 37.2458831, 127.2717362 37.2456845)"
134,37,"LINESTRING (128.880267 37.7476553, 128.8805674 37.7476951)"
135,37,"LINESTRING (127.3545195 37.2493171, 127.3547669 37.2490704)"
136,37,"LINESTRING (128.8164759 37.769802, 128.8170243 37.7701916)"
137,37,"LINESTRING (127.3256862 37.2492213, 127.3263205 37.2494386)"
138,37,"LINESTRING (128.6380994 37.6748068, 128.6382191 37.6748453)"
139,37,"LINESTRING (128.1070756 37.4580817, 128.1071505 37.4582589)"
140,37,"LINESTRING (127.1906622 37.2878409, 127.1902249 37.2877415)"
141,37,"LINESTRING (128.105774 37.4668991, 128.1056487 37.4672035)"
142,37,"LINESTRING (127.4037791 37.2397881, 127.4047429 37.2399016)"
143,37,"LINESTRING (127.2039931 37.2986431, 127.2040534 37.2988055)"
144,37,"LINESTRING (128.8310914 37.7714422, 128.8316999 37.7712496)"
145,37,"LINESTRING (127.6962934 37.2542348, 127.6965436 37.2542091)"
146,37,"LINESTRING (128.4998037 37.6400099, 128.4999992 37.6401353)"
147,37,"LINESTRING (128.8057814 37.7584146, 128.8059678 37.7584936)"
148,37,"LINESTRING (127.8377605 37.3208534, 127.8378952 37.3209341)"
149,37,"LINESTRING (127.7558118 37.2420243, 127.7565124 37.2421662)"
150,37,"LINESTRING (127.9162499 37.3684325, 127.9167043 37.3685057)"
151,37,"LINESTRING (128.1059935 37.4702673, 128.1060977 37.4704344)"
152,37,"LINESTRING (127.6654817 37.2539583, 127.6670504 37.2540219)"
153,37,"LINESTRING (127.2044118 37.3006245, 127.2041623 37.3006662)"
154,37,"LINESTRING (128.7815394 37.731447, 128.7814947 37.7316178)"
155,37,"LINESTRING (128.781408 37.7282984, 128.7815446 37.7287828)"
156,37,"LINESTRING (128.773387 37.6900748, 128.7730856 37.6906927)"
157,37,"LINESTRING (127.5116359 37.2442165, 127.5146622 37.2440151)"
158,37,"LINESTRING (128.902437 37.7518413, 128.9032366 37.752533)"
