index,path,count,start_path,end_path,start_path_lat,start_path_lng,end_path_lat,end_path_lng
0,"129.4513814,35.963827/129.4515756,35.9642827",15,"129.4513814,35.963827","129.4515756,35.9642827",35.963827,129.4513814,35.9642827,129.4515756
1,"129.4373623,35.9830998/129.4373742,35.9830411",15,"129.4373623,35.9830998","129.4373742,35.9830411",35.9830998,129.4373623,35.9830411,129.4373742
2,"129.4369124,35.982075/129.4367242,35.9818166",15,"129.4369124,35.982075","129.4367242,35.9818166",35.982075,129.4369124,35.9818166,129.4367242
3,"129.4594775,35.9886954/129.4586926,35.9887993",15,"129.4594775,35.9886954","129.4586926,35.9887993",35.9886954,129.4594775,35.9887993,129.4586926
4,"129.3980378,35.9447474/129.3985115,35.9446687",15,"129.3980378,35.9447474","129.3985115,35.9446687",35.9447474,129.3980378,35.9446687,129.3985115
5,"129.4654332,35.9888945/129.4653881,35.9887763",15,"129.4654332,35.9888945","129.4653881,35.9887763",35.9888945,129.4654332,35.9887763,129.4653881
6,"129.4544516,35.971149/129.4547562,35.9715407",15,"129.4544516,35.971149","129.4547562,35.9715407",35.971149,129.4544516,35.9715407,129.4547562
7,"129.4279958,35.9484417/129.428665,35.9485166",15,"129.4279958,35.9484417","129.428665,35.9485166",35.9484417,129.4279958,35.9485166,129.428665
8,"129.4350118,35.9883995/129.434999,35.988241",15,"129.4350118,35.9883995","129.434999,35.988241",35.9883995,129.4350118,35.988241,129.434999
9,"129.4360952,35.9799923/129.4361116,35.9798929",15,"129.4360952,35.9799923","129.4361116,35.9798929",35.9799923,129.4360952,35.9798929,129.4361116
10,"129.4360871,35.9801159/129.436088,35.9801069",15,"129.4360871,35.9801159","129.436088,35.9801069",35.9801159,129.4360871,35.9801069,129.436088
11,"129.4360836,35.9514106/129.4371312,35.9523636",15,"129.4360836,35.9514106","129.4371312,35.9523636",35.9514106,129.4360836,35.9523636,129.4371312
12,"129.4421347,35.9562581/129.4437933,35.9573418",15,"129.4421347,35.9562581","129.4437933,35.9573418",35.9562581,129.4421347,35.9573418,129.4437933
13,"129.4373494,35.9828909/129.4373115,35.9827915",15,"129.4373494,35.9828909","129.4373115,35.9827915",35.9828909,129.4373494,35.9827915,129.4373115
14,"129.453363,35.969637/129.4533793,35.9696656",15,"129.453363,35.969637","129.4533793,35.9696656",35.969637,129.453363,35.9696656,129.4533793
15,"129.4649895,35.9894292/129.4651504,35.9893887",15,"129.4649895,35.9894292","129.4651504,35.9893887",35.9894292,129.4649895,35.9893887,129.4651504
16,"129.4515756,35.9642827/129.4520344,35.9658942",15,"129.4515756,35.9642827","129.4520344,35.9658942",35.9642827,129.4515756,35.9658942,129.4520344
17,"129.4652884,35.9886463/129.4652139,35.9885926",15,"129.4652884,35.9886463","129.4652139,35.9885926",35.9886463,129.4652884,35.9885926,129.4652139
18,"129.4637015,35.9887507/129.4639169,35.9890249",15,"129.4637015,35.9887507","129.4639169,35.9890249",35.9887507,129.4637015,35.9890249,129.4639169
19,"129.4382491,35.9533291/129.4388257,35.9538318",15,"129.4382491,35.9533291","129.4388257,35.9538318",35.9533291,129.4382491,35.9538318,129.4388257
20,"129.4513158,35.9636821/129.4513814,35.963827",15,"129.4513158,35.9636821","129.4513814,35.963827",35.9636821,129.4513158,35.963827,129.4513814
21,"129.4497366,35.961419/129.4500854,35.9617595",15,"129.4497366,35.961419","129.4500854,35.9617595",35.961419,129.4497366,35.9617595,129.4500854
22,"129.4373496,35.9833083/129.4373371,35.9832499",15,"129.4373496,35.9833083","129.4373371,35.9832499",35.9833083,129.4373496,35.9832499,129.4373371
23,"129.4645358,35.988445/129.4636055,35.9884575",15,"129.4645358,35.988445","129.4636055,35.9884575",35.988445,129.4645358,35.9884575,129.4636055
24,"129.4361544,35.979784/129.4362142,35.9797335",15,"129.4361544,35.979784","129.4362142,35.9797335",35.979784,129.4361544,35.9797335,129.4362142
25,"129.4530489,35.969085/129.4531708,35.9693066",15,"129.4530489,35.969085","129.4531708,35.9693066",35.969085,129.4530489,35.9693066,129.4531708
26,"129.4546249,35.9897743/129.4538477,35.9899691",15,"129.4546249,35.9897743","129.4538477,35.9899691",35.9897743,129.4546249,35.9899691,129.4538477
27,"129.4424299,35.9914274/129.4422396,35.9914467",15,"129.4424299,35.9914274","129.4422396,35.9914467",35.9914274,129.4424299,35.9914467,129.4422396
28,"129.45245,35.9902803/129.4521365,35.9903413",15,"129.45245,35.9902803","129.4521365,35.9903413",35.9902803,129.45245,35.9903413,129.4521365
29,"129.4004918,35.9442705/129.4017612,35.9439484",15,"129.4004918,35.9442705","129.4017612,35.9439484",35.9442705,129.4004918,35.9439484,129.4017612
30,"129.4102407,35.9424805/129.4106055,35.9425296",15,"129.4102407,35.9424805","129.4106055,35.9425296",35.9424805,129.4102407,35.9425296,129.4106055
31,"129.4642968,35.9893161/129.4645015,35.9893876",15,"129.4642968,35.9893161","129.4645015,35.9893876",35.9893161,129.4642968,35.9893876,129.4645015
32,"129.4609019,35.9851196/129.4612304,35.9855289",15,"129.4609019,35.9851196","129.4612304,35.9855289",35.9851196,129.4609019,35.9855289,129.4612304
33,"129.4387912,35.991589/129.4385014,35.9915315",15,"129.4387912,35.991589","129.4385014,35.9915315",35.991589,129.4387912,35.9915315,129.4385014
34,"129.4585368,35.9781911/129.4586874,35.9787664",15,"129.4585368,35.9781911","129.4586874,35.9787664",35.9781911,129.4585368,35.9787664,129.4586874
35,"129.4368836,35.9841154/129.436921,35.9841022",15,"129.4368836,35.9841154","129.436921,35.9841022",35.9841154,129.4368836,35.9841022,129.436921
36,"129.4594179,35.9814886/129.4598182,35.9828747",15,"129.4594179,35.9814886","129.4598182,35.9828747",35.9814886,129.4594179,35.9828747,129.4598182
37,"129.4346514,35.9501942/129.4352934,35.9506977",15,"129.4346514,35.9501942","129.4352934,35.9506977",35.9501942,129.4346514,35.9506977,129.4352934
38,"129.4398977,35.954687/129.4405772,35.9551835",15,"129.4398977,35.954687","129.4405772,35.9551835",35.954687,129.4398977,35.9551835,129.4405772
39,"129.4560436,35.9732/129.4564621,35.9738025",15,"129.4560436,35.9732","129.4564621,35.9738025",35.9732,129.4560436,35.9738025,129.4564621
40,"129.4633662,35.9884678/129.4627834,35.9884917",15,"129.4633662,35.9884678","129.4627834,35.9884917",35.9884678,129.4633662,35.9884917,129.4627834
41,"129.4324078,35.9490657/129.4330511,35.9493059",15,"129.4324078,35.9490657","129.4330511,35.9493059",35.9490657,129.4324078,35.9493059,129.4330511
42,"129.4373746,35.9829662/129.4373494,35.9828909",15,"129.4373746,35.9829662","129.4373494,35.9828909",35.9829662,129.4373746,35.9828909,129.4373494
43,"129.4034617,35.9434851/129.4042097,35.9432885",15,"129.4034617,35.9434851","129.4042097,35.9432885",35.9434851,129.4034617,35.9432885,129.4042097
44,"129.4349617,35.9878495/129.4349372,35.9876164",15,"129.4349617,35.9878495","129.4349372,35.9876164",35.9878495,129.4349617,35.9876164,129.4349372
45,"129.4361534,35.9844192/129.4361967,35.9843753",15,"129.4361534,35.9844192","129.4361967,35.9843753",35.9844192,129.4361534,35.9843753,129.4361967
46,"129.3968708,35.9449462/129.3980378,35.9447474",15,"129.3968708,35.9449462","129.3980378,35.9447474",35.9449462,129.3968708,35.9447474,129.3980378
47,"129.4586926,35.9887993/129.4583612,35.9888543",15,"129.4586926,35.9887993","129.4583612,35.9888543",35.9887993,129.4586926,35.9888543,129.4583612
48,"129.4366956,35.9841364/129.4367355,35.9841385",15,"129.4366956,35.9841364","129.4367355,35.9841385",35.9841364,129.4366956,35.9841385,129.4367355
49,"129.4566746,35.9741416/129.4568872,35.9744906",15,"129.4566746,35.9741416","129.4568872,35.9744906",35.9741416,129.4566746,35.9744906,129.4568872
50,"129.4514395,35.990459/129.4507733,35.9905645",15,"129.4514395,35.990459","129.4507733,35.9905645",35.990459,129.4514395,35.9905645,129.4507733
51,"129.4368438,35.9841214/129.4368836,35.9841154",15,"129.4368438,35.9841214","129.4368836,35.9841154",35.9841214,129.4368438,35.9841154,129.4368836
52,"129.4072207,35.94256/129.407849,35.9424572",15,"129.4072207,35.94256","129.407849,35.9424572",35.94256,129.4072207,35.9424572,129.407849
53,"129.4533793,35.9696656/129.4537547,35.970231",15,"129.4533793,35.9696656","129.4537547,35.970231",35.9696656,129.4533793,35.970231,129.4537547
54,"129.4583612,35.9888543/129.4574366,35.9890082",15,"129.4583612,35.9888543","129.4574366,35.9890082",35.9888543,129.4583612,35.9890082,129.4574366
55,"129.4398422,35.9916594/129.439515,35.9916584",15,"129.4398422,35.9916594","129.439515,35.9916584",35.9916594,129.4398422,35.9916584,129.439515
56,"129.4362429,35.984132/129.4365125,35.9841331",15,"129.4362429,35.984132","129.4365125,35.9841331",35.984132,129.4362429,35.9841331,129.4365125
57,"129.4362193,35.9843452/129.4362339,35.9843089",15,"129.4362193,35.9843452","129.4362339,35.9843089",35.9843452,129.4362193,35.9843089,129.4362339
58,"129.4017612,35.9439484/129.4026269,35.9437147",15,"129.4017612,35.9439484","129.4026269,35.9437147",35.9439484,129.4017612,35.9437147,129.4026269
59,"129.4388257,35.9538318/129.4398977,35.954687",15,"129.4388257,35.9538318","129.4398977,35.954687",35.9538318,129.4388257,35.954687,129.4398977
60,"129.4381399,35.9914445/129.4356951,35.9906727",15,"129.4381399,35.9914445","129.4356951,35.9906727",35.9914445,129.4381399,35.9906727,129.4356951
61,"129.4109739,35.9425923/129.4120981,35.9429196",15,"129.4109739,35.9425923","129.4120981,35.9429196",35.9425923,129.4109739,35.9429196,129.4120981
