0,1,2,3,4,5,6
"127.0381266,37.2866833","127.1233212,35.8320108","127.1374367,37.4338482","127.1233212,35.8320108","126.8045332,35.1674043","127.8717722,36.9697338","127.4214415,36.3541052"
"127.0381417,37.2866085","127.1233249,35.8321658","127.1376027,37.4338866","127.1233249,35.8321658","126.8044283,35.1669646","127.8717035,36.9692301","127.4214085,36.3547795"
"127.0388192,37.2866842","127.1233241,35.8323326","127.1380186,37.433905","127.1233241,35.8323326","126.8043698,35.1667443","127.8716813,36.9690661","127.4214049,36.3550283"
"127.0388026,37.2868202","127.1233293,35.8323994","127.1381588,37.4338982","127.1233293,35.8323994","126.8043496,35.1666666","127.8716669,36.9688787","127.4214027,36.3550382"
"127.0387822,37.2868328","127.1233366,35.8324914","127.1382991,37.4338662","127.1233366,35.8324914","126.8043369,35.1666043","127.8716541,36.9687895","127.4213915,36.3550752"
"127.0383594,37.2867888","127.1233374,35.8325662","127.1382493,37.4341076","127.1233374,35.8325662","126.8043316,35.1665772","127.8716227,36.9685615","127.4213524,36.3551689"
"127.0382927,37.2868228","127.1233369,35.8326744","127.1382206,37.434204","127.1233369,35.8326744","126.8043233,35.1665312","127.871597,36.9683588","127.4213524,36.3552329"
"127.0382439,37.2868703","127.1229117,35.8326658","127.1381494,37.4344408","127.1229117,35.8326658","126.8042738,35.1665372","127.8715917,36.9681875","127.4214549,36.3552321"
"127.0382116,37.2869748","127.1227866,35.8326664","127.1381093,37.4345435","127.1227866,35.8326664","126.8034924,35.1666121","127.8716126,36.9680991","127.4215028,36.3552357"
"127.0384614,37.287266","127.1227973,35.8329747","127.1380979,37.4345759","127.1227973,35.8329747","126.8033913,35.1666232","127.8716181,36.9680802","127.421553,36.3552403"
"127.0394646,37.286675","127.1227992,35.8330388","127.1380864,37.4346083","127.1227992,35.8330388","126.8031594,35.1666462","127.871659,36.9679475","127.4224299,36.3554185"
"127.0394691,37.2866723","127.1228178,35.8333327","127.1379893,37.43459","127.1228178,35.8333327","126.8029605,35.1666658","127.8717186,36.9677283","127.42282,36.3554908"
"127.039511,37.2866472","127.1228787,35.8337882","127.1379261,37.4345781","127.1228787,35.8337882","126.8023439,35.1667371","127.8717325,36.9675759","127.4235276,36.3556193"
"127.0395914,37.2865998","127.1229256,35.8339498","127.1379238,37.4345771","127.1229256,35.8339498","126.8022339,35.1667599","127.8717161,36.9674452","127.4235476,36.3556608"
"127.0397544,37.2865048","127.1229649,35.8340698","127.1375477,37.4345075","127.1229649,35.8340698","126.8021909,35.1667705","127.8716783,36.9672885","127.4235554,36.3557032"
"127.03997,37.2866724","127.1230734,35.8342911","127.1374009,37.4344746","127.1230734,35.8342911","126.8020401,35.1668156","127.8716313,36.9670912","127.4235493,36.356181"
"127.0400902,37.286754","127.1231008,35.8343579","127.1367121,37.4343328","127.1231008,35.8343579","126.8019997,35.1666666","127.871545,36.966675","127.4235162,36.3570176"
"127.0404664,37.2870322","127.1231534,35.8344698","127.136676,37.4343254","127.1231534,35.8344698","126.8019954,35.1666476","127.8715233,36.9665904","127.4235116,36.3571231"
"127.0415994,37.2879056","127.1232291,35.8346306","127.1365224,37.4342961","127.1232291,35.8346306","126.8019158,35.1663352","127.8713159,36.9655399","127.4235093,36.3572024"
"127.0418083,37.2880731","127.1233235,35.8347976","127.1363869,37.434266","127.1233235,35.8347976","126.8018369,35.1660516","127.8712987,36.9654616","127.4235001,36.3575513"
"127.0419688,37.2882017","127.1236102,35.8352836","127.1360109,37.4341846","127.1236102,35.8352836","126.8018148,35.1659451","127.8712745,36.9653291","127.4235001,36.3575585"
"127.0421327,37.2883358","127.1237114,35.8354174","127.1357478,37.4341288","127.1237114,35.8354174","126.8018095,35.1659162","127.8712583,36.9652444","127.4234977,36.3576423"
"127.0429096,37.2889698","127.1239272,35.8356741","127.1355276,37.4340821","127.1239272,35.8356741","126.8017955,35.1657646","127.8711789,36.9650851","127.4234773,36.3580597"
"127.043014,37.289054","127.1239449,35.8356886","127.1352396,37.4340227","127.1239449,35.8356886","126.8017845,35.165375","127.8711248,36.9648176","127.4234727,36.3581481"
"127.0434518,37.2894081","127.1240927,35.8358036","127.1352114,37.4340163","127.1240927,35.8358036","126.8017828,35.1653155","127.8711133,36.9647554","127.4234511,36.3586592"
"127.0438201,37.289698","127.1245479,35.8360096","127.1351369,37.4339998","127.1245479,35.8360096","126.8017779,35.1651234","127.8710937,36.9646554","127.4234499,36.3587413"
"127.0439594,37.2898058","127.1245998,35.8360477","127.1350861,37.4339888","127.1245998,35.8360477","126.8018151,35.1643644","127.8710868,36.9646221","127.4239492,36.3587578"
"127.0443894,37.290141","127.1247719,35.8361708","127.1349867,37.433966","127.1247719,35.8361708","126.8018075,35.1642228","127.8710764,36.964568","127.4248297,36.3587782"
"127.0444545,37.2901953","127.1248503,35.8362297","127.1349122,37.4339495","127.1248503,35.8362297","126.8018057,35.1641831","127.8710166,36.9642662","127.425222,36.3587875"
"127.0445522,37.2902759","127.1249992,35.8363437","127.1349624,37.4338478","127.1249992,35.8363437","126.8017996,35.1641281","127.8709509,36.9639374","127.4253625,36.3587912"
"127.0445904,37.2903076","127.1254826,35.8366797","127.1350115,37.4337497","127.1254826,35.8366797","126.801774,35.1639079","127.8709279,36.9638257","127.4256991,36.3588013"
"127.0446488,37.2903547","127.1259229,35.836994","127.1351371,37.4334833","127.1259229,35.836994","126.8013444,35.1632914","127.8709233,36.9638005","127.4269619,36.3588409"
"127.044669,37.290371","127.1264007,35.8373372","127.1355868,37.4325996","127.1264007,35.8373372","126.8012739,35.1631909","127.8708625,36.9635374","127.4270633,36.3588445"
"127.0447464,37.2904389","127.1265684,35.8374684","127.1356016,37.4325726","127.1265684,35.8374684","126.8011523,35.1630342","127.8708418,36.963451","127.4272561,36.358851"
"127.0449497,37.2905956","127.1266964,35.8375644","127.1357741,37.4324325","127.1266964,35.8375644","126.8008731,35.1628062","127.8708355,36.963305","127.4289492,36.358916"
"127.0450957,37.290708","127.1268609,35.8376839","127.1358391,37.432311","127.1268609,35.8376839","126.8006426,35.1626769","127.8708397,36.9632319","127.4295544,36.3589353"
"127.0455706,37.2910793","127.1274921,35.8381313","127.1359429,37.4321148","127.1274921,35.8381313","126.8003339,35.1625597","127.8707927,36.9630446","127.430455,36.3589646"
"127.0466093,37.2918991","127.1283793,35.8387805","127.1360604,37.4318835","127.1283793,35.8387805","126.8000182,35.1625038","127.8707059,36.962979","127.4306645,36.3589711"
"127.0466621,37.2919381","127.1289752,35.839225","127.1360992,37.4318079","127.1289752,35.839225","126.7999853,35.1624982","127.8706349,36.9629432","127.4313388,36.358985"
"127.0468474,37.2920758","127.1290304,35.8392631","127.136194,37.4316108","127.1290304,35.8392631","126.799495,35.162434","127.8706181,36.9629387","127.4315662,36.3589923"
"127.0472112,37.2923737","127.1292412,35.8394035","127.1364875,37.4310015","127.1292412,35.8394035","126.7989467,35.1623569","127.8705528,36.9629209","127.4318092,36.3589952"
"127.047547,37.2926301","127.1294266,35.8395456","127.1368193,37.4303878","127.1294266,35.8395456","126.7986911,35.1623211","127.8704404,36.9628996","127.4321336,36.3589909"
"127.0478209,37.2928682","127.1294994,35.8395963","127.1369504,37.4301565","127.1294994,35.8395963","126.7978624,35.1621613","127.8702204,36.9629364","127.432157,36.3589891"
"127.0479274,37.2929705","127.1295403,35.8396217","127.1370828,37.4299019","127.1295403,35.8396217","126.7977341,35.1621416","127.8698118,36.963008","127.4322383,36.3589819"
"127.0479824,37.2930266","127.1296066,35.8396552","127.1371353,37.4298002","127.1296066,35.8396552","126.7959941,35.161851","127.8679138,36.9633185","127.4322506,36.3589801"
"127.0480104,37.2930546","127.1297369,35.839716","127.1371569,37.4297579","127.1297369,35.839716","126.7954678,35.1617632","127.8662233,36.9635978","127.4322851,36.3589774"
"127.0482213,37.2932673","127.129895,35.8397769","127.1371923,37.4296931","127.129895,35.8397769","126.7943554,35.1615196","127.8654859,36.9637245","127.4324312,36.3589414"
"127.0483914,37.2934987","127.1300641,35.839846","127.1372072,37.4296562","127.1300641,35.839846","126.7941362,35.1614714","127.8639436,36.9639861","127.4324992,36.3589171"
"127.0485477,37.2937688","127.1301769,35.8398824","127.1372494,37.4295707","127.1301769,35.8398824","126.7923806,35.161087","127.863736,36.9640219","127.432613,36.3588478"
"127.0486759,37.2940235","127.1306733,35.8400444","127.1374822,37.4291063","127.1306733,35.8400444","126.7914894,35.1609132","127.8635205,36.9640641","127.4327167,36.3587739"
"127.0487987,37.2944304","127.1308535,35.8401","127.1374959,37.429082","127.1308535,35.8401","126.7908403,35.1608039","127.8632028,36.9641137","127.4328829,36.3586451"
"127.0488542,37.2945902","127.1314219,35.8402721","127.1376238,37.4288138","127.1314219,35.8402721","126.7899015,35.1606848","127.8623745,36.9642659","127.4329286,36.3586109"
"127.0488763,37.2946651","127.1315623,35.8403149","127.1378361,37.4283844","127.1315623,35.8403149","126.7899004,35.1606848","127.8618873,36.9643368","127.4330245,36.3585379"
"127.0489006,37.294749","127.131705,35.8403568","127.1378749,37.4283043","127.131705,35.8403568","126.7896083,35.1606921","127.8605997,36.964539","127.4331885,36.3584018"
"127.0490244,37.2951759","127.1318056,35.840386","127.1378966,37.4282593","127.1318056,35.840386","126.7893186,35.160666","127.8605358,36.9645491","127.4334618,36.3581658"
"127.0490466,37.2952526","127.1319759,35.8404361","127.1379411,37.4281657","127.1319759,35.8404361","126.7889741,35.1606351","127.8604549,36.9645575","127.4342124,36.3575414"
"127.0488196,37.2952887","127.1320356,35.8404534","127.1380577,37.4278921","127.1320356,35.8404534","126.7886988,35.1606083","127.8604179,36.9645612","127.4346441,36.3571585"
"127.04871,37.2953036","127.1321849,35.840498","127.138068,37.4278723","127.1321849,35.840498","126.7885035,35.1605882","127.8602483,36.9645788","127.4347545,36.3570648"
"127.0483453,37.2953517","127.13228,35.8405272","127.1380246,37.4277333","127.13228,35.8405272","126.787955,35.1605282","127.8601888,36.9645817","127.4348091,36.357018"
"127.048238,37.2953667","127.133064,35.8407541","127.137999,37.4276494","127.133064,35.8407541","126.7847402,35.1601431","127.8599271,36.9646023","127.4348493,36.3569828"
"127.0479704,37.2954035","127.1332675,35.8408142","127.1379788,37.4276079","127.1332675,35.8408142","126.7841968,35.1601246","127.859798,36.9646108","127.4359992,36.356008"
"127.0479332,37.2954079","127.1337729,35.8409591","127.1379486,37.4275555","127.1337729,35.8409591","126.7834188,35.1600776","127.8592701,36.9646359","127.4361141,36.3559107"
"127.0474261,37.2954771","127.1342694,35.8410986","127.1379025,37.4275067","127.1342694,35.8410986","126.7829797,35.1600597","127.859269,36.9646359","127.4363617,36.3557008"
"127.0468279,37.2957155","127.1343689,35.8411259","127.1378631,37.4274696","127.1343689,35.8411259","126.7825735,35.1600618","127.8586243,36.9646613","127.4370733,36.355098"
"127.045828,37.2959361","127.1344552,35.8411514","127.1378,37.4274325","127.1344552,35.8411514","126.7825053,35.1600686","127.8571505,36.9646774","127.4371491,36.3550331"
"127.0456991,37.2959816","127.1345901,35.8411906","127.1376713,37.4273879","127.1345901,35.8411906","126.7822976,35.160089","127.856699,36.9646833","127.4376443,36.3545979"
"127.0455701,37.2960406","127.1347737,35.8412453","127.1375505,37.4273704","127.1347737,35.8412453","126.7820906,35.1601581","127.8565967,36.9646845","127.4380269,36.3542952"
"127.0454863,37.2960944","127.135237,35.8413792","127.137399,37.4273745","127.135237,35.8413792","126.7818821,35.160266","127.8552972,36.9647281","127.4380994,36.3542331"
