0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
"126.9698042,37.5550391","128.5820368,35.848358","129.13722,35.1696018","127.0474402,37.6779158","127.4713233,36.6406051","128.9722221,35.2112503","127.079709,37.5521239","127.078355,37.631635","126.9522416,37.4642024","128.5879815,35.8822599","127.0729812,37.5294262","126.9522416,37.4642024","127.1374367,37.4338482","127.0120986,37.6345009","127.0107348,37.5660545","127.078355,37.631635","127.7239516,37.8806046","126.970779,37.5177203","127.0521747,37.596351","127.9300834,37.3694178","127.0113611,37.296867","127.0113611,37.296867","129.1740081,37.4564132","128.5879815,35.8822599","127.0113611,37.296867","127.1052464,37.643257","128.5820368,35.848358","127.1320036,35.8464247","127.0308006,37.2939269","128.7279772,36.5603377","127.0718812,37.5086","127.0133776,37.5059758","127.0469142,37.557618","126.970779,37.5177203","127.120365,37.4108159","127.255847,37.4106875","127.0521747,37.596351","128.9722221,35.2112503","127.9300834,37.3694178","127.1052464,37.643257","127.0107348,37.5660545","127.0957578,37.4993217","128.5800484,35.2208757","127.9300834,37.3694178","127.120365,37.4108159","126.9522416,37.4642024","126.9522416,37.4642024","126.9522416,37.4642024","127.0481166,37.5024642","127.0469142,37.557618","127.0481166,37.5024642","127.1374367,37.4338482","127.0608036,37.5050296","127.1506275,37.556559","127.7239516,37.8806046","127.0474402,37.6779158","127.7239516,37.8806046","127.2079065,37.5429608","127.0729812,37.5294262","127.7239516,37.8806046","127.1374367,37.4338482","127.1320036,35.8464247","127.1050578,37.6142089","127.120365,37.4108159","127.1052464,37.643257","127.1506275,37.556559","127.9300834,37.3694178","127.120365,37.4108159","127.9300834,37.3694178","127.1050578,37.6142089","127.0481166,37.5024642","127.078355,37.631635","128.9722221,35.2112503","127.1050578,37.6142089","126.957535,37.5048556","128.1618481,35.1574188","127.0381266,37.2866833","127.120365,37.4108159","127.0521747,37.596351","127.1052464,37.643257","127.1374367,37.4338482","127.1052464,37.643257","127.1374367,37.4338482","127.0113611,37.296867","127.1374367,37.4338482","126.9522416,37.4642024","127.0729812,37.5294262","127.078355,37.631635","127.0729812,37.5294262","127.120365,37.4108159","127.0381266,37.2866833","127.1052464,37.643257"
"126.9697868,37.5550922","128.5829881,35.8482827","129.1375598,35.1691888","127.0475072,37.6779007","127.4714709,36.6406611","128.9727735,35.211249","127.0798964,37.5522147","127.0782872,37.6315824","126.9520415,37.4642042","128.5880467,35.8822467","127.0730292,37.5295336","126.9520415,37.4642042","127.1376027,37.4338866","127.0121474,37.6345002","127.0110774,37.5661307","127.0782872,37.6315824","127.7237474,37.8803824","126.970686,37.5177568","127.052356,37.5959668","127.9304991,37.3694244","127.0113058,37.2968668","127.0113058,37.2968668","129.1738826,37.4564637","128.5880467,35.8822467","127.0113058,37.2968668","127.1052361,37.6432804","128.5829881,35.8482827","127.1322871,35.8464247","127.0308181,37.2938305","128.7269844,36.560164","127.0740801,37.508927","127.0136273,37.5053189","127.0470494,37.5571769","126.970686,37.5177568","127.1203093,37.410887","127.2559991,37.410458","127.052356,37.5959668","128.9727735,35.211249","127.9304991,37.3694244","127.1052361,37.6432804","127.0110774,37.5661307","127.0951444,37.4993655","128.5800623,35.2209333","127.9304991,37.3694244","127.1203093,37.410887","126.9520415,37.4642042","126.9520415,37.4642042","126.9520415,37.4642042","127.0481494,37.5024743","127.0470494,37.5571769","127.0481494,37.5024743","127.1376027,37.4338866","127.0608723,37.5048937","127.1500962,37.5563933","127.7237474,37.8803824","127.0475072,37.6779007","127.7237474,37.8803824","127.2081068,37.5429712","127.0730292,37.5295336","127.7237474,37.8803824","127.1376027,37.4338866","127.1322871,35.8464247","127.104722,37.6142871","127.1203093,37.410887","127.1052361,37.6432804","127.1500962,37.5563933","127.9304991,37.3694244","127.1203093,37.410887","127.9304991,37.3694244","127.104722,37.6142871","127.0481494,37.5024743","127.0782872,37.6315824","128.9727735,35.211249","127.104722,37.6142871","126.9577243,37.5051305","128.1618266,35.1574667","127.0381417,37.2866085","127.1203093,37.410887","127.052356,37.5959668","127.1052361,37.6432804","127.1376027,37.4338866","127.1052361,37.6432804","127.1376027,37.4338866","127.0113058,37.2968668","127.1376027,37.4338866","126.9520415,37.4642042","127.0730292,37.5295336","127.0782872,37.6315824","127.0730292,37.5295336","127.1203093,37.410887","127.0381417,37.2866085","127.1052361,37.6432804"
"126.9696865,37.5551936","128.5832307,35.8482932","129.1377523,35.1688805","127.0475674,37.677873","127.4722461,36.6407027","128.973269,35.2112484","127.0799877,37.5522926","127.0781123,37.6314583","126.9518617,37.4641962","128.5891631,35.8819859","127.0732866,37.5294499","126.9518617,37.4641962","127.1380186,37.433905","127.0124081,37.6344977","127.0116766,37.5662738","127.0781123,37.6314583","127.7236356,37.8802591","126.9706156,37.5177845","127.0525395,37.5955781","127.9308198,37.3694296","127.0109763,37.2968654","127.0109763,37.2968654","129.1736332,37.4565348","128.5891631,35.8819859","127.0109763,37.2968654","127.105245,37.6433102","128.5832307,35.8482932","127.1323747,35.8463997","127.0309126,37.293327","128.7267693,36.5601284","127.0740869,37.5089279","127.0136526,37.5052586","127.0471021,37.5570743","126.9706156,37.5177845","127.120189,37.4111985","127.256066,37.4103869","127.0525395,37.5955781","128.973269,35.2112484","127.9308198,37.3694296","127.105245,37.6433102","127.0116766,37.5662738","127.0950221,37.4993741","128.5800658,35.2209422","127.9308198,37.3694296","127.120189,37.4111985","126.9518617,37.4641962","126.9518617,37.4641962","126.9518617,37.4641962","127.0482521,37.5025116","127.0471021,37.5570743","127.0482521,37.5025116","127.1380186,37.433905","127.0609993,37.5046409","127.1500849,37.5563897","127.7236356,37.8802591","127.0475674,37.677873","127.7236356,37.8802591","127.2086489,37.5429996","127.0732866,37.5294499","127.7236356,37.8802591","127.1380186,37.433905","127.1323747,35.8463997","127.1047229,37.6143366","127.120189,37.4111985","127.105245,37.6433102","127.1500849,37.5563897","127.9308198,37.3694296","127.120189,37.4111985","127.9308198,37.3694296","127.1047229,37.6143366","127.0482521,37.5025116","127.0781123,37.6314583","128.973269,35.2112484","127.1047229,37.6143366","126.9578484,37.5051743","128.1617873,35.1574994","127.0388192,37.2866842","127.120189,37.4111985","127.0525395,37.5955781","127.105245,37.6433102","127.1380186,37.433905","127.105245,37.6433102","127.1380186,37.433905","127.0109763,37.2968654","127.1380186,37.433905","126.9518617,37.4641962","127.0732866,37.5294499","127.0781123,37.6314583","127.0732866,37.5294499","127.120189,37.4111985","127.0388192,37.2866842","127.105245,37.6433102"
"126.9695389,37.5552515","128.5834343,35.8477125","129.1377753,35.1688207","127.0476516,37.6778355","127.472254,36.6405819","128.973272,35.2111113","127.0800663,37.5524028","127.077699,37.6311937","126.9517412,37.4641352","128.5894172,35.881934","127.0732878,37.529449","126.9517412,37.4641352","127.1381588,37.4338982","127.0128545,37.6345203","127.0118121,37.5663285","127.077699,37.6311937","127.723331,37.8799361","126.9705633,37.5178149","127.0525499,37.5955574","127.9310243,37.3694333","127.0113316,37.2963603","127.0113316,37.2963603","129.1734687,37.4565624","128.5894172,35.881934","127.0113316,37.2963603","127.1052936,37.6433374","128.5834343,35.8477125","127.1324991,35.8463162","127.0309179,37.2931972","128.7266494,36.5601062","127.0741796,37.50894","127.0135156,37.5052797","127.0471428,37.5570772","126.9705633,37.5178149","127.1203312,37.411235","127.256142,37.4103041","127.0525499,37.5955574","128.973272,35.2111113","127.9310243,37.3694333","127.1052936,37.6433374","127.0118121,37.5663285","127.0947528,37.4993967","128.5802119,35.2213575","127.9310243,37.3694333","127.1200107,37.4111528","126.9517412,37.4641352","126.9517412,37.4641352","126.9517412,37.4641352","127.0485569,37.5026219","127.0471428,37.5570772","127.0485569,37.5026219","127.1381588,37.4338982","127.0611784,37.504007","127.1500736,37.556387","127.723331,37.8799361","127.0476516,37.6778355","127.723331,37.8799361","127.2086407,37.5430807","127.0732878,37.529449","127.723331,37.8799361","127.1381588,37.4338982","127.1324991,35.8463162","127.1047172,37.6143429","127.1203312,37.411235","127.1052936,37.6433374","127.1500736,37.556387","127.9310243,37.3694333","127.1200107,37.4111528","127.9310243,37.3694333","127.1047172,37.6143429","127.0485569,37.5026219","127.077699,37.6311937","128.973272,35.2111113","127.1047172,37.6143429","126.9580217,37.5051417","128.1617414,35.157524","127.0388026,37.2868202","127.1200107,37.4111528","127.0525499,37.5955574","127.1052936,37.6433374","127.1381588,37.4338982","127.1052936,37.6433374","127.1381588,37.4338982","127.0113316,37.2963603","127.1381588,37.4338982","126.9517412,37.4641352","127.0732878,37.529449","127.077699,37.6311937","127.0732878,37.529449","127.1200107,37.4111528","127.0388026,37.2868202","127.1052936,37.6433374"
"126.9690305,37.5552627","128.583499,35.847583","129.1377736,35.1687369","127.048385,37.677503","127.4723,36.640325","128.9732751,35.2106776","127.0800774,37.5524398","127.0776512,37.6312178","126.9517229,37.4641586","128.5896702,35.8818831","127.0733909,37.5294232","126.9517229,37.4641586","127.1382991,37.4338662","127.012961,37.6345198","127.0119566,37.5663976","127.0776512,37.6312178","127.7231815,37.8797796","126.9705416,37.5178445","127.0525115,37.595533","127.9310187,37.3692594","127.0110999,37.2962494","127.0114756,37.2964303","129.173302,37.45659","128.5896702,35.8818831","127.0114756,37.2964303","127.1056354,37.6434404","128.583499,35.847583","127.1325742,35.846366","127.0309768,37.2928009","128.726516,36.5600823","127.0741157,37.5092273","127.0130774,37.5053373","127.0472437,37.557065","126.9705416,37.5178445","127.1208447,37.4113718","127.2561919,37.4102619","127.0525115,37.595533","128.9732751,35.2106776","127.9310187,37.3692594","127.1056354,37.6434404","127.0119566,37.5663976","127.0947451,37.4993543","128.580334,35.2216954","127.9310187,37.3692594","127.1195333,37.4110341","126.9517229,37.4641586","126.9517229,37.4641586","126.9517229,37.4641586","127.0486721,37.5026638","127.0472437,37.557065","127.0486721,37.5026638","127.1382991,37.4338662","127.0612026,37.5039323","127.1500329,37.5563742","127.7231815,37.8797796","127.048385,37.677503","127.7231815,37.8797796","127.2086172,37.5432951","127.0733909,37.5294232","127.7231815,37.8797796","127.1382991,37.4338662","127.1323622,35.8462247","127.1046534,37.6144013","127.1208447,37.4113718","127.1056354,37.6434404","127.1500329,37.5563742","127.9310187,37.3692594","127.1195333,37.4110341","127.9310187,37.3692594","127.1046534,37.6144013","127.0486721,37.5026638","127.0776512,37.6312178","128.9732751,35.2106776","127.1046534,37.6144013","126.9582804,37.5050402","128.1617431,35.1576024","127.0387822,37.2868328","127.1195333,37.4110341","127.0525115,37.595533","127.1056354,37.6434404","127.1382991,37.4338662","127.1056354,37.6434404","127.1382991,37.4338662","127.0114756,37.2964303","127.1382991,37.4338662","126.9517229,37.4641586","127.0733909,37.5294232","127.0776512,37.6312178","127.0733909,37.5294232","127.1195333,37.4110341","127.0387822,37.2868328","127.1056354,37.6434404"
"126.9690433,37.5553737","128.5831891,35.8475966","129.1377591,35.1686722","127.048567,37.6774208","127.4723616,36.6401249","128.9732759,35.2105974","127.0800461,37.5525821","127.0776081,37.6312276","126.9514549,37.4643223","128.5896169,35.8817086","127.0734068,37.5294196","126.9514549,37.4643223","127.1382493,37.4341076","127.0130222,37.63452","127.0120728,37.5664692","127.0776081,37.6312276","127.7230173,37.8796149","126.9705302,37.5178589","127.0524991,37.5955167","127.931016,37.3691656","127.0110324,37.2962184","127.0115813,37.2964803","129.1729746,37.4565604","128.5896169,35.8817086","127.0115813,37.2964803","127.1056799,37.6433829","128.5831891,35.8475966","127.1329115,35.8464581","127.0309873,37.2927495","128.7265003,36.5600797","127.074089,37.5093498","127.0127841,37.5053767","127.0477199,37.5569478","126.9705302,37.5178589","127.1209812,37.4114083","127.2562372,37.4102223","127.0524991,37.5955167","128.9732759,35.2105974","127.931016,37.3691656","127.1056799,37.6433829","127.0120728,37.5664692","127.0947352,37.4992938","128.5804617,35.2220496","127.931016,37.3691656","127.1194531,37.4110302","126.9514549,37.4643223","126.9514549,37.4643223","126.9514549,37.4643223","127.0487409,37.5026965","127.0477199,37.5569478","127.0487409,37.5026965","127.1382493,37.4341076","127.0611156,37.503904","127.1499978,37.5563633","127.7230173,37.8796149","127.048567,37.6774208","127.7230173,37.8796149","127.2085527,37.5438691","127.0734068,37.5294196","127.7230173,37.8796149","127.1382493,37.4341076","127.1320372,35.8458658","127.1045456,37.6144388","127.1209812,37.4114083","127.1056799,37.6433829","127.1499978,37.5563633","127.931016,37.3691656","127.1194531,37.4110302","127.931016,37.3691656","127.1045456,37.6144388","127.0487409,37.5026965","127.0776081,37.6312276","128.9732759,35.2105974","127.1045456,37.6144388","126.9583774,37.5049324","128.161799,35.1581332","127.0383594,37.2867888","127.1194531,37.4110302","127.0524991,37.5955167","127.1056799,37.6433829","127.1382493,37.4341076","127.1056799,37.6433829","127.1382493,37.4341076","127.0115813,37.2964803","127.1382493,37.4341076","126.9514549,37.4643223","127.0734068,37.5294196","127.0776081,37.6312276","127.0734068,37.5294196","127.1194531,37.4110302","127.0383594,37.2867888","127.1056799,37.6433829"
"126.9690732,37.5554693","128.5830254,35.8476044","129.1379036,35.1685386","127.0488103,37.6773099","127.4724041,36.6399951","128.9732763,35.209529","127.0800107,37.5526324","127.077565,37.6312346","126.9514265,37.4643411","128.5894143,35.8810722","127.0734419,37.5294108","126.9514265,37.4643411","127.1382206,37.434204","127.0131153,37.6344934","127.0122057,37.5665707","127.077565,37.6312346","127.7226546,37.8792398","126.9705075,37.517875","127.0524868,37.5954995","127.9310118,37.3690241","127.0109132,37.2961621","127.0119739,37.2966658","129.1726914,37.4564851","128.5894143,35.8810722","127.0119739,37.2966658","127.1057038,37.6433595","128.5830254,35.8476044","127.1333499,35.8464748","127.0310117,37.2926315","128.7263266,36.5600446","127.0740715,37.509439","127.0126131,37.5053985","127.0477947,37.5569292","126.9705075,37.517875","127.1216143,37.4115771","127.2563934,37.4101316","127.0524868,37.5954995","128.9732763,35.209529","127.9310118,37.3690241","127.1057038,37.6433595","127.0122057,37.5665707","127.0946027,37.4993222","128.5805173,35.2221852","127.9310118,37.3690241","127.1193784,37.4110679","126.9514265,37.4643411","126.9514265,37.4643411","126.9514265,37.4643411","127.048555,37.5027553","127.0477947,37.5569292","127.048555,37.5027553","127.1382206,37.434204","127.0606865,37.5037663","127.1497886,37.5563095","127.7226546,37.8792398","127.0488103,37.6773099","127.7226546,37.8792398","127.2085401,37.5439034","127.0734419,37.5294108","127.7226546,37.8792398","127.1382206,37.434204","127.131912,35.8456328","127.1037175,37.6146208","127.1216143,37.4115771","127.1057038,37.6433595","127.1497886,37.5563095","127.9310118,37.3690241","127.1193784,37.4110679","127.9310118,37.3690241","127.1037175,37.6146208","127.048555,37.5027553","127.077565,37.6312346","128.9732763,35.209529","127.1037175,37.6146208","126.9584173,37.5048849","128.1618381,35.158344","127.0382927,37.2868228","127.1193784,37.4110679","127.0524868,37.5954995","127.1057038,37.6433595","127.1382206,37.434204","127.1057038,37.6433595","127.1382206,37.434204","127.0119739,37.2966658","127.1382206,37.434204","126.9514265,37.4643411","127.0734419,37.5294108","127.077565,37.6312346","127.0734419,37.5294108","127.1193784,37.4110679","127.0382927,37.2868228","127.1057038,37.6433595"
"126.9691298,37.5557779","128.5829888,35.8476056","129.1380748,35.1684245","127.0488228,37.6773046","127.4724422,36.6398815","128.9732771,35.2094496","127.079957,37.5527116","127.0775197,37.6312291","126.9513469,37.4643948","128.5893853,35.8809814","127.073571,37.5293995","126.9513469,37.4643948","127.1381494,37.4344408","127.0131745,37.6344504","127.0122958,37.566654","127.0775197,37.6312291","127.7225644,37.8791471","126.9704507,37.5178964","127.0524746,37.595458","127.9310247,37.3689249","127.0099785,37.2957201","127.0126848,37.2970041","129.1725133,37.4563542","128.5893853,35.8809814","127.0126848,37.2970041","127.1057685,37.6433381","128.5829888,35.8476056","127.1338748,35.8464908","127.0310347,37.292564","128.7261965,36.560018","127.0740425,37.5095668","127.0122518,37.5054457","127.0479329,37.556927","126.9704507,37.5178964","127.1217486,37.4116172","127.2564885,37.4100975","127.0524746,37.595458","128.9732771,35.2094496","127.9310247,37.3689249","127.1057685,37.6433381","127.0122958,37.566654","127.0931439,37.4996246","128.5805367,35.2222328","127.9310247,37.3689249","127.1193261,37.4111191","126.9513469,37.4643948","126.9513469,37.4643948","126.9513469,37.4643948","127.0485165,37.5027659","127.0479329,37.556927","127.0485165,37.5027659","127.1381494,37.4344408","127.0601727,37.5036058","127.1495374,37.5562772","127.7225644,37.8791471","127.0488228,37.6773046","127.7225644,37.8791471","127.2085173,37.5439421","127.073571,37.5293995","127.7225644,37.8791471","127.1381494,37.4344408","127.1318874,35.8454497","127.1035507,37.6146572","127.1217486,37.4116172","127.1057685,37.6433381","127.1495374,37.5562772","127.9310247,37.3689249","127.1193261,37.4111191","127.9310247,37.3689249","127.1035507,37.6146572","127.0485165,37.5027659","127.0775197,37.6312291","128.9732771,35.2094496","127.1035507,37.6146572","126.9584742,37.504841","128.161931,35.1586997","127.0382439,37.2868703","127.1193261,37.4111191","127.0524746,37.595458","127.1057685,37.6433381","127.1381494,37.4344408","127.1057685,37.6433381","127.1381494,37.4344408","127.0126848,37.2970041","127.1381494,37.4344408","126.9513469,37.4643948","127.073571,37.5293995","127.0775197,37.6312291","127.073571,37.5293995","127.1193261,37.4111191","127.0382439,37.2868703","127.1057685,37.6433381"
"126.9691649,37.556427","128.5827609,35.8476158","129.1379587,35.1683296","127.0488991,37.6772661","127.4724993,36.6397075","128.9732782,35.2090826","127.0797833,37.5527975","127.0774677,37.6312118","126.9513123,37.4644829","128.5892567,35.8805651","127.0740153,37.5292893","126.9513123,37.4644829","127.1381093,37.4345435","127.0132123,37.6343865","127.0123913,37.5667608","127.0774677,37.6312118","127.7224093,37.8789816","126.9704099,37.5179079","127.0524874,37.5953995","127.9310998,37.3688165","127.0097378,37.2956055","127.0129525,37.2971304","129.1724598,37.4562873","128.5892567,35.8805651","127.0129525,37.2971304","127.1058468,37.643332","128.5827609,35.8476158","127.133862,35.846864","127.0310495,37.2925361","128.7259558,36.5599907","127.0740262,37.5096443","127.0121839,37.5054526","127.0480754,37.5569492","126.9704099,37.5179079","127.1215458,37.4119455","127.256562,37.4100814","127.0524874,37.5953995","128.9732782,35.2090826","127.9310998,37.3688165","127.1058468,37.643332","127.0123913,37.5667608","127.0930941,37.499637","128.5806666,35.2226654","127.9310998,37.3688165","127.1193089,37.411174","126.9513123,37.4644829","126.9513123,37.4644829","126.9513123,37.4644829","127.0482626,37.5028335","127.0480754,37.5569492","127.0482626,37.5028335","127.1381093,37.4345435","127.0600496,37.5035666","127.1492951,37.5562765","127.7224093,37.8789816","127.0488991,37.6772661","127.7224093,37.8789816","127.2083493,37.5440624","127.0740153,37.5292893","127.7224093,37.8789816","127.1381093,37.4345435","127.131885,35.8452585","127.1033794,37.6146954","127.1215458,37.4119455","127.1058468,37.643332","127.1492951,37.5562765","127.9310998,37.3688165","127.1193089,37.411174","127.9310998,37.3688165","127.1033794,37.6146954","127.0482626,37.5028335","127.0774677,37.6312118","128.9732782,35.2090826","127.1033794,37.6146954","126.9586282,37.5051319","128.1620604,35.1586836","127.0382116,37.2869748","127.1193089,37.411174","127.0524874,37.5953995","127.1058468,37.643332","127.1381093,37.4345435","127.1058468,37.643332","127.1381093,37.4345435","127.0129525,37.2971304","127.1381093,37.4345435","126.9513123,37.4644829","127.0740153,37.5292893","127.0774677,37.6312118","127.0740153,37.5292893","127.1193089,37.411174","127.0382116,37.2869748","127.1058468,37.643332"
"126.9691764,37.5567146","128.5823315,35.847635","129.1378051,35.1682289","127.0490498,37.6776497","127.472562,36.6395993","128.9732869,35.2087165","127.0799978,37.5529046","127.0774339,37.631172","126.9513535,37.4648815","128.5892232,35.8804654","127.0740323,37.5292849","126.9513535,37.4648815","127.1380979,37.4345759","127.0132299,37.6343064","127.012481,37.5668937","127.0774339,37.631172","127.7223865,37.8789573","126.9703941,37.5179061","127.0525249,37.5953663","127.9311749,37.3687162","127.0095364,37.2955164","127.0130616,37.2971832","129.1724017,37.4562152","128.5892232,35.8804654","127.0130616,37.2971832","127.1059396,37.6431476","128.5823315,35.847635","127.1338498,35.8471065","127.0310998,37.2924408","128.7259469,36.5599899","127.0740262,37.5096515","127.0120458,37.5054674","127.0481365,37.5569584","126.9703941,37.5179061","127.1211664,37.4125555","127.2568324,37.4103227","127.0525249,37.5953663","128.9732869,35.2087165","127.9311749,37.3687162","127.1059396,37.6431476","127.012481,37.5668937","127.092863,37.4996876","128.5808316,35.2226846","127.9311749,37.3687162","127.1193064,37.4112218","126.9513535,37.4648815","126.9513535,37.4648815","126.9513535,37.4648815","127.0477731,37.5029515","127.0481365,37.5569584","127.0477731,37.5029515","127.1380979,37.4345759","127.0596995,37.5034499","127.1492725,37.5562773","127.7223865,37.8789573","127.0490498,37.6776497","127.7223865,37.8789573","127.2082539,37.5441307","127.0740323,37.5292849","127.7223865,37.8789573","127.1380979,37.4345759","127.1317868,35.844701","127.1032218,37.61473","127.1211664,37.4125555","127.1059396,37.6431476","127.1492725,37.5562773","127.9311749,37.3687162","127.1193064,37.4112218","127.9311749,37.3687162","127.1032218,37.61473","127.0477731,37.5029515","127.0774339,37.631172","128.9732869,35.2087165","127.1032218,37.61473","126.9586349,37.5051445","128.1628235,35.1585523","127.0384614,37.287266","127.1193064,37.4112218","127.0525249,37.5953663","127.1059396,37.6431476","127.1380979,37.4345759","127.1059396,37.6431476","127.1380979,37.4345759","127.0130616,37.2971832","127.1380979,37.4345759","126.9513535,37.4648815","127.0740323,37.5292849","127.0774339,37.631172","127.0740323,37.5292849","127.1193064,37.4112218","127.0384614,37.287266","127.1059396,37.6431476"
