0,1,2,3,4,5,6,7,8,9,10,11,12
"127.1320036,35.8464247","129.347956,35.5637041","127.9349995,37.3719471","127.9349995,37.3719471","127.9349995,37.3719471","127.9349995,37.3719471","127.9349995,37.3719471","127.9349995,37.3719471","127.9349995,37.3719471","127.9349995,37.3719471","127.9349995,37.3719471","127.9349995,37.3719471","127.9349995,37.3719471"
"127.1322871,35.8464247","129.349162,35.5637081","127.9351684,37.3716671","127.9351684,37.3716671","127.9351684,37.3716671","127.9351684,37.3716671","127.9351684,37.3716671","127.9351684,37.3716671","127.9351684,37.3716671","127.9351684,37.3716671","127.9351684,37.3716671","127.9351684,37.3716671","127.9351684,37.3716671"
"127.1323747,35.8463997","129.3492745,35.5637082","127.9353096,37.3714746","127.9353096,37.3714746","127.9353096,37.3714746","127.9353096,37.3714746","127.9353096,37.3714746","127.9353096,37.3714746","127.9353096,37.3714746","127.9353096,37.3714746","127.9353096,37.3714746","127.9353096,37.3714746","127.9353096,37.3714746"
"127.1324991,35.8463162","129.3492747,35.5637163","127.9353623,37.3714131","127.9353623,37.3714131","127.9353623,37.3714131","127.9353623,37.3714131","127.9353623,37.3714131","127.9353623,37.3714131","127.9353623,37.3714131","127.9353623,37.3714131","127.9353623,37.3714131","127.9353623,37.3714131","127.9353623,37.3714131"
"127.1323622,35.8462247","129.3492746,35.5638578","127.9355248,37.3713746","127.9355248,37.3713746","127.9355248,37.3713746","127.9355248,37.3713746","127.9355248,37.3713746","127.9355248,37.3713746","127.9355248,37.3713746","127.9355248,37.3713746","127.9355248,37.3713746","127.9355248,37.3713746","127.9355248,37.3713746"
"127.1320372,35.8458658","129.3494115,35.5638584","127.935636,37.3712751","127.935636,37.3712751","127.935636,37.3712751","127.935636,37.3712751","127.935636,37.3712751","127.935636,37.3712751","127.935636,37.3712751","127.935636,37.3712751","127.935636,37.3712751","127.935636,37.3712751","127.935636,37.3712751"
"127.131912,35.8456328","129.3494556,35.5638587","127.9356371,37.3712742","127.9356371,37.3712742","127.9356371,37.3712742","127.9356371,37.3712742","127.9356371,37.3712742","127.9356371,37.3712742","127.9356371,37.3712742","127.9356371,37.3712742","127.9356371,37.3712742","127.9356371,37.3712742","127.9356371,37.3712742"
"127.1318874,35.8454497","129.3496024,35.56386","127.9357357,37.3711314","127.9357357,37.3711314","127.9357357,37.3711314","127.9357357,37.3711314","127.9357357,37.3711314","127.9357357,37.3711314","127.9357357,37.3711314","127.9357357,37.3711314","127.9357357,37.3711314","127.9357357,37.3711314","127.9357357,37.3711314"
"127.131885,35.8452585","129.3502567,35.5638635","127.9358219,37.3709968","127.9358219,37.3709968","127.9358219,37.3709968","127.9358219,37.3709968","127.9358219,37.3709968","127.9358219,37.3709968","127.9358219,37.3709968","127.9358219,37.3709968","127.9358219,37.3709968","127.9358219,37.3709968","127.9358219,37.3709968"
"127.1317868,35.844701","129.3503351,35.5638641","127.935935,37.3710279","127.935935,37.3710279","127.935935,37.3710279","127.935935,37.3710279","127.935935,37.3710279","127.935935,37.3710279","127.935935,37.3710279","127.935935,37.3710279","127.935935,37.3710279","127.935935,37.3710279","127.935935,37.3710279"
