0,1,2,3,4
"129.350536,35.5610402","127.5188741,34.9375692","128.5606804,35.8522764","129.350536,35.5610402","128.5606804,35.8522764"
"129.3505364,35.5611547","127.5188861,34.9374384","128.561509,35.8527118","129.3505364,35.5611547","128.561509,35.8527118"
"129.3507174,35.5611537","127.5193481,34.9371236","128.5616272,35.8527756","129.3507174,35.5611537","128.5616272,35.8527756"
"129.3507362,35.5607279","127.5197566,34.9372056","128.5615727,35.852841","129.3507362,35.5607279","128.5615727,35.852841"
"129.3517305,35.5607361","127.5198935,34.9372552","128.5613632,35.8530728","129.3517305,35.5607361","128.5613632,35.8530728"
"129.3519523,35.5607408","127.5201191,34.9373886","128.5612902,35.8531609","129.3519523,35.5607408","128.5612902,35.8531609"
"129.3520075,35.5607408","127.5202812,34.9375392","128.5611648,35.8533107","129.3520075,35.5607408","128.5611648,35.8533107"
"129.3522767,35.5607403","127.520394,34.937697","128.5600181,35.8546002","129.3522767,35.5607403","128.5600181,35.8546002"
"129.3523407,35.5607402","127.5204379,34.9377889","128.5597267,35.8549273","129.3523407,35.5607402","128.5597267,35.8549273"
"129.3528283,35.5607408","127.5204685,34.9378557","128.5596405,35.8550255","129.3528283,35.5607408","128.5596405,35.8550255"
"129.3528824,35.5607409","127.5205442,34.938064","128.5596122,35.8550573","129.3528824,35.5607409","128.5596122,35.8550573"
"129.3540552,35.5607436","127.5205683,34.9382091","128.5594769,35.8552135","129.3540552,35.5607436","128.5594769,35.8552135"
"129.3540784,35.5607432","127.5205716,34.9383182","128.5592489,35.8554707","129.3540784,35.5607432","128.5592489,35.8554707"
"129.3542492,35.560737","127.5205596,34.9385689","128.5590077,35.8557388","129.3542492,35.560737","128.5590077,35.8557388"
"129.3543749,35.5607333","127.5204721,34.9388683","128.5588866,35.8558742","129.3543749,35.5607333","128.5588866,35.8558742"
"129.3546142,35.5607269","127.5203593,34.9390433","128.5588246,35.8559577","129.3546142,35.5607269","128.5588246,35.8559577"
"129.3546969,35.5607247","127.5202345,34.9391849","128.5585191,35.8563102","129.3546969,35.5607247","128.5585191,35.8563102"
"129.3549396,35.5607264","127.5201798,34.93923","128.5584624,35.8563729","129.3549396,35.5607264","128.5584624,35.8563729"
"129.3551668,35.560722","127.5201218,34.9392769","128.5584046,35.8564401","129.3551668,35.560722","128.5584046,35.8564401"
"129.3551988,35.5607215","127.5201119,34.9392814","128.5581551,35.8567497","129.3551988,35.5607215","128.5581551,35.8567497"
"129.3554039,35.5607183","127.5210581,34.9394255","128.5580614,35.8568641","129.3554039,35.5607183","128.5580614,35.8568641"
"129.3556302,35.5607212","127.521714,34.9393965","128.5579993,35.8569413","129.3556302,35.5607212","128.5579993,35.8569413"
"129.3564248,35.5607333","127.521725,34.9395661","128.5579373,35.8570248","129.3564248,35.5607333","128.5579373,35.8570248"
"129.3570425,35.560776","127.5217909,34.9400846","128.5576245,35.857491","129.3570425,35.560776","128.5576245,35.857491"
"129.3571773,35.5607848","127.5218666,34.9408267","128.5574621,35.8577728","129.3571773,35.5607848","128.5574621,35.8577728"
"129.3573663,35.5607981","127.5218721,34.9408997","128.5574372,35.8578163","129.3573663,35.5607981","128.5574372,35.8578163"
"129.3574061,35.5608011","127.521904,34.9413461","128.5573823,35.857934","129.3574061,35.5608011","128.5573823,35.857934"
"129.3577071,35.5608415","127.5219447,34.9421658","128.5573748,35.8579494","129.3577071,35.5608415","128.5573748,35.8579494"
"129.357831,35.5608558","127.5219579,34.9423254","128.5572045,35.8578905","129.357831,35.5608558","128.5572045,35.8578905"
"129.3582867,35.5609083","127.5219678,34.9424994","128.5571878,35.8578852","129.3582867,35.5609083","128.5571878,35.8578852"
"129.35898,35.5610689","127.5222394,34.9424976","128.5570299,35.8578307","129.35898,35.5610689","128.5570299,35.8578307"
"129.3591608,35.5611112","127.5224026,34.9424966","128.5565879,35.8576606","129.3591608,35.5611112","128.5565879,35.8576606"
"129.3598241,35.5612659","127.5225526,34.9424975","128.5564321,35.8576033","129.3598241,35.5612659","128.5564321,35.8576033"
"129.3604824,35.5614397","127.5228516,34.9425011","128.556244,35.8575302","129.3604824,35.5614397","128.556244,35.8575302"
"129.3608562,35.5615268","127.5230257,34.9425019","128.5554959,35.8572383","129.3608562,35.5615268","128.5554959,35.8572383"
"129.3610377,35.561551","127.5234999,34.9425064","128.5549527,35.857033","129.3610377,35.561551","128.5549527,35.857033"
"129.361263,35.5615629","127.524423,34.9425107","128.5546967,35.856937","129.361263,35.5615629","128.5546967,35.856937"
"129.3613293,35.5615663","127.5245873,34.9425106","128.5545119,35.8568665","129.3613293,35.5615663","128.5545119,35.8568665"
"129.3616019,35.561572","127.5245992,34.9420498","128.5544273,35.8568348","129.3616019,35.561572","128.5544273,35.8568348"
"129.361678,35.5615709","127.5246374,34.9416747","128.55405,35.8566939","129.361678,35.5615709","128.55405,35.8566939"
"129.3623788,35.561579","127.5246472,34.9414403","128.5538864,35.8566331","129.3623788,35.561579","128.5538864,35.8566331"
"129.3624538,35.5615778","127.5246494,34.9413492","128.553016,35.8563044","129.3624538,35.5615778","128.553016,35.8563044"
"129.3626478,35.5615694","127.5237207,34.9412673","128.552356,35.8560551","129.3626478,35.5615694","128.552356,35.8560551"
"129.3641858,35.5613816","127.5229804,34.9412792","128.5520087,35.8559175","129.3641858,35.5613816","128.5520087,35.8559175"
"129.3644068,35.5613475","127.5226848,34.9412927","128.5519084,35.855876","129.3644068,35.5613475","128.5519084,35.855876"
"129.3649962,35.5612644","127.5226991,34.9415065","128.5518661,35.8558583","129.3649962,35.5612644","128.5518661,35.8558583"
"129.3653371,35.5612159","127.5227101,34.9419474","128.5517559,35.8558133","129.3653371,35.5612159","128.5517559,35.8558133"
"129.3655241,35.5611941","127.5227058,34.942282","128.5504321,35.8552848","129.3655241,35.5611941","128.5504321,35.8552848"
"129.3663942,35.5610823","127.5227048,34.9423325","128.5503999,35.8552716","129.3663942,35.5610823","128.5503999,35.8552716"
"129.3665691,35.561058","127.5226896,34.943089","128.5503242,35.8552416","129.3665691,35.561058","128.5503242,35.8552416"
"129.3677049,35.5609385","127.5226919,34.9431666","128.5485867,35.8545833","129.3677049,35.5609385","128.5485867,35.8545833"
"129.3679019,35.5609183","127.5226451,34.9444354","128.5483697,35.8545014","129.3679019,35.5609183","128.5483697,35.8545014"
"129.3690767,35.5607676","127.5226397,34.9448222","128.5482195,35.854445","129.3690767,35.5607676","128.5482195,35.854445"
"129.3695947,35.5606983","127.5226409,34.9449981","128.5481872,35.8544335","129.3695947,35.5606983","128.5481872,35.8544335"
"129.3704614,35.5605821","127.5226367,34.9457492","128.5481627,35.8544238","129.3704614,35.5605821","128.5481627,35.8544238"
"129.3710212,35.5605076","127.5226302,34.9460017","128.5480993,35.8543991","129.3710212,35.5605076","128.5480993,35.8543991"
"129.3710872,35.5605011","127.5226053,34.9468908","128.5477843,35.8542838","129.3710872,35.5605011","128.5477843,35.8542838"
"129.3714999,35.5604569","127.5225977,34.9471587","128.547633,35.8542256","129.3714999,35.5604569","128.547633,35.8542256"
"129.3715615,35.5604496","127.5225912,34.9473913","128.5472367,35.8540749","129.3715615,35.5604496","128.5472367,35.8540749"
"129.3719609,35.5604028","127.5225749,34.9478215","128.546628,35.8538521","129.3719609,35.5604028","128.546628,35.8538521"
"129.3721798,35.5603751","127.5225749,34.9479775","128.5458246,35.853558","129.3721798,35.5603751","128.5458246,35.853558"
"129.3723108,35.5603604","127.5225749,34.948","128.545809,35.8535518","129.3723108,35.5603604","128.545809,35.8535518"
"129.3724493,35.5603411","127.5225749,34.9480496","128.5456821,35.8535024","129.3724493,35.5603411","128.5456821,35.8535024"
"129.3726496,35.5603164","127.5225684,34.9482759","128.5447549,35.8531399","129.3726496,35.5603164","128.5447549,35.8531399"
"129.3732365,35.5601748","127.5225684,34.9482994","128.5446658,35.8531046","129.3732365,35.5601748","128.5446658,35.8531046"
"129.374379,35.5598694","127.5225435,34.9492165","128.5443742,35.8529909","129.374379,35.5598694","128.5443742,35.8529909"
"129.3744601,35.5598474","127.5225381,34.9494455","128.5439244,35.8528081","129.3744601,35.5598474","128.5439244,35.8528081"
"129.3746114,35.5598081","127.522524,34.9499577","128.5438086,35.8527614","129.3746114,35.5598081","128.5438086,35.8527614"
"129.3747453,35.5597745","127.5224496,34.9504916","128.5428868,35.8523916","129.3747453,35.5597745","128.5428868,35.8523916"
"129.3749328,35.5597247","127.5223249,34.9508748","128.5421889,35.8521227","129.3749328,35.5597247","128.5421889,35.8521227"
"129.3749997,35.5597083","127.5220535,34.9515755","128.54151,35.8518608","129.3749997,35.5597083","128.54151,35.8518608"
"129.3755491,35.5595663","127.5220261,34.951663","128.5413397,35.8517974","129.3755491,35.5595663","128.5413397,35.8517974"
"129.3760873,35.5594164","127.5219889,34.9517812","128.5411249,35.8517163","129.3760873,35.5594164","128.5411249,35.8517163"
"129.3761684,35.5593953","127.5219714,34.9518353","128.5410392,35.8516837","129.3761684,35.5593953","128.5410392,35.8516837"
"129.3768291,35.5592002","127.5219681,34.9518452","128.540525,35.8514826","129.3768291,35.5592002","128.540525,35.8514826"
"129.377046,35.5591319","127.5219407,34.95192","128.5396156,35.8511289","129.377046,35.5591319","128.5396156,35.8511289"
"129.3770423,35.5593988","127.5219397,34.9519218","128.5394119,35.8510495","129.3770423,35.5593988","128.5394119,35.8510495"
"129.3770771,35.5595182","127.521249,34.9537994","128.5381122,35.8505658","129.3770771,35.5595182","128.5381122,35.8505658"
"129.377119,35.5596609","127.5212272,34.9538851","128.5377218,35.8504421","129.377119,35.5596609","128.5377218,35.8504421"
"129.3771112,35.5597043","127.5211374,34.9542332","128.5373468,35.8503029","129.3771112,35.5597043","128.5373468,35.8503029"
"129.3770975,35.5597784","127.5210795,34.9547769","128.5373301,35.8502958","129.3770975,35.5597784","128.5373301,35.8502958"
"129.3770554,35.560009","127.5210784,34.9548049","128.5373057,35.850287","129.3770554,35.560009","128.5373057,35.850287"
"129.3768296,35.5608274","127.5210741,34.9548996","128.5372356,35.8502605","129.3768296,35.5608274","128.5372356,35.8502605"
"129.3767553,35.5610945","127.5211546,34.9571774","128.5368055,35.850147","129.3767553,35.5610945","128.5368055,35.850147"
"129.37668,35.561368","127.5211579,34.9572748","128.5367234,35.8501369","129.37668,35.561368","128.5367234,35.8501369"
"129.376458,35.5621602","127.5211679,34.9577383","128.5367035,35.8501344","129.376458,35.5621602","128.5367035,35.8501344"
"129.3762855,35.5628571","127.5211746,34.9579998","128.5364506,35.8501059","129.3762855,35.5628571","128.5364506,35.8501059"
"129.3763093,35.5629784","127.5211834,34.9581792","128.5359827,35.8500631","129.3763093,35.5629784","128.5359827,35.8500631"
"129.3762173,35.5633846","127.5211856,34.9582108","128.5350991,35.8499833","129.3762173,35.5633846","128.5350991,35.8499833"
"129.3761893,35.5635104","127.52119,34.9582946","128.5346002,35.8499416","129.3761893,35.5635104","128.5346002,35.8499416"
"129.376201,35.5636301","127.5212076,34.9586039","128.5343996,35.8499244","129.376201,35.5636301","128.5343996,35.8499244"
"129.3762502,35.5637555","127.5212109,34.958677","128.5334118,35.8498409","129.3762502,35.5637555","128.5334118,35.8498409"
"129.3763098,35.5638484","127.5212186,34.9588663","128.5324977,35.849718","129.3763098,35.5638484","128.5324977,35.849718"
"129.3764208,35.5639719","127.5212219,34.9589105","128.5322249,35.8496816","129.3764208,35.5639719","128.5322249,35.8496816"
"129.3765205,35.5640371","127.5212362,34.9592027","128.5321117,35.8496664","129.3765205,35.5640371","128.5321117,35.8496664"
"129.376649,35.5641063","127.5212516,34.9593848","128.5310708,35.8495004","129.376649,35.5641063","128.5310708,35.8495004"
"129.376875,35.5641479","127.5213066,34.9602857","128.5309421,35.8494808","129.376875,35.5641479","128.5309421,35.8494808"
"129.3770447,35.5641858","127.5213242,34.9605742","128.5307291,35.8494501","129.3770447,35.5641858","128.5307291,35.8494501"
"129.3771784,35.5642396","127.5213429,34.9608619","128.5307136,35.8494476","129.3771784,35.5642396","128.5307136,35.8494476"
"129.3773413,35.56432","127.5214627,34.962669","128.530677,35.8494425","129.3773413,35.56432","128.530677,35.8494425"
"129.377463,35.5643803","127.5214759,34.962889","128.5306115,35.8494331","129.377463,35.5643803","128.5306115,35.8494331"
"129.3774832,35.5643944","127.5214814,34.9629819","128.5303319,35.8493895","129.3774832,35.5643944","128.5303319,35.8493895"
"129.3775359,35.5644306","127.5214859,34.9630667","128.5302808,35.8493818","129.3775359,35.5644306","128.5302808,35.8493818"
"129.3775999,35.5644773","127.5215124,34.9640099","128.5300978,35.8493537","129.3775999,35.5644773","128.5300978,35.8493537"
"129.3776865,35.5645499","127.5215223,34.9643661","128.5294742,35.8492589","129.3776865,35.5645499","128.5294742,35.8492589"
"129.3778663,35.5647382","127.5215234,34.9643868","128.52853,35.8491165","129.3778663,35.5647382","128.52853,35.8491165"
"129.3779896,35.564913","127.5215245,34.9644445","128.527922,35.8490279","129.3779896,35.564913","128.527922,35.8490279"
"129.3782845,35.5654484","127.5215399,34.9646799","128.5271453,35.848911","129.3782845,35.5654484","128.5271453,35.848911"
"129.3784738,35.5658079","127.5215817,34.9650117","128.5262944,35.8487867","129.3784738,35.5658079","128.5262944,35.8487867"
"129.3785512,35.5659545","127.5216454,34.9658485","128.525914,35.8487484","129.3785512,35.5659545","128.525914,35.8487484"
"129.3786147,35.5660743","127.5216773,34.9664824","128.525717,35.8487537","129.3786147,35.5660743","128.525717,35.8487537"
"129.3787186,35.5662719","127.5216829,34.9666655","128.5256407,35.8487607","129.3787186,35.5662719","128.5256407,35.8487607"
"129.3791465,35.5670658","127.521684,34.9666709","128.5254593,35.8487776","129.3791465,35.5670658","128.5254593,35.8487776"
"129.3792132,35.5671828","127.521695,34.9668386","128.5252962,35.8488421","129.3792132,35.5671828","128.5252962,35.8488421"
"129.3792373,35.5672248","127.521717,34.967147","128.5251902,35.8488673","129.3792373,35.5672248","128.5251902,35.8488673"
"129.3794372,35.5676076","127.5217368,34.967441","128.5249617,35.8489216","129.3794372,35.5676076","128.5249617,35.8489216"
"129.3796623,35.5680827","127.5217741,34.967891","128.5247454,35.8489793","129.3796623,35.5680827","128.5247454,35.8489793"
"129.3797491,35.5683491","127.5217807,34.9679649","128.5246627,35.8490071","129.3797491,35.5683491","128.5246627,35.8490071"
"129.3797623,35.5685833","127.5217807,34.9679667","128.5244215,35.8491119","129.3797623,35.5685833","128.5244215,35.8491119"
"129.3797249,35.5688246","127.5217862,34.9680163","128.5243194,35.8491732","129.3797249,35.5688246","128.5243194,35.8491732"
"129.3796601,35.5690285","127.5218027,34.9682084","128.5242515,35.8492359","129.3796601,35.5690285","128.5242515,35.8492359"
"129.3796221,35.5691471","127.5218071,34.9682688","128.52422,35.8492849","129.3796221,35.5691471","128.52422,35.8492849"
"129.3794484,35.5695519","127.5218126,34.9683355","128.5242113,35.8492985","129.3794484,35.5695519","128.5242113,35.8492985"
"129.3793201,35.5698704","127.5218664,34.9689478","128.5241638,35.8493936","129.3793201,35.5698704","128.5241638,35.8493936"
"129.3792659,35.5700055","127.5219082,34.9694347","128.5241592,35.8494666","129.3792659,35.5700055","128.5241592,35.8494666"
"129.3790938,35.5704328","127.5219565,34.9699613","128.5241688,35.8495252","129.3790938,35.5704328","128.5241688,35.8495252"
"129.3789994,35.5705497","127.5219686,34.9701083","128.5241998,35.8496087","129.3789994,35.5705497","128.5241998,35.8496087"
"129.3787773,35.5707713","127.5219763,34.970194","128.524237,35.8496598","129.3787773,35.5707713","128.524237,35.8496598"
"129.3785485,35.5709407","127.5220796,34.9713455","128.5242941,35.8497062","129.3785485,35.5709407","128.5242941,35.8497062"
"129.3783121,35.5710706","127.5221202,34.9718054","128.5243788,35.8497452","129.3783121,35.5710706","128.5243788,35.8497452"
"129.3776564,35.571345","127.5221246,34.9718568","128.524462,35.8497589","129.3776564,35.571345","128.524462,35.8497589"
"129.3775603,35.571388","127.5221499,34.9721327","128.5245418,35.8497672","129.3775603,35.571388","128.5245418,35.8497672"
"129.3771667,35.5715906","127.5222071,34.9729813","128.5246392,35.8497637","129.3771667,35.5715906","128.5246392,35.8497637"
"129.3770225,35.5717011","127.5222674,34.9733528","128.524732,35.8497476","129.3770225,35.5717011","128.524732,35.8497476"
"129.376853,35.5718578","127.5223771,34.9739019","128.5248234,35.8497071","129.376853,35.5718578","128.5248234,35.8497071"
"129.376784,35.5719292","127.5225242,34.974791","128.5249158,35.8496558","129.376784,35.5719292","128.5249158,35.8496558"
"129.3766392,35.5721073","127.5226493,34.975516","128.5250583,35.8495428","129.3766392,35.5721073","128.5250583,35.8495428"
"129.3765413,35.5722621","127.5228401,34.9762824","128.5250814,35.8494471","129.3765413,35.5722621","128.5250814,35.8494471"
"129.3764663,35.5724048","127.5228961,34.9764925","128.5250909,35.8493235","129.3764663,35.5724048","128.5250909,35.8493235"
"129.3763863,35.572617","127.5229092,34.9765403","128.5250548,35.8491858","129.3763863,35.572617","128.5250548,35.8491858"
