0,1,2,3
"127.1683094,36.8371271","128.8011363,35.9070913","126.7331755,37.4341334","128.5646434,35.855231"
"127.1682824,36.8371396","128.8006792,35.907053","126.7331185,37.4341763","128.5651939,35.8554019"
"127.1682397,36.8371602","128.8005183,35.9070394","126.7331151,37.4341781","128.5654608,35.8554843"
"127.1680845,36.8372571","128.8005492,35.9067605","126.7330245,37.4341973","128.5650176,35.8562924"
"127.1679013,36.8373675","128.8005676,35.906598","126.7329512,37.434186","128.5649711,35.8563776"
"127.16778,36.837405","128.8006011,35.9064822","126.7329099,37.4341317","128.564864,35.8565705"
"127.1676297,36.8373983","128.8006242,35.9064027","126.7329037,37.4340703","128.5648262,35.8566403"
"127.1674637,36.837396","128.8006617,35.9063265","126.7329178,37.4340253","128.5649453,35.8566843"
"127.1672934,36.8373649","128.8007029,35.906272","126.7329521,37.4339859","128.5650109,35.8567063"
"127.1670808,36.8372561","128.800799,35.9061799","126.7330269,37.4339666","128.5651923,35.8567687"
"127.1669546,36.8371233","128.8008987,35.906113","126.7331287,37.4339546","128.5653347,35.8568188"
"127.1669011,36.837051","128.8010473,35.9060546","126.7331933,37.4339442","128.5656696,35.8569339"
"127.1668489,36.8369409","128.8013368,35.9057999","126.7333329,37.433882","128.5656818,35.8569383"
"127.1668429,36.8367777","128.8013445,35.905661","126.7333828,37.4338697","128.5657375,35.8569577"
"127.1668849,36.8366597","128.8013619,35.905366","126.7335255,37.4338418","128.5656755,35.857043"
"127.1669571,36.8365481","128.8013497,35.9052327","126.7335708,37.4338358","128.5655743,35.8571827"
"127.1670822,36.8364151","128.8013243,35.9050996","126.7336126,37.4338334","128.565474,35.8573829"
"127.1672195,36.8363064","128.8012615,35.9049912","126.733798,37.4338337","128.5654624,35.8574253"
"127.1674072,36.8362069","128.801174,35.9048578","126.7338579,37.4338367","128.5654539,35.8574543"
"127.1676365,36.8360894","128.8005678,35.904309","126.7339425,37.4338463","128.5654307,35.8575401"
"127.1689387,36.8355359","128.8004092,35.9041656","126.7340959,37.4338825","128.565399,35.8576495"
"127.1689132,36.8354646","128.8003176,35.904053","126.7341916,37.4339218","128.5653564,35.8577806"
"127.1688163,36.8353057","128.8002893,35.904019","126.7343232,37.4339858","128.5652614,35.8580492"
"127.1687203,36.8352099","128.8001911,35.9038425","126.7343949,37.4340448","128.5652123,35.8581831"
"127.1681731,36.8346603","128.800156,35.9037266","126.734405,37.4340557","128.5650999,35.8585582"
"127.167685,36.8342226","128.8001289,35.9036259","126.7344924,37.4341275","128.5650583,35.8586749"
"127.167609,36.8341593","128.8001309,35.9034789","126.7345436,37.4342098","128.5649623,35.8589498"
"127.167353,36.8339575","128.8001498,35.9032813","126.7345754,37.4343002","128.5648525,35.859269"
"127.166659,36.8334111","128.8001665,35.9032171","126.7346413,37.4344899","128.5647866,35.8594743"
"127.1665785,36.8333478","128.8001782,35.9031863","126.7346588,37.4345495","128.5646618,35.8599208"
"127.1665573,36.8333333","128.8002037,35.9031184","126.7346683,37.4347244","128.5646249,35.8600581"
"127.166127,36.8329868","128.8002452,35.9030143","126.7346434,37.4348405","128.5645993,35.8602161"
"127.1660577,36.8329353","128.8003814,35.9027387","126.7346002,37.4349746","128.5642992,35.8601358"
"127.1659605,36.8328611","128.8004286,35.9026427","126.7345667,37.4350419","128.563542,35.859909"
"127.1655078,36.8325154","128.8005005,35.9024994","126.7344321,37.4352772","128.5633997,35.8598661"
"127.1654172,36.8324566","128.8005829,35.9023886","126.7343447,37.4354173","128.5633418,35.8598495"
"127.1652461,36.8323425","128.8005991,35.9023659","126.7342822,37.4356765","128.563184,35.859804"
"127.1651712,36.8322963","128.800635,35.9023249","126.7342759,37.4360748","128.5628982,35.8597218"
"127.1649788,36.8321696","128.8009787,35.9019948","126.7340656,37.4360762","128.5621222,35.859497"
"127.1645324,36.8319312","128.8010647,35.9019028","126.7339017,37.4360769","128.5619865,35.8594576"
"127.1638399,36.8315705","128.8011453,35.9018163","126.7335196,37.4360771","128.5606375,35.8590331"
