0,1,2,3,4,5,6,7
"127.5188741,34.9375692","126.7331755,37.4341334","127.1308346,37.5200254","129.350536,35.5610402","128.5606804,35.8522764","128.5606804,35.8522764","129.350536,35.5610402","126.9159523,37.5156159"
"127.5188861,34.9374384","126.7331185,37.4341763","127.1308244,37.5200244","129.3505364,35.5611547","128.561509,35.8527118","128.561509,35.8527118","129.3505364,35.5611547","126.9159033,37.5156536"
"127.5193481,34.9371236","126.7331151,37.4341781","127.1306366,37.5200076","129.3507174,35.5611537","128.5616272,35.8527756","128.5616272,35.8527756","129.3507174,35.5611537","126.9157053,37.5158031"
"127.5197566,34.9372056","126.7330245,37.4341973","127.1305869,37.5199994","129.3507362,35.5607279","128.5615727,35.852841","128.5615727,35.852841","129.3507362,35.5607279","126.915653,37.5158317"
"127.5198935,34.9372552","126.7329512,37.434186","127.1305621,37.5199831","129.3517305,35.5607361","128.5613632,35.8530728","128.5613632,35.8530728","129.3517305,35.5607361","126.9156007,37.5158603"
"127.5201191,34.9373886","126.7329099,37.4341317","127.1305498,37.5199578","129.3519523,35.5607408","128.5612902,35.8531609","128.5612902,35.8531609","129.3519523,35.5607408","126.915201,37.5160485"
"127.5202812,34.9375392","126.7329037,37.4340703","127.13055,37.5199163","129.3520075,35.5607408","128.5611648,35.8533107","128.5611648,35.8533107","129.3520075,35.5607408","126.9150182,37.5161206"
"127.520394,34.937697","126.7329178,37.4340253","127.1305582,37.5198451","129.3522767,35.5607403","128.5600181,35.8546002","128.5600181,35.8546002","129.3522767,35.5607403","126.9149501,37.5161473"
"127.5204379,34.9377889","126.7329521,37.4339859","127.1305865,37.5196244","129.3523407,35.5607402","128.5597267,35.8549273","128.5597267,35.8549273","129.3523407,35.5607402","126.9148082,37.5162025"
"127.5204685,34.9378557","126.7330269,37.4339666","127.1304485,37.5196059","129.3528283,35.5607408","128.5596405,35.8550255","128.5596405,35.8550255","129.3528283,35.5607408","126.9146868,37.5162496"
"127.5205442,34.938064","126.7331287,37.4339546","127.1302122,37.5195745","129.3528824,35.5607409","128.5596122,35.8550573","128.5596122,35.8550573","129.3528824,35.5607409","126.9145993,37.5162916"
"127.5205683,34.9382091","126.7331933,37.4339442","127.1304948,37.5182468","129.3540552,35.5607436","128.5594769,35.8552135","128.5594769,35.8552135","129.3540552,35.5607436","126.9145495,37.5162994"
"127.5205716,34.9383182","126.7333329,37.433882","127.1305365,37.5180496","129.3540784,35.5607432","128.5592489,35.8554707","128.5592489,35.8554707","129.3540784,35.5607432","126.9144996,37.5163082"
"127.5205596,34.9385689","126.7333828,37.4338697","127.1306117,37.5179497","129.3542492,35.560737","128.5590077,35.8557388","128.5590077,35.8557388","129.3542492,35.560737","126.9144838,37.5163099"
"127.5204721,34.9388683","126.7335255,37.4338418","127.1306992,37.5178743","129.3543749,35.5607333","128.5588866,35.8558742","128.5588866,35.8558742","129.3543749,35.5607333","126.9143614,37.5163246"
"127.5203593,34.9390433","126.7335708,37.4338358","127.1308342,37.5178152","129.3546142,35.5607269","128.5588246,35.8559577","128.5588246,35.8559577","129.3546142,35.5607269","126.9142675,37.5163242"
"127.5202345,34.9391849","126.7336126,37.4338334","127.1311835,37.5176631","129.3546969,35.5607247","128.5585191,35.8563102","128.5585191,35.8563102","129.3546969,35.5607247","126.9142234,37.5163249"
"127.5201798,34.93923","126.733798,37.4338337","127.1314726,37.5175378","129.3549396,35.5607264","128.5584624,35.8563729","128.5584624,35.8563729","129.3549396,35.5607264","126.9141408,37.5163244"
"127.5201218,34.9392769","126.7338579,37.4338367","127.1315384,37.5175092","129.3551668,35.560722","128.5584046,35.8564401","128.5584046,35.8564401","129.3551668,35.560722","126.913971,37.5163245"
"127.5201119,34.9392814","126.7339425,37.4338463","127.1317573,37.5174134","129.3551988,35.5607215","128.5581551,35.8567497","128.5581551,35.8567497","129.3551988,35.5607215","126.9138522,37.5163212"
"127.5210581,34.9394255","126.7340959,37.4338825","127.1318629,37.5175616","129.3554039,35.5607183","128.5580614,35.8568641","128.5580614,35.8568641","129.3554039,35.5607183","126.9135106,37.5163087"
"127.521714,34.9393965","126.7341916,37.4339218","127.1325244,37.5185948","129.3556302,35.5607212","128.5579993,35.8569413","128.5579993,35.8569413","129.3556302,35.5607212","126.9132617,37.5162993"
"127.521725,34.9395661","126.7343232,37.4339858","127.1330196,37.5193679","129.3564248,35.5607333","128.5579373,35.8570248","128.5579373,35.8570248","129.3564248,35.5607333","126.9129868,37.5162908"
"127.5217909,34.9400846","126.7343949,37.4340448","127.1330309,37.5193859","129.3570425,35.560776","128.5576245,35.857491","128.5576245,35.857491","129.3570425,35.560776","126.9128963,37.5162939"
"127.5218666,34.9408267","126.734405,37.4340557","127.1331431,37.5195648","129.3571773,35.5607848","128.5574621,35.8577728","128.5574621,35.8577728","129.3571773,35.5607848","126.912568,37.5163058"
