0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"126.7204612,37.6176335","127.1467643,37.5573181","128.5879815,35.8822599","129.13722,35.1696018","128.4842003,35.8559052","127.164326,36.7859793","127.1683094,36.8371271","127.0469142,37.557618","128.5800484,35.2208757","126.8136189,37.3260753","126.8362526,37.5068025","126.8136189,37.3260753","126.957535,37.5048556","127.9349995,37.3719471","127.0729812,37.5294262","126.9388522,37.5666171","126.9388522,37.5666171","126.9388522,37.5666171","126.8362526,37.5068025","127.0469142,37.557618","126.957535,37.5048556","127.078355,37.631635","127.078355,37.631635","127.0729812,37.5294262","127.0729812,37.5294262","126.957535,37.5048556"
"126.7204582,37.617593","127.1466963,37.5573332","128.5880467,35.8822467","129.1375598,35.1691888","128.4841995,35.8553976","127.1641921,36.7863512","127.1682824,36.8371396","127.0470494,37.5571769","128.5800623,35.2209333","126.8124931,37.3261336","126.8358745,37.5068247","126.8124931,37.3261336","126.9577243,37.5051305","127.9351684,37.3716671","127.0730292,37.5295336","126.9386242,37.5666683","126.9386242,37.5666683","126.9390428,37.5665739","126.8358745,37.5068247","127.0470494,37.5571769","126.9577243,37.5051305","127.0782872,37.6315824","127.0782872,37.6315824","127.0730292,37.5295336","127.0730292,37.5295336","126.9577243,37.5051305"
"126.7205128,37.6175726","127.1467398,37.5577156","128.5891631,35.8819859","129.1377523,35.1688805","128.4842222,35.8552576","127.1642605,36.7863478","127.1682397,36.8371602","127.0471021,37.5570743","128.5800658,35.2209422","126.8121498,37.3261515","126.835649,37.5068658","126.8121498,37.3261515","126.9578484,37.5051743","127.9353096,37.3714746","127.0732866,37.5294499","126.9384249,37.5666746","126.9384249,37.5666746","126.9393989,37.5664935","126.835649,37.5068658","127.0471021,37.5570743","126.9578484,37.5051743","127.0781123,37.6314583","127.0781123,37.6314583","127.0732866,37.5294499","127.0732866,37.5294499","126.9578484,37.5051743"
"126.7206392,37.6175202","127.1467247,37.5577813","128.5894172,35.881934","129.1377753,35.1688207","128.4842579,35.8551906","127.1644735,36.7863367","127.1680845,36.8372571","127.0471428,37.5570772","128.5802119,35.2213575","126.8121216,37.3260233","126.835399,37.5068662","126.8121216,37.3260233","126.9580217,37.5051417","127.9353623,37.3714131","127.0732878,37.529449","126.9384,37.5666745","126.9384,37.5666745","126.9395921,37.5664124","126.835399,37.5068662","127.0471428,37.5570772","126.9580217,37.5051417","127.077699,37.6311937","127.077699,37.6311937","127.0732878,37.529449","127.0732878,37.529449","126.9580217,37.5051417"
"126.7210017,37.6182888","127.1462286,37.5578375","128.5896702,35.8818831","129.1377736,35.1687369","128.4843244,35.8551081","127.1646529,36.7863299","127.1679013,36.8373675","127.0472437,37.557065","128.580334,35.2216954","126.8121073,37.3258628","126.8351365,37.5068575","126.8121073,37.3258628","126.9582804,37.5050402","127.9355248,37.3713746","127.0733909,37.5294232","126.9383616,37.5666662","126.9383616,37.5666662","126.9396805,37.5664002","126.8351365,37.5068575","127.0472437,37.557065","126.9582804,37.5050402","127.0776512,37.6312178","127.0776512,37.6312178","127.0733909,37.5294232","127.0733909,37.5294232","126.9582804,37.5050402"
"126.7210249,37.6183385","127.1460847,37.5578533","128.5896169,35.8817086","129.1377591,35.1686722","128.4845744,35.8549077","127.1647404,36.7862986","127.16778,36.837405","127.0477199,37.5569478","128.5804617,35.2220496","126.8098558,37.3259506","126.83489,37.506848","126.8098558,37.3259506","126.9583774,37.5049324","127.935636,37.3712751","127.0734068,37.5294196","126.9383244,37.5666417","126.9383244,37.5666417","126.9397325,37.5665618","126.83489,37.506848","127.0477199,37.5569478","126.9583774,37.5049324","127.0776081,37.6312276","127.0776081,37.6312276","127.0734068,37.5294196","127.0734068,37.5294196","126.9583774,37.5049324"
"126.7212613,37.6182761","127.1459669,37.5578665","128.5894143,35.8810722","129.1379036,35.1685386","128.4847817,35.854741","127.1647888,36.7862654","127.1676297,36.8373983","127.0477947,37.5569292","128.5805173,35.2221852","126.8097993,37.3259548","126.834771,37.5068708","126.8097993,37.3259548","126.9584173,37.5048849","127.9356371,37.3712742","127.0734419,37.5294108","126.9382493,37.5665331","126.9382493,37.5665331","126.9397403,37.566579","126.834771,37.5068708","127.0477947,37.5569292","126.9584173,37.5048849","127.077565,37.6312346","127.077565,37.6312346","127.0734419,37.5294108","127.0734419,37.5294108","126.9584173,37.5048849"
"126.721292,37.6182681","127.1457947,37.5578858","128.5893853,35.8809814","129.1380748,35.1684245","128.4848563,35.8546809","127.1648758,36.7860989","127.1674637,36.837396","127.0479329,37.556927","128.5805367,35.2222328","126.8096469,37.3259647","126.8347289,37.5068976","126.8096469,37.3259647","126.9584742,37.504841","127.9357357,37.3711314","127.073571,37.5293995","126.9381618,37.5664246","126.9381618,37.5664246","126.9397983,37.5666973","126.8347289,37.5068976","127.0479329,37.556927","126.9584742,37.504841","127.0775197,37.6312291","127.0775197,37.6312291","127.073571,37.5293995","127.073571,37.5293995","126.9584742,37.504841"
"126.7214647,37.6182224","127.145354,37.5579358","128.5892567,35.8805651","129.1379587,35.1683296","128.4849591,35.8545835","127.1649379,36.7859945","127.1672934,36.8373649","127.0480754,37.5569492","128.5806666,35.2226654","126.8093984,37.3259813","126.8347068,37.5069614","126.8093984,37.3259813","126.9586282,37.5051319","127.9358219,37.3709968","127.0740153,37.5292893","126.9380955,37.5663639","126.9380955,37.5663639","126.9399172,37.5668475","126.8347068,37.5069614","127.0480754,37.5569492","126.9586282,37.5051319","127.0774677,37.6312118","127.0774677,37.6312118","127.0740153,37.5292893","127.0740153,37.5292893","126.9586282,37.5051319"
"126.7214874,37.6182163","127.1451523,37.5579713","128.5892232,35.8804654","129.1378051,35.1682289","128.4849624,35.8544889","127.1649831,36.7859045","127.1670808,36.8372561","127.0481365,37.5569584","128.5808316,35.2226846","126.8094832,37.3272005","126.8346966,37.5070876","126.8094832,37.3272005","126.9586349,37.5051445","127.935935,37.3710279","127.0740323,37.5292849","126.9380098,37.5663094","126.9380098,37.5663094","126.9399755,37.5669226","126.8346966,37.5070876","127.0481365,37.5569584","126.9586349,37.5051445","127.0774339,37.631172","127.0774339,37.631172","127.0740323,37.5292849","127.0740323,37.5292849","126.9586349,37.5051445"
