0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
"127.1257988,37.5209181","126.8931815,37.544566","128.3442375,36.1198162","129.350536,35.5610402","128.5606804,35.8522764","127.1765348,37.7167562","127.1765348,37.7167562","126.7640258,37.5132275","129.1740081,37.4564132","128.5606804,35.8522764","127.079709,37.5521239","127.0718812,37.5086","127.0381266,37.2866833","127.1374367,37.4338482","127.0718812,37.5086","127.0381266,37.2866833","127.0718812,37.5086","127.0474402,37.6779158","127.0227673,37.7457957","128.5606804,35.8522764","127.1374367,37.4338482","127.0521747,37.596351","126.8362526,37.5068025","127.1467643,37.5573181","127.255847,37.4106875","126.7980671,37.5014567","126.7980671,37.5014567","127.0474402,37.6779158","127.1374367,37.4338482","127.1374367,37.4338482","127.0474402,37.6779158"
"127.1258004,37.5210614","126.893104,37.544489","128.3440997,36.1198163","129.3505364,35.5611547","128.561509,35.8527118","127.1768636,37.7168166","127.1768636,37.7168166","126.7641324,37.513211","129.1738826,37.4564637","128.561509,35.8527118","127.0798964,37.5522147","127.0740801,37.508927","127.0381417,37.2866085","127.1376027,37.4338866","127.0740801,37.508927","127.0381417,37.2866085","127.0740801,37.508927","127.0475072,37.6779007","127.0225621,37.745574","128.561509,35.8527118","127.1376027,37.4338866","127.052356,37.5959668","126.8358745,37.5068247","127.1466963,37.5573332","127.2559991,37.410458","126.7979627,37.5013695","126.7979627,37.5013695","127.0475072,37.6779007","127.1376027,37.4338866","127.1376027,37.4338866","127.0475072,37.6779007"
"127.1258364,37.5213247","126.8929743,37.544565","128.3439118,36.1198077","129.3507174,35.5611537","128.5616272,35.8527756","127.1774331,37.7168263","127.1774331,37.7168263","126.7642468,37.5131928","129.1736332,37.4565348","128.5616272,35.8527756","127.0799877,37.5522926","127.0740869,37.5089279","127.0388192,37.2866842","127.1380186,37.433905","127.0740869,37.5089279","127.0388192,37.2866842","127.0740869,37.5089279","127.0475674,37.677873","127.0223119,37.7453044","128.5616272,35.8527756","127.1380186,37.433905","127.0525395,37.5955781","126.835649,37.5068658","127.1467398,37.5577156","127.256066,37.4103869","126.7978715,37.5013212","126.7978715,37.5013212","127.0475674,37.677873","127.1380186,37.433905","127.1380186,37.433905","127.0475674,37.677873"
"127.1258563,37.5214266","126.8928322,37.5446472","128.3438493,36.1197829","129.3507362,35.5607279","128.5615727,35.852841","127.1774739,37.7168498","127.1774739,37.7168498","126.7642626,37.5131956","129.1734687,37.4565624","128.5615727,35.852841","127.0800663,37.5524028","127.0741796,37.50894","127.0388026,37.2868202","127.1381588,37.4338982","127.0741796,37.50894","127.0388026,37.2868202","127.0741796,37.50894","127.0476516,37.6778355","127.0222927,37.7452782","128.5615727,35.852841","127.1381588,37.4338982","127.0525499,37.5955574","126.835399,37.5068662","127.1467247,37.5577813","127.256142,37.4103041","126.7978129,37.5013046","126.7978129,37.5013046","127.0476516,37.6778355","127.1381588,37.4338982","127.1381588,37.4338982","127.0476516,37.6778355"
"127.1258739,37.5215249","126.8926581,37.5447571","128.3438244,36.1197416","129.3517305,35.5607361","128.5613632,35.8530728","127.1775,37.7168544","127.1775,37.7168544","126.7642716,37.5132038","129.173302,37.45659","128.5613632,35.8530728","127.0800774,37.5524398","127.0741157,37.5092273","127.0387822,37.2868328","127.1382991,37.4338662","127.0741157,37.5092273","127.0387822,37.2868328","127.0741157,37.5092273","127.048385,37.677503","127.022293,37.7452358","128.5613632,35.8530728","127.1382991,37.4338662","127.0525115,37.595533","126.8351365,37.5068575","127.1462286,37.5578375","127.2561919,37.4102619","126.7977291,37.5013041","126.7977291,37.5013041","127.048385,37.677503","127.1382991,37.4338662","127.1382991,37.4338662","127.048385,37.677503"
"127.1258997,37.5215746","126.8924738,37.5448725","128.3438189,36.1193287","129.3519523,35.5607408","128.5612902,35.8531609","127.1775192,37.7168662","127.1775192,37.7168662","126.7642794,37.5132218","129.1729746,37.4565604","128.5612902,35.8531609","127.0800461,37.5525821","127.074089,37.5093498","127.0383594,37.2867888","127.1382493,37.4341076","127.074089,37.5093498","127.0383594,37.2867888","127.074089,37.5093498","127.048567,37.6774208","127.0223002,37.7451836","128.5612902,35.8531609","127.1382493,37.4341076","127.0524991,37.5955167","126.83489,37.506848","127.1460847,37.5578533","127.2562372,37.4102223","126.797625,37.5013053","126.797625,37.5013053","127.048567,37.6774208","127.1382493,37.4341076","127.1382493,37.4341076","127.048567,37.6774208"
"127.1260371,37.5217075","126.8923042,37.5449789","128.3438878,36.1193273","129.3520075,35.5607408","128.5611648,35.8533107","127.1775592,37.717061","127.1775592,37.717061","126.7642811,37.5132786","129.1726914,37.4564851","128.5611648,35.8533107","127.0800107,37.5526324","127.0740715,37.509439","127.0382927,37.2868228","127.1382206,37.434204","127.0740715,37.509439","127.0382927,37.2868228","127.0740715,37.509439","127.0488103,37.6773099","127.0223298,37.7451639","128.5611648,35.8533107","127.1382206,37.434204","127.0524868,37.5954995","126.834771,37.5068708","127.1459669,37.5578665","127.2563934,37.4101316","126.7972414,37.5013157","126.7972414,37.5013157","127.0488103,37.6773099","127.1382206,37.434204","127.1382206,37.434204","127.0488103,37.6773099"
"127.1260867,37.5217329","126.8921404,37.5450745","128.3438884,36.1188676","129.3522767,35.5607403","128.5600181,35.8546002","127.1775759,37.7171394","127.1775759,37.7171394","126.7642729,37.5133029","129.1725133,37.4563542","128.5600181,35.8546002","127.079957,37.5527116","127.0740425,37.5095668","127.0382439,37.2868703","127.1381494,37.4344408","127.0740425,37.5095668","127.0382439,37.2868703","127.0740425,37.5095668","127.0488228,37.6773046","127.022486,37.7450536","128.5600181,35.8546002","127.1381494,37.4344408","127.0524746,37.595458","126.8347289,37.5068976","127.1457947,37.5578858","127.2564885,37.4100975","126.7971599,37.5013197","126.7971599,37.5013197","127.0488228,37.6773046","127.1381494,37.4344408","127.1381494,37.4344408","127.0488228,37.6773046"
"127.1261523,37.5217404","126.8918619,37.5447981","128.343919,36.1188196","129.3523407,35.5607402","128.5597267,35.8549273","127.1777312,37.7174373","127.1777312,37.7174373","126.7642592,37.5133164","129.1724598,37.4562873","128.5597267,35.8549273","127.0797833,37.5527975","127.0740262,37.5096443","127.0382116,37.2869748","127.1381093,37.4345435","127.0740262,37.5096443","127.0382116,37.2869748","127.0740262,37.5096443","127.0488991,37.6772661","127.0227643,37.745016","128.5597267,35.8549273","127.1381093,37.4345435","127.0524874,37.5953995","126.8347068,37.5069614","127.145354,37.5579358","127.256562,37.4100814","126.7971792,37.5016776","126.7971792,37.5016776","127.0488991,37.6772661","127.1381093,37.4345435","127.1381093,37.4345435","127.0488991,37.6772661"
"127.1263118,37.521758","126.8917822,37.5447202","128.3439788,36.1187993","129.3528283,35.5607408","128.5596405,35.8550255","127.1778045,37.7175285","127.1778045,37.7175285","126.7642354,37.5133243","129.1724017,37.4562152","128.5596405,35.8550255","127.0799978,37.5529046","127.0740262,37.5096515","127.0384614,37.287266","127.1380979,37.4345759","127.0740262,37.5096515","127.0384614,37.287266","127.0740262,37.5096515","127.0490498,37.6776497","127.0228542,37.7449884","128.5596405,35.8550255","127.1380979,37.4345759","127.0525249,37.5953663","126.8346966,37.5070876","127.1451523,37.5579713","127.2568324,37.4103227","126.7971873,37.5019021","126.7971873,37.5019021","127.0490498,37.6776497","127.1380979,37.4345759","127.1380979,37.4345759","127.0490498,37.6776497"
