0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
"127.3454797,36.3666634","128.0853045,36.1399784","127.0205474,36.7681965","127.0748146,36.7364429","127.0748146,36.7364429","128.5879815,35.8822599","127.1320036,35.8464247","127.1233212,35.8320108","127.1233212,35.8320108","127.4214415,36.3541052","127.8717722,36.9697338","128.8985464,37.7737494","128.8985464,37.7737494","128.5879815,35.8822599","127.1233212,35.8320108","127.1487315,35.8379437","127.0474402,37.6779158","127.164326,36.7859793","126.8969363,37.5671883","127.0331137,37.6069436","128.6635186,35.2337774","127.1320036,35.8464247","127.255847,37.4106875"
"127.3455358,36.3670313","128.0853114,36.1400109","127.0205338,36.7682208","127.0750388,36.7367988","127.0750388,36.7367988","128.5880467,35.8822467","127.1322871,35.8464247","127.1233249,35.8321658","127.1233249,35.8321658","127.4214085,36.3547795","127.8717035,36.9692301","128.8985438,37.7737963","128.8985438,37.7737963","128.5880467,35.8822467","127.1233249,35.8321658","127.1482685,35.8379982","127.0475072,37.6779007","127.1641921,36.7863512","126.8968615,37.5672024","127.033225,37.606543","128.6634978,35.2338579","127.1322871,35.8464247","127.2559991,37.410458"
"127.3455974,36.3674497","128.0852732,36.1401048","127.0205158,36.7682378","127.0753497,36.7372912","127.0753497,36.7372912","128.5891631,35.8819859","127.1323747,35.8463997","127.1233241,35.8323326","127.1233241,35.8323326","127.4214049,36.3550283","127.8716813,36.9690661","128.8985409,37.7738828","128.8985409,37.7738828","128.5891631,35.8819859","127.1233241,35.8323326","127.1481555,35.8379961","127.0475674,37.677873","127.1642605,36.7863478","126.8966766,37.5672384","127.0333167,37.6065596","128.6634766,35.2339888","127.1323747,35.8463997","127.256066,37.4103869"
"127.3456161,36.3675868","128.0853874,36.1403666","127.0204764,36.7682539","127.0753991,36.7372743","127.0753991,36.7372743","128.5894172,35.881934","127.1324991,35.8463162","127.1233293,35.8323994","127.1233293,35.8323994","127.4214027,36.3550382","127.8716669,36.9688787","128.898509,37.7739941","128.898509,37.7739941","128.5894172,35.881934","127.1233293,35.8323994","127.1481989,35.8374408","127.0476516,37.6778355","127.1644735,36.7863367","126.8963228,37.5672987","127.0334151,37.606578","128.6633667,35.2339926","127.1324991,35.8463162","127.256142,37.4103041"
"127.3456282,36.3676607","128.0854244,36.1404079","127.0204249,36.7682591","127.0756908,36.7371906","127.0756908,36.7371906","128.5896702,35.8818831","127.1323622,35.8462247","127.1233366,35.8324914","127.1233366,35.8324914","127.4213915,36.3550752","127.8716541,36.9687895","128.8985066,37.7740509","128.8985066,37.7740509","128.5896702,35.8818831","127.1233366,35.8324914","127.1485084,35.8355637","127.048385,37.677503","127.1646529,36.7863299","126.8962389,37.5673091","127.0334762,37.606589","128.6633129,35.233994","127.1323622,35.8462247","127.2561919,37.4102619"
"127.3456954,36.3680791","128.08555,36.1405578","127.0201974,36.7682546","127.0757718,36.7373225","127.0757718,36.7373225","128.5896169,35.8817086","127.1320372,35.8458658","127.1233374,35.8325662","127.1233374,35.8325662","127.4213524,36.3551689","127.8716227,36.9685615","128.8985241,37.7742571","128.8985241,37.7742571","128.5896169,35.8817086","127.1233374,35.8325662","127.1486123,35.8353575","127.048567,37.6774208","127.1647404,36.7862986","126.896144,37.5672933","127.0336573,37.6066222","128.6632121,35.2340166","127.1320372,35.8458658","127.2562372,37.4102223"
"127.3457448,36.3684642","128.0857702,36.1407227","127.0201808,36.7693047","127.0761615,36.7379567","127.0761615,36.7379567","128.5894143,35.8810722","127.131912,35.8456328","127.1233369,35.8326744","127.1233369,35.8326744","127.4213524,36.3552329","127.871597,36.9683588","128.8985768,37.7743384","128.8985768,37.7743384","128.5894143,35.8810722","127.1233369,35.8326744","127.1488057,35.8354392","127.0488103,37.6773099","127.1647888,36.7862654","126.8960706,37.5671181","127.0337558,37.6066397","128.6630965,35.2340736","127.131912,35.8456328","127.2563934,37.4101316"
"127.3444525,36.3686185","128.0859231,36.1408076","127.0203612,36.7693126","127.0766211,36.7387048","127.0766211,36.7387048","128.5893853,35.8809814","127.1318874,35.8454497","127.1229117,35.8326658","127.1229117,35.8326658","127.4214549,36.3552321","127.8715917,36.9681875","128.89867,37.7744671","128.89867,37.7744671","128.5893853,35.8809814","127.1229117,35.8326658","127.1490853,35.8355509","127.0488228,37.6773046","127.1648758,36.7860989","126.8960152,37.5669754","127.0338995,37.6066664","128.6627135,35.2342657","127.1318874,35.8454497","127.2564885,37.4100975"
"127.3440522,36.3686657","128.0859945,36.1408478","127.0206968,36.7693933","127.0766744,36.7387915","127.0766744,36.7387915","128.5892567,35.8805651","127.131885,35.8452585","127.1227866,35.8326664","127.1227866,35.8326664","127.4215028,36.3552357","127.8716126,36.9680991","128.898605,37.7745129","128.898605,37.7745129","128.5892567,35.8805651","127.1227866,35.8326664","127.1491251,35.8355691","127.0488991,37.6772661","127.1649379,36.7859945","126.8959808,37.5668851","127.0340783,37.6067005","128.662895,35.2345092","127.131885,35.8452585","127.256562,37.4100814"
"127.3438036,36.3686915","128.0861571,36.1408893","127.0213076,36.7695553","127.076749,36.7388666","127.076749,36.7388666","128.5892232,35.8804654","127.1317868,35.844701","127.1227973,35.8329747","127.1227973,35.8329747","127.421553,36.3552403","127.8716181,36.9680802","128.8984324,37.7746304","128.8984324,37.7746304","128.5892232,35.8804654","127.1227973,35.8329747","127.1492975,35.8356399","127.0490498,37.6776497","127.1649831,36.7859045","126.8959542,37.5668173","127.0343362,37.6067664","128.6635239,35.2353769","127.1317868,35.844701","127.2568324,37.4103227"
