0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"127.1374367,37.4338482","126.8625196,37.5004529","126.7331755,37.4341334","126.7331755,37.4341334","127.0957578,37.4993217","127.3651416,36.3205265","126.7331755,37.4341334","126.7171026,37.5432378","126.7331755,37.4341334","126.9270407,37.3570896","127.0957578,37.4993217","126.8625196,37.5004529","127.1374367,37.4338482","126.8625196,37.5004529","127.1374367,37.4338482","126.7331755,37.4341334","127.0957578,37.4993217","126.7331755,37.4341334","126.7331755,37.4341334","127.2025978,37.2948042"
"127.1376027,37.4338866","126.862731,37.5000773","126.7331185,37.4341763","126.7331185,37.4341763","127.0951444,37.4993655","127.3651715,36.3205761","126.7331185,37.4341763","126.7171224,37.5435075","126.7331185,37.4341763","126.9273399,37.3572497","127.0951444,37.4993655","126.862731,37.5000773","127.1376027,37.4338866","126.862731,37.5000773","127.1376027,37.4338866","126.7331185,37.4341763","127.0951444,37.4993655","126.7331185,37.4341763","126.7331185,37.4341763","127.2026521,37.2953388"
"127.1380186,37.433905","126.8627655,37.5000162","126.7331151,37.4341781","126.7331151,37.4341781","127.0950221,37.4993741","127.3652127,36.3206195","126.7331151,37.4341781","126.7170725,37.5435116","126.7331151,37.4341781","126.9274984,37.3573316","127.0950221,37.4993741","126.8627655,37.5000162","127.1380186,37.433905","126.8627655,37.5000162","127.1380186,37.433905","126.7331151,37.4341781","127.0950221,37.4993741","126.7331151,37.4341781","126.7331151,37.4341781","127.2027488,37.2954139"
"127.1381588,37.4338982","126.8627747,37.4999991","126.7330245,37.4341973","126.7330245,37.4341973","127.0947528,37.4993967","127.3652717,36.3206637","126.7330245,37.4341973","126.7168448,37.5435282","126.7330245,37.4341973","126.9275049,37.3573713","127.0947528,37.4993967","126.8627747,37.4999991","127.1381588,37.4338982","126.8627747,37.4999991","127.1381588,37.4338982","126.7330245,37.4341973","127.0947528,37.4993967","126.7330245,37.4341973","126.7330245,37.4341973","127.2027533,37.2954373"
"127.1382991,37.4338662","126.8627885,37.4999721","126.7329512,37.434186","126.7329512,37.434186","127.0947451,37.4993543","127.3653629,36.3207161","126.7329512,37.434186","126.7167835,37.5435476","126.7329512,37.434186","126.9273818,37.3575185","127.0948001,37.4996411","126.8627885,37.4999721","127.1382991,37.4338662","126.8627885,37.4999721","127.1382991,37.4338662","126.7329512,37.434186","127.0948001,37.4996411","126.7329512,37.434186","126.7329512,37.434186","127.2027931,37.2956249"
"127.1382493,37.4341076","126.8628493,37.4999995","126.7329099,37.4341317","126.7329099,37.4341317","127.0947352,37.4992938","127.3654797,36.3208136","126.7329099,37.4341317","126.7167641,37.5435655","126.7329099,37.4341317","126.9270995,37.3578245","127.0948221,37.499752","126.8628493,37.4999995","127.1382493,37.4341076","126.8628493,37.4999995","127.1382493,37.4341076","126.7329099,37.4341317","127.0948221,37.499752","126.7329099,37.4341317","126.7329099,37.4341317","127.2027931,37.2956258"
"127.1382206,37.434204","126.8629474,37.5000361","126.7329037,37.4340703","126.7329037,37.4340703","127.0946027,37.4993222","127.3655208,36.3208894","126.7329037,37.4340703","126.7167536,37.5435916","126.7329037,37.4340703","126.926834,37.3576943","127.0948592,37.4999991","126.8629474,37.5000361","127.1382206,37.434204","126.8629474,37.5000361","127.1382206,37.434204","126.7329037,37.4340703","127.0948592,37.4999991","126.7329037,37.4340703","126.7329037,37.4340703","127.2027613,37.2956861"
"127.1381494,37.4344408","126.8630083,37.500059","126.7329178,37.4340253","126.7329178,37.4340253","127.0931439,37.4996246","127.3655419,36.3209489","126.7329178,37.4340253","126.7167504,37.5437907","126.7329178,37.4340253","126.9264741,37.3574997","127.0948669,37.5000451","126.8630083,37.500059","127.1381494,37.4344408","126.8630083,37.500059","127.1381494,37.4344408","126.7329178,37.4340253","127.0948669,37.5000451","126.7329178,37.4340253","126.7329178,37.4340253","127.202742,37.2957248"
"127.1381093,37.4345435","126.8636512,37.5002986","126.7329521,37.4339859","126.7329521,37.4339859","127.0930941,37.499637","127.3655684,36.3211076","126.7329521,37.4339859","126.7171354,37.5437771","126.7329521,37.4339859","126.9261928,37.3578129","127.094879,37.5001146","126.8636512,37.5002986","127.1381093,37.4345435","126.8636512,37.5002986","127.1381093,37.4345435","126.7329521,37.4339859","127.094879,37.5001146","126.7329521,37.4339859","126.7329521,37.4339859","127.2027356,37.2959033"
"127.1380979,37.4345759","126.8636557,37.5003004","126.7330269,37.4339666","126.7330269,37.4339666","127.092863,37.4996876","127.3655683,36.3211292","126.7330269,37.4339666","126.7172124,37.5437749","126.7330269,37.4339666","126.9259173,37.3581126","127.0949392,37.5004843","126.8636557,37.5003004","127.1380979,37.4345759","126.8636557,37.5003004","127.1380979,37.4345759","126.7330269,37.4339666","127.0949392,37.5004843","126.7330269,37.4339666","126.7330269,37.4339666","127.2028028,37.2960252"
"127.1380864,37.4346083","126.8637797,37.5003434","126.7331287,37.4339546","126.7331287,37.4339546","127.092668,37.4997518","127.3655693,36.3211878","126.7331287,37.4339546","126.7185464,37.5437287","126.7331287,37.4339546","126.9258284,37.3582131","127.0949655,37.5006512","126.8637797,37.5003434","127.1380864,37.4346083","126.8637797,37.5003434","127.1380864,37.4346083","126.7331287,37.4339546","127.0949655,37.5006512","126.7331287,37.4339546","126.7331287,37.4339546","127.2030778,37.2961061"
"127.1379893,37.43459","126.863975,37.4999993","126.7331933,37.4339442","126.7331933,37.4339442","127.0917695,37.4999993","127.3655533,36.3214159","126.7331933,37.4339442","126.7187027,37.5437216","126.7331933,37.4339442","126.925751,37.3583011","127.0949862,37.5007892","126.863975,37.4999993","127.1379893,37.43459","126.863975,37.4999993","127.1379893,37.43459","126.7331933,37.4339442","127.0949862,37.5007892","126.7331933,37.4339442","126.7331933,37.4339442","127.2032703,37.2962165"
"127.1379261,37.4345781","126.8641566,37.4996604","126.7333329,37.433882","126.7333329,37.433882","127.0911723,37.5001793","127.3655498,36.3215331","126.7333329,37.433882","126.7187276,37.5437218","126.7333329,37.433882","126.9256883,37.3583729","127.094995,37.5008451","126.8641566,37.4996604","127.1379261,37.4345781","126.8641566,37.4996604","127.1379261,37.4345781","126.7333329,37.433882","127.094995,37.5008451","126.7333329,37.433882","126.7333329,37.433882","127.2033953,37.2962799"
"127.1379238,37.4345771","126.864275,37.4994412","126.7333828,37.4338697","126.7333828,37.4338697","127.091131,37.5000854","127.3655517,36.3217116","126.7333828,37.4338697","126.718774,37.5437203","126.7333828,37.4338697","126.9256359,37.358433","127.0950026,37.5008947","126.864275,37.4994412","127.1379238,37.4345771","126.864275,37.4994412","127.1379238,37.4345771","126.7333828,37.4338697","127.0950026,37.5008947","126.7333828,37.4338697","126.7333828,37.4338697","127.204577,37.2970437"
"127.1375477,37.4345075","126.8643232,37.4993576","126.7335255,37.4338418","126.7335255,37.4338418","127.0910941,37.4999997","127.3655547,36.3219054","126.7335255,37.4338418","126.7188838,37.5437165","126.7335255,37.4338418","126.9255482,37.358539","127.0950321,37.5010985","126.8643232,37.4993576","127.1375477,37.4345075","126.8643232,37.4993576","127.1375477,37.4345075","126.7335255,37.4338418","127.0950321,37.5010985","126.7335255,37.4338418","126.7335255,37.4338418","127.2044762,37.2971426"
"127.1374009,37.4344746","126.8643381,37.4993333","126.7335708,37.4338358","126.7335708,37.4338358","127.0910215,37.4998336","127.3655568,36.3219731","126.7335708,37.4338358","126.7190186,37.5437102","126.7335708,37.4338358","126.9248104,37.3581424","127.0950397,37.501149","126.8643381,37.4993333","127.1374009,37.4344746","126.8643381,37.4993333","127.1374009,37.4344746","126.7335708,37.4338358","127.0950397,37.501149","126.7335708,37.4338358","126.7335708,37.4338358","127.204286,37.297317"
"127.1367121,37.4343328","126.8645783,37.4988912","126.7336126,37.4338334","126.7336126,37.4338334","127.0904323,37.4999992","127.3655599,36.3221101","126.7336126,37.4338334","126.719774,37.5436746","126.7336126,37.4338334","126.9246366,37.3581325","127.0950518,37.5012157","126.8645783,37.4988912","127.1367121,37.4343328","126.8645783,37.4988912","127.1367121,37.4343328","126.7336126,37.4338334","127.0950518,37.5012157","126.7336126,37.4338334","126.7336126,37.4338334","127.2041989,37.2973609"
"127.136676,37.4343254","126.8647745,37.4985749","126.733798,37.4338337","126.733798,37.4338337","127.0897581,37.5001834","127.3655665,36.3221813","126.733798,37.4338337","126.7200367,37.5436665","126.733798,37.4338337","126.9244581,37.3581425","127.0950705,37.5013149","126.8647745,37.4985749","127.136676,37.4343254","126.8647745,37.4985749","127.136676,37.4343254","126.733798,37.4338337","127.0950705,37.5013149","126.733798,37.4338337","126.733798,37.4338337","127.2041492,37.2973833"
"127.1365224,37.4342961","126.8648617,37.4984249","126.7338579,37.4338367","126.7338579,37.4338367","127.0893072,37.5003071","127.3655865,36.32224","126.7338579,37.4338367","126.720125,37.5436625","126.7338579,37.4338367","126.9243156,37.3581751","127.0951101,37.5015296","126.8648617,37.4984249","127.1365224,37.4342961","126.8648617,37.4984249","127.1365224,37.4342961","126.7338579,37.4338367","127.0951101,37.5015296","126.7338579,37.4338367","126.7338579,37.4338367","127.2039616,37.2974523"
"127.1363869,37.434266","126.864989,37.4982255","126.7339425,37.4338463","126.7339425,37.4338463","127.0891731,37.4999993","127.3656142,36.3222968","126.7339425,37.4338463","126.72021,37.5436577","126.7339425,37.4338463","126.9242194,37.358199","127.0951199,37.5015837","126.864989,37.4982255","127.1363869,37.434266","126.864989,37.4982255","127.1363869,37.434266","126.7339425,37.4338463","127.0951199,37.5015837","126.7339425,37.4338463","126.7339425,37.4338463","127.2039277,37.2974828"
