0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
"127.1524787,35.8259802","127.2025978,37.2948042","127.1570592,35.8539236","128.1618481,35.1574188","127.1659575,37.250629","128.1618481,35.1574188","127.1487315,35.8379437","127.4954564,36.6532258","128.1618481,35.1574188","128.1618481,35.1574188","128.1618481,35.1574188","128.1618481,35.1574188","128.3442375,36.1198162","128.7279772,36.5603377","128.6635186,35.2337774","128.7279772,36.5603377","128.6635186,35.2337774","128.6635186,35.2337774","128.1618481,35.1574188","128.6635186,35.2337774","128.6635186,35.2337774","129.3648165,36.0089169"
"127.1525009,35.8259677","127.2026521,37.2953388","127.1571875,35.8539663","128.1618266,35.1574667","127.1660675,37.2507456","128.1618266,35.1574667","127.1482685,35.8379982","127.4953121,36.652666","128.1618266,35.1574667","128.1618266,35.1574667","128.1618266,35.1574667","128.1618266,35.1574667","128.3440997,36.1198163","128.7269844,36.560164","128.6634978,35.2338579","128.7282819,36.5603904","128.6634978,35.2338579","128.6634978,35.2338579","128.1618266,35.1574667","128.6634978,35.2338579","128.6634978,35.2338579","129.3648366,36.0088742"
"127.152543,35.825948","127.2027488,37.2954139","127.1575999,35.8541081","128.1617873,35.1574994","127.1666183,37.2506074","128.1617873,35.1574994","127.1481555,35.8379961","127.4949564,36.6513471","128.1617873,35.1574994","128.1617873,35.1574994","128.1617873,35.1574994","128.1617873,35.1574994","128.3439118,36.1198077","128.7267693,36.5601284","128.6634766,35.2339888","128.7283346,36.5603998","128.6634766,35.2339888","128.6634766,35.2339888","128.1617873,35.1574994","128.6634766,35.2339888","128.6634766,35.2339888","129.3651248,36.0089581"
"127.1525974,35.8259229","127.2027533,37.2954373","127.1577692,35.8541627","128.1617414,35.157524","127.1666332,37.2505561","128.1617414,35.157524","127.1481989,35.8374408","127.4954106,36.6513778","128.1617414,35.157524","128.1617414,35.157524","128.1617414,35.157524","128.1617414,35.157524","128.3438493,36.1197829","128.7266494,36.5601062","128.6633667,35.2339926","128.7287915,36.5604618","128.6633667,35.2339926","128.6633667,35.2339926","128.1617414,35.157524","128.6633667,35.2339926","128.6633667,35.2339926","129.3650633,36.0091231"
"127.1526329,35.8259095","127.2027931,37.2956249","127.157924,35.8542155","128.1617431,35.1576024","127.1667079,37.2505022","128.1617431,35.1576024","127.1485084,35.8355637","127.4964623,36.6514499","128.1617431,35.1576024","128.1617431,35.1576024","128.1617431,35.1576024","128.1617431,35.1576024","128.3438244,36.1197416","128.726516,36.5600823","128.6633129,35.233994","128.7288508,36.5604702","128.6633129,35.233994","128.6633129,35.233994","128.1617431,35.1576024","128.6633129,35.233994","128.6633129,35.233994","129.3650393,36.0091875"
"127.1526694,35.8258996","127.2027931,37.2956258","127.1579563,35.8541624","128.161799,35.1581332","127.1668207,37.2504908","128.161799,35.1581332","127.1486123,35.8353575","127.4968729,36.6514436","128.161799,35.1581332","128.161799,35.1581332","128.161799,35.1581332","128.161799,35.1581332","128.3438189,36.1193287","128.7265003,36.5600797","128.6632121,35.2340166","128.7292271,36.5605213","128.6632121,35.2340166","128.6632121,35.2340166","128.161799,35.1581332","128.6632121,35.2340166","128.6632121,35.2340166","129.3649402,36.009455"
"127.1528744,35.8258687","127.2027613,37.2956861","127.1580256,35.8540174","128.1618381,35.158344","127.1669107,37.2505424","128.1618381,35.158344","127.1488057,35.8354392","127.4970586,36.6514274","128.1618381,35.158344","128.1618381,35.158344","128.1618381,35.158344","128.1618381,35.158344","128.3438878,36.1193273","128.7263266,36.5600446","128.6630965,35.2340736","128.7293223,36.5605339","128.6630965,35.2340736","128.6630965,35.2340736","128.1618381,35.158344","128.6630965,35.2340736","128.6630965,35.2340736","129.3645794,36.0103909"
"127.1528988,35.8258651","127.202742,37.2957248","127.1585697,35.8529154","128.161931,35.1586997","127.1673409,37.2504066","128.161931,35.1586997","127.1490853,35.8355509","127.4973764,36.6514031","128.161931,35.1586997","128.161931,35.1586997","128.161931,35.1586997","128.161931,35.1586997","128.3438884,36.1188676","128.7261965,36.560018","128.6627135,35.2342657","128.7295888,36.560569","128.6627135,35.2342657","128.6627135,35.2342657","128.161931,35.1586997","128.6627135,35.2342657","128.6627135,35.2342657","129.3645345,36.0105087"
"127.1529852,35.8258501","127.2027356,37.2959033","127.1586166,35.852819","128.1620604,35.1586836","127.1675159,37.250344","128.1620604,35.1586836","127.1491251,35.8355691","127.4975599,36.6513661","128.1620604,35.1586836","128.1620604,35.1586836","128.1620604,35.1586836","128.1620604,35.1586836","128.343919,36.1188196","128.7259558,36.5599907","128.662895,35.2345092","128.7301453,36.5606426","128.662895,35.2345092","128.662895,35.2345092","128.1620604,35.1586836","128.662895,35.2345092","128.662895,35.2345092","129.3644807,36.010625"
"127.1531115,35.8258162","127.2028028,37.2960252","127.1591416,35.8517701","128.1628235,35.1585523","127.1675886,37.2502343","128.1628235,35.1585523","127.1492975,35.8356399","127.4977154,36.651312","128.1628235,35.1585523","128.1628235,35.1585523","128.1628235,35.1585523","128.1628235,35.1585523","128.3439788,36.1187993","128.7259469,36.5599899","128.6635239,35.2353769","128.7302853,36.5606609","128.6635239,35.2353769","128.6635239,35.2353769","128.1628235,35.1585523","128.6635239,35.2353769","128.6635239,35.2353769","129.3642499,36.0111911"
