0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
"127.0381266,37.2866833","127.1506275,37.556559","127.1050578,37.6142089","127.0484906,37.5778179","126.9159523,37.5156159","127.1308346,37.5200254","127.0113611,37.296867","126.9388522,37.5666171","126.970779,37.5177203","127.0113611,37.296867","127.0957578,37.4993217","127.1050578,37.6142089","126.7980671,37.5014567","126.970779,37.5177203","127.8811091,37.6919614","127.0985926,37.4886069","127.0957578,37.4993217","127.1506275,37.556559","127.2025978,37.2948042","127.0120986,37.6345009","127.0957578,37.4993217","128.5606804,35.8522764","127.0282438,37.7613826","127.0512068,37.5841665","127.0120986,37.6345009","128.5606804,35.8522764","127.0120986,37.6345009","127.1766441,37.6055881","127.1766441,37.6055881","127.8811091,37.6919614","127.0282438,37.7613826","126.970779,37.5177203",
"127.0381417,37.2866085","127.1500962,37.5563933","127.104722,37.6142871","127.0485497,37.5777965","126.9160047,37.5155747","127.1308244,37.5200244","127.0113058,37.2968668","126.9390428,37.5665739","126.970686,37.5177568","127.0113058,37.2968668","127.0951444,37.4993655","127.104722,37.6142871","126.7979627,37.5013695","126.970686,37.5177568","127.8813749,37.6920381","127.0985465,37.4885428","127.0951444,37.4993655","127.1500962,37.5563933","127.2026521,37.2953388","127.0121474,37.6345002","127.0951444,37.4993655","128.561509,35.8527118","127.0282441,37.7613303","127.0512674,37.5842533","127.0121474,37.6345002","128.561509,35.8527118","127.0121474,37.6345002","127.1762943,37.6055151","127.1762943,37.6055151","127.8813749,37.6920381","127.0282441,37.7613303","126.970686,37.5177568",
"127.0388192,37.2866842","127.1500849,37.5563897","127.1047229,37.6143366","127.0486473,37.5777518","126.9160366,37.5155497","127.1306366,37.5200076","127.0109763,37.2968654","126.9393989,37.5664935","126.9706156,37.5177845","127.0109763,37.2968654","127.0950221,37.4993741","127.1047229,37.6143366","126.7978715,37.5013212","126.9706156,37.5177845","127.8814135,37.6920497","127.0984182,37.4884162","127.0950221,37.4993741","127.1500849,37.5563897","127.2027488,37.2954139","127.0124081,37.6344977","127.0950221,37.4993741","128.5616272,35.8527756","127.0282458,37.7612438","127.0512989,37.5842976","127.0124081,37.6344977","128.5616272,35.8527756","127.0124081,37.6344977","127.1762661,37.6054871","127.1762661,37.6054871","127.8814135,37.6920497","127.0282458,37.7612438","126.9706156,37.5177845",
"127.0388026,37.2868202","127.1500736,37.556387","127.1047172,37.6143429","127.0487756,37.5776937","126.9161653,37.5154358","127.1305869,37.5199994","127.0113316,37.2963603","126.9395921,37.5664124","126.9705633,37.5178149","127.0113316,37.2963603","127.0947528,37.4993967","127.1047172,37.6143429","126.7978129,37.5013046","126.9705633,37.5178149","127.8816679,37.6920984","127.0983924,37.4883899","127.0947528,37.4993967","127.1500736,37.556387","127.2027533,37.2954373","127.0128545,37.6345203","127.0947528,37.4993967","128.5615727,35.852841","127.0278201,37.7612385","127.0513585,37.58436","127.0128545,37.6345203","128.5615727,35.852841","127.0128545,37.6345203","127.1762538,37.6054392","127.1762538,37.6054392","127.8816679,37.6920984","127.0278201,37.7612385","126.9705633,37.5178149",
"127.0387822,37.2868328","127.1500329,37.5563742","127.1046534,37.6144013","127.0488495,37.5776579","126.9161927,37.5154044","127.1305621,37.5199831","127.0114756,37.2964303","126.9396805,37.5664002","126.9705416,37.5178445","127.0114756,37.2964303","127.0947451,37.4993543","127.1046534,37.6144013","126.7977291,37.5013041","126.9705416,37.5178445","127.8821297,37.6921438","127.0983429,37.488342","127.0947451,37.4993543","127.1500329,37.5563742","127.2027931,37.2956249","127.012961,37.6345198","127.0947451,37.4993543","128.5613632,35.8530728","127.0271843,37.7612386","127.0515461,37.5844418","127.012961,37.6345198","128.5613632,35.8530728","127.012961,37.6345198","127.1762522,37.6052887","127.1762522,37.6052887","127.8821297,37.6921438","127.0271843,37.7612386","126.9705416,37.5178445",
"127.0383594,37.2867888","127.1499978,37.5563633","127.1045456,37.6144388","127.0487327,37.5774871","126.9162349,37.5153614","127.1305498,37.5199578","127.0115813,37.2964803","126.9397325,37.5665618","126.9705302,37.5178589","127.0115813,37.2964803","127.0947352,37.4992938","127.1045456,37.6144388","126.797625,37.5013053","126.9705302,37.5178589","127.8822944,37.6921784","127.0982382,37.4882398","127.0947352,37.4992938","127.1499978,37.5563633","127.2027931,37.2956258","127.0130222,37.63452","127.0947352,37.4992938","128.5612902,35.8531609","127.0270379,37.7612408","127.051727,37.5846751","127.0130222,37.63452","128.5612902,35.8531609","127.0130222,37.63452","127.1762355,37.6052274","127.1762355,37.6052274","127.8822944,37.6921784","127.0270379,37.7612408","126.9705302,37.5178589",
"127.0382927,37.2868228","127.1497886,37.5563095","127.1037175,37.6146208","127.0487001,37.5774464","126.9162828,37.515321","127.13055,37.5199163","127.0119739,37.2966658","126.9397403,37.566579","126.9705075,37.517875","127.0119739,37.2966658","127.0946886,37.4989151","127.1037175,37.6146208","126.7972414,37.5013157","126.9705075,37.517875","127.8824035,37.6922195","127.0978702,37.4878798","127.0946027,37.4993222","127.1497886,37.5563095","127.2027613,37.2956861","127.0131153,37.6344934","127.0946027,37.4993222","128.5611648,35.8533107","127.02599,37.761232","127.0517798,37.5847492","127.0131153,37.6344934","128.5611648,35.8533107","127.0131153,37.6344934","127.1761103,37.605109","127.1761103,37.605109","127.8824035,37.6922195","127.02599,37.761232","126.9705075,37.517875",
"127.0382439,37.2868703","127.1495374,37.5562772","127.1035507,37.6146572","127.0484866,37.5771662","126.9164339,37.5152416","127.1305582,37.5198451","127.0126848,37.2970041","126.9397983,37.5666973","126.9704507,37.5178964","127.0126848,37.2970041","127.0946767,37.4988186","127.1035507,37.6146572","126.7971599,37.5013197","126.9704507,37.5178964","127.8825468,37.6922966","127.0977723,37.4877839","127.0931439,37.4996246","127.1495374,37.5562772","127.202742,37.2957248","127.0131745,37.6344504","127.0931439,37.4996246","128.5600181,35.8546002","127.0255566,37.7611834","127.0519921,37.5850456","127.0131745,37.6344504","128.5600181,35.8546002","127.0131745,37.6344504","127.1760719,37.6050728","127.1760719,37.6050728","127.8825468,37.6922966","127.0255566,37.7611834","126.9704507,37.5178964",
"127.0382116,37.2869748","127.1492951,37.5562765","127.1033794,37.6146954","127.0483474,37.5769728","126.9166247,37.5151415","127.1305865,37.5196244","127.0129525,37.2971304","126.9399172,37.5668475","126.9704099,37.5179079","127.0129525,37.2971304","127.094632,37.4985084","127.1033794,37.6146954","126.7971792,37.5016776","126.9704099,37.5179079","127.882538,37.6923444","127.0976171,37.4876238","127.0930941,37.499637","127.1492951,37.5562765","127.2027356,37.2959033","127.0132123,37.6343865","127.0930941,37.499637","128.5597267,35.8549273","127.0254637,37.7611668","127.052037,37.585108","127.0132123,37.6343865","128.5597267,35.8549273","127.0132123,37.6343865","127.1760244,37.6050628","127.1760244,37.6050628","127.882538,37.6923444","127.0254637,37.7611668","126.9704099,37.5179079",
"127.0384614,37.287266","127.1492725,37.5562773","127.1032218,37.61473","127.0482294,37.576811","126.9164539,37.5149947","127.1304485,37.5196059","127.0130616,37.2971832","126.9399755,37.5669226","126.9703941,37.5179061","127.0130616,37.2971832","127.094609,37.4983668","127.1032218,37.61473","126.7971873,37.5019021","126.9703941,37.5179061","127.8825135,37.6924445","127.0975205,37.4874991","127.092863,37.4996876","127.1492725,37.5562773","127.2028028,37.2960252","127.0132299,37.6343064","127.092863,37.4996876","128.5596405,35.8550255","127.025178,37.7611035","127.0521146,37.5851993","127.0132299,37.6343064","128.5596405,35.8550255","127.0132299,37.6343064","127.1755354,37.6049596","127.1755354,37.6049596","127.8825135,37.6924445","127.025178,37.7611035","126.9703941,37.5179061",
"127.0394646,37.286675","127.1491706,37.5562797","127.102999,37.6146526","127.0480889,37.5766347","126.9163482,37.514904","127.1302122,37.5195745","127.0134047,37.2973477","126.9399935,37.5669389","126.9703693,37.5178933","127.0134047,37.2973477","127.0945398,37.497979","127.102999,37.6146526","126.7972835,37.5034692","126.9703693,37.5178933","127.8825073,37.6925563","127.0974689,37.487416","127.092668,37.4997518","127.1491706,37.5562797","127.2030778,37.2961061","127.0132754,37.6340993","127.092668,37.4997518","128.5596122,35.8550573","127.0248288,37.7610255","127.0522024,37.5853024","127.0132754,37.6340993","128.5596122,35.8550573","127.0132754,37.6340993","127.1753995,37.6049312","127.1753995,37.6049312","127.8825073,37.6925563","127.0248288,37.7610255","126.9703693,37.5178933",
"127.0394691,37.2866723","127.1491411,37.5562814","127.1027491,37.6145472","127.0480563,37.5765976","126.9160594,37.5146556","127.1304948,37.5182468","127.0136792,37.2974796","126.9401329,37.5670676","126.9702419,37.5176575","127.0136792,37.2974796","127.0945222,37.4978951","127.1027491,37.6145472","126.797249,37.5042442","126.9702419,37.5176575","127.8825087,37.6926058","127.0974274,37.4873483","127.0917695,37.4999993","127.1491411,37.5562814","127.2032703,37.2962165","127.0133327,37.6338363","127.0917695,37.4999993","128.5594769,35.8552135","127.0246429,37.7609725","127.0523787,37.5851778","127.0133327,37.6338363","128.5594769,35.8552135","127.0133327,37.6338363","127.1751256,37.6048755","127.1751256,37.6048755","127.8825087,37.6926058","127.0246429,37.7609725","126.9702419,37.5176575",
