0,1
"127.3651416,36.3205265","127.4214415,36.3541052"
"127.3651715,36.3205761","127.4214085,36.3547795"
"127.3652127,36.3206195","127.4214049,36.3550283"
"127.3652717,36.3206637","127.4214027,36.3550382"
"127.3653629,36.3207161","127.4213915,36.3550752"
"127.3654797,36.3208136","127.4213524,36.3551689"
"127.3655208,36.3208894","127.4213524,36.3552329"
"127.3655419,36.3209489","127.4214549,36.3552321"
"127.3655684,36.3211076","127.4215028,36.3552357"
"127.3655683,36.3211292","127.421553,36.3552403"
"127.3655693,36.3211878","127.4224299,36.3554185"
"127.3655533,36.3214159","127.42282,36.3554908"
"127.3655498,36.3215331","127.4235276,36.3556193"
"127.3655517,36.3217116","127.4235476,36.3556608"
"127.3655547,36.3219054","127.4235554,36.3557032"
"127.3655568,36.3219731","127.4235493,36.356181"
"127.3655599,36.3221101","127.4235162,36.3570176"
"127.3655665,36.3221813","127.4235116,36.3571231"
"127.3655865,36.32224","127.4235093,36.3572024"
"127.3656142,36.3222968","127.4235001,36.3575513"
"127.3656698,36.3223699","127.4235001,36.3575585"
"127.365759,36.3223492","127.4234977,36.3576423"
"127.365847,36.322352","127.4234773,36.3580597"
"127.3660352,36.3223892","127.4234727,36.3581481"
"127.3660931,36.3224001","127.4234511,36.3586592"
"127.3661143,36.3224037","127.4234499,36.3587413"
"127.366347,36.3224788","127.4239492,36.3587578"
"127.3664438,36.3225339","127.4248297,36.3587782"
"127.3665339,36.3226161","127.425222,36.3587875"
"127.3666498,36.3226162","127.4253625,36.3587912"
"127.3667312,36.3225667","127.4256991,36.3588013"
"127.367471,36.3225396","127.4269619,36.3588409"
"127.3675489,36.3225748","127.4270633,36.3588445"
"127.367599,36.3225749","127.4272561,36.358851"
"127.3677584,36.3225696","127.4289492,36.358916"
"127.367862,36.3225661","127.4295544,36.3589353"
"127.3679188,36.3225644","127.430455,36.3589646"
"127.3680403,36.3225609","127.4306645,36.3589711"
"127.3683177,36.3225495","127.4313388,36.358985"
"127.3687165,36.3225409","127.4315662,36.3589923"
"127.3688202,36.3225383","127.4318092,36.3589952"
"127.369668,36.3225221","127.4321336,36.3589909"
"127.3700312,36.3225198","127.432157,36.3589891"
"127.3701047,36.3225199","127.4322383,36.3589819"
"127.3701081,36.3225199","127.4322506,36.3589801"
"127.3701671,36.32252","127.4322851,36.3589774"
"127.3702295,36.3225192","127.4324312,36.3589414"
"127.370222,36.3223695","127.4324992,36.3589171"
"127.3702122,36.3221829","127.432613,36.3588478"
"127.3702036,36.3220206","127.4327167,36.3587739"
"127.3701993,36.3219493","127.4328829,36.3586451"
"127.370212,36.3216744","127.4329286,36.3586109"
"127.3702222,36.3215698","127.4330245,36.3585379"
"127.370267,36.3214004","127.4331885,36.3584018"
"127.3703567,36.3210408","127.4334618,36.3581658"
"127.3703993,36.320892","127.4342124,36.3575414"
"127.3704218,36.320801","127.4346441,36.3571585"
"127.3705271,36.3204126","127.4347545,36.3570648"
"127.3706234,36.3201242","127.4348091,36.357018"
"127.3709666,36.3194331","127.4348493,36.3569828"
"127.3710325,36.3193015","127.4359992,36.356008"
"127.3710794,36.3192222","127.4361141,36.3559107"
"127.3711822,36.3190411","127.4363617,36.3557008"
"127.3712638,36.3188952","127.4370733,36.355098"
"127.3713119,36.3187492","127.4371491,36.3550331"
"127.3713244,36.3186329","127.4376443,36.3545979"
"127.3713129,36.3181749","127.4380269,36.3542952"
"127.3713118,36.3181415","127.4380994,36.3542331"
"127.3713108,36.3180622","127.4382934,36.3540718"
"127.3713108,36.3180604","127.4383581,36.3540204"
"127.3713098,36.3180288","127.4385689,36.353842"
"127.3713056,36.3178215","127.4389748,36.3535159"
"127.3712995,36.3175158","127.4407436,36.3520491"
"127.3712997,36.3173995","127.4409756,36.3518608"
"127.371275,36.3168414","127.441299,36.3516013"
"127.3712717,36.3167765","127.44159,36.351395"
"127.3712501,36.3163483","127.4416491,36.351367"
"127.3712081,36.3161697","127.4418107,36.3513148"
"127.3711238,36.3159298","127.4419345,36.3512202"
"127.3710405,36.3157846","127.4419836,36.3511815"
"127.3709649,36.3156907","127.442123,36.3510535"
"127.3708849,36.3155852","127.4421998,36.3511257"
"127.3706225,36.3152901","127.4422945,36.351215"
"127.3703367,36.3149914","127.4423747,36.3513322"
"127.3695616,36.3141746","127.4425116,36.3515324"
"127.3692213,36.3138362","127.4425372,36.3515748"
"127.3691624,36.3137658","127.4426619,36.3517741"
"127.3690624,36.3135745","127.4427342,36.3519238"
"127.3689327,36.3132201","127.4429256,36.3523161"
"127.3689316,36.3132192","127.4429746,36.3524162"
"127.3689116,36.3131579","127.4430314,36.3525226"
"127.3687367,36.312541","127.4432195,36.3528752"
"127.3685872,36.312008","127.4432707,36.3529717"
"127.3683871,36.3111081","127.4436747,36.3537075"
"127.3683618,36.3108745","127.4438016,36.3539384"
"127.3683619,36.3108232","127.4439285,36.3541683"
"127.3683621,36.3106996","127.4440609,36.3544064"
"127.3683289,36.3105869","127.4443748,36.3549745"
"127.3683167,36.3105229","127.4445151,36.3552189"
"127.3683046,36.3104381","127.4446186,36.355401"
"127.3682903,36.3103426","127.4446977,36.3555345"
"127.3682916,36.3102659","127.4447611,36.3556427"
"127.368331,36.3100198","127.444799,36.3557077"
"127.3683993,36.3097828","127.4448457,36.3557924"
"127.3684129,36.3096728","127.4449259,36.3559385"
"127.3684242,36.3095746","127.4455114,36.3569828"
"127.3684121,36.3094583","127.445714,36.3573128"
"127.3683833,36.3093446","127.4458387,36.3575148"
"127.3683367,36.3092499","127.445871,36.3575635"
"127.3682489,36.3091416","127.4458788,36.3575752"
"127.3681443,36.3090622","127.4459122,36.3576221"
"127.3680252,36.3089944","127.4461483,36.3579008"
"127.3677692,36.3089013","127.4475116,36.3593412"
"127.3666348,36.308516","127.448122,36.3599888"
"127.3662485,36.3083659","127.4485642,36.3604632"
"127.3661662,36.3083343","127.4486743,36.360758"
"127.3657801,36.3080444","127.4488737,36.3609889"
"127.365661,36.308001","127.4489038,36.3610223"
"127.3655864,36.3079748","127.4489305,36.3610511"
"127.3653571,36.3078997","127.4496969,36.3618214"
"127.364609,36.3076536","127.4499497,36.3620793"
"127.3645745,36.3076428","127.4502963,36.3622093"
"127.3644665,36.3076075","127.4504624,36.3622743"
"127.3644131,36.3075903","127.4507867,36.3623582"
"127.3640401,36.3074655","127.4509739,36.3623745"
"127.3636315,36.3073658","127.4511489,36.3623665"
"127.3633743,36.307316","127.4513373,36.3623161"
"127.3627506,36.3072521","127.4514867,36.3622575"
"127.3625012,36.3072266","127.4516116,36.3621828"
"127.3619867,36.3071746","127.4517622,36.3620828"
"127.3616125,36.3071327","127.4525819,36.3612843"
"127.3609889,36.3070319","127.4534988,36.3602966"
"127.3599935,36.306809","127.454642,36.3589646"
"127.3598866,36.3067863","127.4550257,36.3584643"
"127.3579872,36.3063162","127.4553313,36.3582445"
