0,1,2,3,4,5,6,7,8,9,10
"127.1467643,37.5573181","126.9244703,37.5189116","127.0133776,37.5059758","126.7331755,37.4341334","127.1659575,37.250629","126.9698042,37.5550391","126.7331755,37.4341334","128.5820368,35.848358","126.9244703,37.5189116","127.0107348,37.5660545","127.1506275,37.556559"
"127.1466963,37.5573332","126.9246585,37.5187233","127.0136273,37.5053189","126.7331185,37.4341763","127.1660675,37.2507456","126.9697868,37.5550922","126.7331185,37.4341763","128.5829881,35.8482827","126.9246585,37.5187233","127.0110774,37.5661307","127.1500962,37.5563933"
"127.1467398,37.5577156","126.9248387,37.5185439","127.0136526,37.5052586","126.7331151,37.4341781","127.1666183,37.2506074","126.9696865,37.5551936","126.7331151,37.4341781","128.5832307,35.8482932","126.9248387,37.5185439","127.0116766,37.5662738","127.1500849,37.5563897"
"127.1467247,37.5577813","126.92489,37.5184918","127.0135156,37.5052797","126.7330245,37.4341973","127.1666332,37.2505561","126.9695389,37.5552515","126.7330245,37.4341973","128.5834343,35.8477125","126.92489,37.5184918","127.0118121,37.5663285","127.1500736,37.556387"
"127.1462286,37.5578375","126.9249617,37.5184327","127.0130774,37.5053373","126.7329512,37.434186","127.1667079,37.2505022","126.9690305,37.5552627","126.7329512,37.434186","128.583499,35.847583","126.9249617,37.5184327","127.0119566,37.5663976","127.1500329,37.5563742"
"127.1460847,37.5578533","126.9251589,37.5185517","127.0127841,37.5053767","126.7329099,37.4341317","127.1668207,37.2504908","126.9690433,37.5553737","126.7329099,37.4341317","128.5831891,35.8475966","126.9251589,37.5185517","127.0120728,37.5664692","127.1499978,37.5563633"
"127.1459669,37.5578665","126.9253345,37.5186698","127.0126131,37.5053985","126.7329037,37.4340703","127.1669107,37.2505424","126.9690732,37.5554693","126.7329037,37.4340703","128.5830254,35.8476044","126.9253345,37.5186698","127.0122057,37.5665707","127.1497886,37.5563095"
"127.1457947,37.5578858","126.9256116,37.5188343","127.0122518,37.5054457","126.7329178,37.4340253","127.1673409,37.2504066","126.9691298,37.5557779","126.7329178,37.4340253","128.5829888,35.8476056","126.9256116,37.5188343","127.0122958,37.566654","127.1495374,37.5562772"
"127.145354,37.5579358","126.925784,37.518937","127.0121839,37.5054526","126.7329521,37.4339859","127.1675159,37.250344","126.9691649,37.556427","126.7329521,37.4339859","128.5827609,35.8476158","126.925784,37.518937","127.0123913,37.5667608","127.1492951,37.5562765"
"127.1451523,37.5579713","126.9259112,37.5190124","127.0120458,37.5054674","126.7330269,37.4339666","127.1675886,37.2502343","126.9691764,37.5567146","126.7330269,37.4339666","128.5823315,35.847635","126.9259112,37.5190124","127.012481,37.5668937","127.1492725,37.5562773"
"127.1449484,37.5580076","126.9260824,37.5191178","127.0118081,37.5054745","126.7331287,37.4339546","127.1676352,37.2501461","126.9691836,37.5568228","126.7331287,37.4339546","128.582015,35.8476496","126.9260824,37.5191178","127.0125132,37.5670065","127.1491706,37.5562797"
"127.1447738,37.5580486","126.9262187,37.5192014","127.0116814,37.5054803","126.7331933,37.4339442","127.1676454,37.2501335","126.9691846,37.5568354","126.7331933,37.4339442","128.5815402,35.8476728","126.9262187,37.5192014","127.0125813,37.567324","127.1491411,37.5562814"
"127.1445477,37.5579821","126.9262277,37.5192068","127.0116769,37.5054803","126.7333329,37.433882","127.1677137,37.2499993","126.9691866,37.5568741","126.7333329,37.433882","128.5813289,35.8476828","126.9262277,37.5192068","127.0126029,37.5674846","127.1491287,37.5562814"
"127.1444311,37.5582125","126.9264913,37.519364","127.0115456,37.5054806","126.7333828,37.4338697","127.167733,37.2499606","126.9691865,37.5568832","126.7333828,37.4338697","128.581009,35.8476983","126.9264913,37.519364","127.0125998,37.5676062","127.1490868,37.556284"
"127.1443159,37.5583924","126.9265986,37.519251","127.0111892,37.5054828","126.7335255,37.4338418","127.1676703,37.2498523","126.9691886,37.5569102","126.7335255,37.4338418","128.5804978,35.8477227","126.9265986,37.519251","127.0125938,37.5676666","127.1490448,37.5562911"
"127.1443033,37.558414","126.9269065,37.5189343","127.0111688,37.5054818","126.7335708,37.4338358","127.1676043,37.2497403","126.9691955,37.5570499","126.7335708,37.4338358","128.5801282,35.8477405","126.9269065,37.5189343","127.0125822,37.5677125","127.1489644,37.5563125"
"127.144097,37.5587027","126.9270868,37.5187414","127.0110614,37.5054777","126.7336126,37.4338334","127.1675606,37.249669","126.9692172,37.5573493","126.7336126,37.4338334","128.5802123,35.8479831","126.9270868,37.5187414","127.0125569,37.5677638","127.1488544,37.5563446"
"127.1439865,37.5588502","126.9274266,37.5184086","127.0109596,37.5054737","126.733798,37.4338337","127.1674889,37.2495642","126.9693097,37.5578743","126.733798,37.4338337","128.580249,35.8480757","126.9274266,37.5184086","127.0125043,37.5678474","127.1488317,37.5563499"
"127.143713,37.5592099","126.9275121,37.5183243","127.0109007,37.505478","126.7338579,37.4338367","127.1674329,37.2494884","126.9693373,37.5581331","126.7338579,37.4338367","128.5805081,35.8487279","126.9275121,37.5183243","127.0124468,37.5679715","127.1488034,37.5563517"
"127.1436675,37.5592539","126.9276786,37.518153","127.0107839,37.5055199","126.7339425,37.4338463","127.1673229,37.2493664","126.9693373,37.5582999","126.7339425,37.4338463","128.5805998,35.8489579","126.9276786,37.518153","127.0124307,37.5680138","127.1487977,37.5563516"
"127.1435379,37.5593788","126.9279148,37.5178963","127.0107305,37.5055521","126.7340959,37.4338825","127.16725,37.2492877","126.9693347,37.5583404","126.7340959,37.4338825","128.5806871,35.8491915","126.9279148,37.5178963","127.0124192,37.5680453","127.1482418,37.5563644"
"127.1433662,37.5595216","126.9281019,37.5176935","127.0106826,37.5056069","126.7341916,37.4339218","127.1661799,37.2482643","126.9693192,37.5586152","126.7341916,37.4339218","128.5807834,35.8494286","126.9281019,37.5176935","127.0123914,37.5681354","127.148064,37.5563684"
"127.1429799,37.559808","126.9282377,37.5175464","127.0106346,37.5056941","126.7343232,37.4339858","127.1660945,37.2481839","126.9693142,37.5586738","126.7343232,37.4339858","128.5809243,35.8497745","126.9282377,37.5175464","127.0123529,37.5683074","127.1473891,37.5563871"
"127.1425936,37.5600953","126.9284053,37.5172434","127.0106128,37.5057346","126.7343949,37.4340448","127.1660384,37.2481359","126.9692797,37.5587557","126.7343949,37.4340448","128.5809781,35.8499056","126.9284053,37.5172434","127.0123192,37.5684523","127.1472872,37.5563931"
"127.1420508,37.5604154","126.9285241,37.5169492","127.0105635,37.5058263","126.734405,37.4340557","127.1657936,37.2479108","126.9693245,37.5589866","126.734405,37.4340557","128.58101,35.8499729","126.9285241,37.5169492","127.0129309,37.5685865","127.146867,37.5564171"
"127.1406228,37.5611736","126.9284536,37.5168335","127.0104445,37.5060439","126.7344924,37.4341275","127.1656229,37.2477391","126.9693102,37.5592452","126.7344924,37.4341275","128.5812053,35.8504075","126.9284536,37.5168335","127.0130372,37.5686103","127.146423,37.556459"
"127.1396385,37.5617069","126.9284235,37.5167838","127.0103471,37.506222","126.7345436,37.4342098","127.1647303,37.2468847","126.9693096,37.5593255","126.7345436,37.4342098","128.5812665,35.8505089","126.9284235,37.5167838","127.0132721,37.5687104","127.1463301,37.5564678"
"127.1389584,37.5621059","126.9283038,37.5166057","127.0103448,37.5062274","126.7345754,37.4343002","127.1639154,37.2460558","126.9693274,37.5593787","126.7345754,37.4343002","128.5815937,35.8510415","126.9283038,37.5166057","127.0134357,37.5688022","127.1462101,37.5564791"
"127.1383541,37.5625025","126.9278417,37.5159166","127.010266,37.506337","126.7346413,37.4344899","127.1636932,37.2458055","126.9693768,37.5594321","126.7346413,37.4344899","128.5817625,35.8513158","126.9278417,37.5159166","127.0139354,37.5690971","127.1460515,37.5564949"
"127.1382859,37.5625491","126.9274781,37.5153614","127.0102119,37.5063188","126.7346588,37.4345495","127.1636204,37.2456998","126.969475,37.5594785","126.7346588,37.4345495","128.5820334,35.8517768","126.9274781,37.5153614","127.0141123,37.5692331","127.1455995,37.5565377"
"127.1380394,37.5627197","126.9272655,37.5150521","127.0100741,37.5062704","126.7346683,37.4347244","127.1635329,37.2456031","126.9696005,37.5594953","126.7346683,37.4347244","128.582149,35.851975","126.9272655,37.5150521","127.014137,37.5692575","127.1455067,37.5565464"
"127.137238,37.563359","126.9271401,37.514882","127.0099037,37.506213","126.7346434,37.4348405","127.1632832,37.2452094","126.969613,37.5594963","126.7346434,37.4348405","128.5822689,35.8521605","126.9271401,37.514882","127.0141629,37.5692865","127.1449539,37.5565979"
"127.1370786,37.5635514","126.92713,37.5148685","127.0096836,37.5061273","126.7346002,37.4349746","127.1631625,37.244972","126.9704594,37.5595596","126.7346002,37.4349746","128.5823991,35.8523658","126.92713,37.5148685","127.0141886,37.5693416","127.1448372,37.5566084"
"127.1368385,37.563794","126.9267138,37.5145447","127.0092506,37.5069358","126.7345667,37.4350419","127.1630467,37.2446408","126.9709823,37.559598","126.7345667,37.4350419","128.5825601,35.8524013","126.9267138,37.5145447","127.014187,37.5695813","127.1448338,37.5566084"
"127.1368271,37.5638057","126.9267048,37.5145374","127.0089749,37.5074079","126.7344321,37.4352772","127.1630111,37.244529","126.9710355,37.5596009","126.7344321,37.4352772","128.5828922,35.8524705","126.9267048,37.5145374","127.0141867,37.5696318","127.1446753,37.5566205"
"127.1366279,37.5640151","126.9265174,37.5143355","127.0087321,37.5078468","126.7343447,37.4354173","127.1628899,37.2441573","126.9711588,37.559606","126.7343447,37.4354173","128.5829999,35.8524911","126.9265174,37.5143355","127.0156677,37.5696595","127.1446794,37.556708"
"127.136547,37.5641338","126.9262289,37.5140313","127.0086852,37.5079187","126.7342822,37.4356765","127.1628441,37.2437984","126.9712324,37.559609","126.7342822,37.4356765","128.5831257,35.8525396","126.9262289,37.5140313","127.0157424,37.5696616","127.1446845,37.5568207"
"127.1364897,37.5642661","126.9261057,37.5138693","127.0086291,37.5080266","126.7342759,37.4360748","127.1628191,37.2436018","126.9712727,37.5595109","126.7342759,37.4360748","128.5832195,35.8525991","126.9261057,37.5138693","127.0157718,37.5696626","127.1447032,37.5569505"
"127.1364667,37.5643427","126.9260933,37.5138539","127.008597,37.5080887","126.7340656,37.4360762","127.1628049,37.2434873","126.9712855,37.5594668","126.7340656,37.4360762","128.5832598,35.8526285","126.9260933,37.5138539","127.0158183,37.5696637","127.1447318,37.557111"
