0,1,2
"127.164326,36.7859793","127.0100787,35.9679017","127.377226,36.3764829"
"127.1641921,36.7863512","127.0101033,35.9680389","127.3772863,36.3764027"
"127.1642605,36.7863478","127.0100854,35.9682417","127.3773444,36.3763397"
"127.1644735,36.7863367","127.0100255,35.9684307","127.3773846,36.3763036"
"127.1646529,36.7863299","127.0098173,35.9687301","127.3774548,36.3762875"
"127.1647404,36.7862986","127.0096566,35.9688927","127.3778094,36.3762301"
"127.1647888,36.7862654","127.009474,35.9690163","127.3778685,36.3762257"
"127.1648758,36.7860989","127.0092239,35.9690992","127.3779254,36.3762348"
"127.1649379,36.7859945","127.0089742,35.9691333","127.3779621,36.3762528"
"127.1649831,36.7859045","127.0082557,35.9690997","127.3780029,36.376545"
"127.1649945,36.7856034","127.0082337,35.9692511","127.3777955,36.3765736"
"127.1650071,36.7852879","127.0082141,35.9693709","127.3774175,36.3766399"
"127.165031,36.7846858","127.0081979,35.9694727","127.3772602,36.376684"
"127.1650614,36.7843884","127.0081364,35.9699179","127.37732,36.3769382"
"127.1650913,36.784228","127.0082742,35.9702331","127.377351,36.3770879"
"127.1651267,36.7840812","127.0082774,35.9702493","127.377371,36.3771249"
"127.1651529,36.7839704","127.0082739,35.9702745","127.3774099,36.3771971"
"127.1651654,36.7839263","127.0082604,35.970306","127.3774577,36.3773224"
"127.165326,36.7833489","127.0082358,35.9703339","127.3774854,36.3773964"
"127.1653318,36.7832858","127.0082136,35.9703455","127.3775177,36.3774262"
"127.1653658,36.7829478","127.0078746,35.9704577","127.3775634,36.3774461"
"127.1653813,36.7827486","127.007849,35.9704666","127.3777729,36.3774932"
"127.1653862,36.7823764","127.0078368,35.9704747","127.3779691,36.3775033"
"127.1653864,36.7823331","127.0078245,35.9704828","127.3779868,36.3775844"
"127.1653785,36.7820933","127.0078123,35.9704908","127.3780035,36.3776061"
"127.1653746,36.7819553","127.0077989,35.9704998","127.378028,36.3776214"
"127.1653726,36.7819121","127.0077867,35.9705079","127.3781216,36.3776621"
"127.165365,36.7815965","127.0077744,35.9705249","127.3781628,36.3776802"
"127.1653618,36.7815469","127.007762,35.9705583","127.3784915,36.3778175"
"127.1653237,36.7810339","127.0077495,35.9705997","127.3785361,36.3778329"
"127.1653473,36.7805084","127.0077494,35.9706159","127.3787266,36.3779034"
"127.1653285,36.7801892","127.0077991,35.9708325","127.3788793,36.3779414"
"127.1653118,36.7799043","127.007968,35.9707791","127.379042,36.3779551"
"127.1653003,36.7792092","127.0080869,35.9707408","127.3797656,36.3779586"
"127.1652289,36.7788638","127.008999,35.9704993","127.3805917,36.3779621"
