0,1,2,3,4,5
"127.164326,36.7859793","127.0381266,37.2866833","127.0100787,35.9679017","127.0100787,35.9679017","126.8045332,35.1674043","127.1320036,35.8464247"
"127.1641921,36.7863512","127.0381417,37.2866085","127.0101033,35.9680389","127.0101033,35.9680389","126.8044283,35.1669646","127.1322871,35.8464247"
"127.1642605,36.7863478","127.0388192,37.2866842","127.0100854,35.9682417","127.0100854,35.9682417","126.8043698,35.1667443","127.1323747,35.8463997"
"127.1644735,36.7863367","127.0388026,37.2868202","127.0100255,35.9684307","127.0100255,35.9684307","126.8043496,35.1666666","127.1324991,35.8463162"
"127.1646529,36.7863299","127.0387822,37.2868328","127.0098173,35.9687301","127.0098173,35.9687301","126.8043369,35.1666043","127.1323622,35.8462247"
"127.1647404,36.7862986","127.0383594,37.2867888","127.0096566,35.9688927","127.0096566,35.9688927","126.8043316,35.1665772","127.1320372,35.8458658"
"127.1647888,36.7862654","127.0382927,37.2868228","127.009474,35.9690163","127.009474,35.9690163","126.8043233,35.1665312","127.131912,35.8456328"
"127.1648758,36.7860989","127.0382439,37.2868703","127.0092239,35.9690992","127.0092239,35.9690992","126.8042738,35.1665372","127.1318874,35.8454497"
"127.1649379,36.7859945","127.0382116,37.2869748","127.0089742,35.9691333","127.0089742,35.9691333","126.8034924,35.1666121","127.131885,35.8452585"
"127.1649831,36.7859045","127.0384614,37.287266","127.0082557,35.9690997","127.0082557,35.9690997","126.8033913,35.1666232","127.1317868,35.844701"
"127.1649945,36.7856034","127.0394646,37.286675","127.0081607,35.9688487","127.0081607,35.9688487","126.8031594,35.1666462","127.1317573,35.8445964"
"127.1650071,36.7852879","127.0394691,37.2866723","127.0079766,35.9686721","127.0079766,35.9686721","126.8029605,35.1666658","127.1320066,35.8445683"
"127.165031,36.7846858","127.039511,37.2866472","127.0078863,35.9685699","127.0078863,35.9685699","126.8023439,35.1667371","127.1322171,35.8445446"
"127.1650614,36.7843884","127.0395914,37.2865998","127.0078247,35.9684849","127.0078247,35.9684849","126.8022339,35.1667599","127.1324476,35.8445182"
"127.1650913,36.784228","127.0397544,37.2865048","127.0077499,35.9680329","127.0077499,35.9680329","126.8021909,35.1667705","127.133263,35.844427"
"127.1651267,36.7840812","127.03997,37.2866724","127.0078119,35.9676995","127.0078119,35.9676995","126.8020401,35.1668156","127.1335179,35.844398"
"127.1651529,36.7839704","127.0400902,37.286754","127.0079367,35.9674241","127.0079367,35.9674241","126.8019997,35.1666666","127.1339389,35.8443506"
"127.1651654,36.7839263","127.0404664,37.2870322","127.0082213,35.9671323","127.0082213,35.9671323","126.8019954,35.1666476","127.1343643,35.8443032"
"127.165326,36.7833489","127.0415994,37.2879056","127.0085096,35.9669577","127.0085096,35.9669577","126.8019158,35.1663352","127.1345593,35.844283"
"127.1653318,36.7832858","127.0418083,37.2880731","127.0088175,35.9668471","127.0088175,35.9668471","126.8018369,35.1660516","127.1347454,35.8442602"
"127.1653658,36.7829478","127.0419688,37.2882017","127.0091248,35.9668394","127.0091248,35.9668394","126.8018148,35.1659451","127.1351122,35.8442162"
"127.1653813,36.7827486","127.0421327,37.2883358","127.0093276,35.9663263","127.0093276,35.9663263","126.8018095,35.1659162","127.1358743,35.84415"
"127.1653862,36.7823764","127.0429096,37.2889698","127.0093524,35.966266","127.0093524,35.966266","126.8017955,35.1657646","127.1359397,35.8441457"
"127.1653864,36.7823331","127.043014,37.289054","127.0100921,35.9651871","127.0100921,35.9651871","126.8017845,35.165375","127.1359995,35.8441414"
"127.1653785,36.7820933","127.0434518,37.2894081","127.010404,35.9649603","127.010404,35.9649603","126.8017828,35.1653155","127.136243,35.8441646"
"127.1653746,36.7819553","127.0438201,37.289698","127.0104609,35.9649064","127.0104609,35.9649064","126.8017779,35.1651234","127.1364167,35.844212"
"127.1653726,36.7819121","127.0439594,37.2898058","127.0105022,35.9648714","127.0105022,35.9648714","126.8018151,35.1643644","127.1364808,35.8442294"
"127.165365,36.7815965","127.0443894,37.290141","127.0106093,35.96477","127.0106093,35.96477","126.8018075,35.1642228","127.1366168,35.8442703"
"127.1653618,36.7815469","127.0444545,37.2901953","127.0107064,35.9648434","127.0107064,35.9648434","126.8018057,35.1641831","127.1369552,35.8443705"
"127.1653237,36.7810339","127.0445522,37.2902759","127.0110199,35.9650809","127.0110199,35.9650809","126.8017996,35.1641281","127.1370581,35.8444015"
