num,start_lat,start_lng,mid_lat,mid_lng,end_lat,end_lng
1,37.6269488,126.827581,37.7130201,126.902443,37.7130201,126.902443
2,35.8817306,128.5675403,35.8395664,129.1851961,37.7136509,126.8899147
3,37.5404842,126.8677556,37.5064513,127.0126922,37.503393,129.1305093
4,37.5179814,127.0487641,37.4414931,126.996973,37.4414931,126.996973
5,35.854689,128.5951569,35.8631979,128.65123,35.8631979,128.65123
6,36.6320512,127.5090723,36.8044261,127.560579,36.8044261,127.560579
7,35.2381833,128.676517,35.2340223,128.6914814,35.2340223,128.6914814
8,37.8664679,127.731216,37.3899712,127.944085,37.3899712,127.944085
9,37.8859877,127.0024067,37.9088474,127.0058081,37.9088474,127.0058081
10,37.4585947,126.720422,37.4346262,126.7337582,37.3860581,127.976279
